--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.09,55
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.36,8
Red Cards,0.00,60
,,
xG,0.05,60
npxG,0.05,60
xA,0.09,55
npxG+xA,0.14,57
Goals,0.00,20
Shots Total,0.45,31
Shots on target,0.18,58
Shots on target %,40.0%,85
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,17.00,73
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.05,60
npxG,0.05,60
npxG/Sh,0.09,80
Goals - xG,-0.05,10
Non-Penalty Goals - npxG,-0.05,9
Passes Completed,50.55,83
Passes Attempted,63.64,83
Pass Completion %,79.4%,65
Total Passing Distance,867.59,77
Progressive Passing Distance,283.54,52
,,
Passes Completed (Short),24.46,81
Passes Attempted (Short),26.36,79
Pass Completion % (Short),92.8%,93
,,
Passes Completed (Medium),20.40,77
Passes Attempted (Medium),23.74,74
Pass Completion % (Medium),85.9%,77
,,
Passes Completed (Long),4.96,69
Passes Attempted (Long),11.19,83
Pass Completion % (Long),44.4%,21
Assists,0.09,55
xA,0.09,55
Key Passes,1.35,81
Passes into Final Third,2.26,37
Passes into Penalty Area,0.81,30
Crosses into Penalty Area,0.45,54
Progressive Passes,1.90,3
Passes Attempted,63.64,83
,,
Live-ball passes,51.27,80
Dead-ball passes,12.37,87
Passes from Free Kicks,1.26,78
Through Balls,0.00,18
Passes Under Pressure,5.15,22
Switches,2.53,90
Crosses,2.71,70
Corner Kicks,1.90,90
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,1.62,96
Straight Corner Kicks,0.00,42
,,
Ground passes,38.00,78
Low Passes,11.74,66
High Passes,13.90,75
,,
Passes Attempted (Left),45.14,91
Passes Attempted (Right),5.87,29
Passes Attempted (Head),1.53,30
Throw-Ins taken,9.21,64
Passes Attempted (Other),0.63,99
,,
Passes Completed,50.55,83
Passes Offside,0.27,18
Passes Out of Bounds,1.35,8
Passes Intercepted,1.26,89
Passes Blocked,1.81,47
Shot-Creating Actions,1.81,55
,,
SCA (PassLive),1.17,37
SCA (PassDead),0.54,87
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.00,10
SCA (Def),0.09,86
,,
Goal-Creating Actions,0.09,23
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.09,95
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.26,57
Tackles Won,1.35,67
Tackles (Def 3rd),1.17,49
Tackles (Mid 3rd),0.72,60
Tackles (Att 3rd),0.36,79
,,
Dribblers Tackled,0.63,25
Dribbles Contested,1.53,30
% of dribblers tackled,41.2%,23
Dribbled Past,0.90,51
,,
Pressures,13.54,56
Successful Pressures,4.87,78
Successful Pressure %,36.0%,96
Pressures (Def 3rd),6.41,71
Pressures (Mid 3rd),4.33,35
Pressures (Att 3rd),2.80,71
,,
Blocks,2.08,67
Shots Blocked,0.36,70
Shots Saved,0.00,41
Passes Blocked,1.72,63
,,
Interceptions,1.35,17
Tkl+Int,3.61,33
Clearances,2.98,93
Errors,0.00,70
Touches,73.57,82
Touches (Def Pen),3.07,40
Touches (Def 3rd),25.46,95
Touches (Mid 3rd),30.51,58
Touches (Att 3rd),21.30,72
Touches (Att Pen),1.62,63
Touches (Live-Ball),61.84,79
,,
Dribbles Completed,0.18,2
Dribbles Attempted,0.27,2
Successful Dribble %,66.7%,92
Players Dribbled Past,0.18,2
Nutmegs,0.00,9
,,
Carries,41.98,69
Total Carrying Distance,191.74,51
Progressive Carrying Distance,94.60,35
Progressive Carries,3.52,28
Carries into Final Third,1.17,24
Carries into Penalty Area,0.36,62
Miscontrols,0.99,41
Dispossessed,0.90,40
,,
Pass Targets,49.65,81
Passes Received,46.04,82
Passes Received %,92.7%,72
Progressive Passes Rec,2.08,46
Yellow Cards,0.36,8
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.81,8
Fouls Drawn,1.53,79
Offsides,0.00,89
Crosses,2.71,70
,,
Interceptions,1.35,17
Tackles Won,1.35,67
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,6.59,12
,,
Aerials won,2.35,95
Aerials lost,1.26,38
% of Aerials Won,65.0%,93
