--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.50,73
Assists,0.08,30
Non-Penalty Goals,0.37,58
Penalty Kicks Made,0.12,85
Penalty Kicks Attempted,0.17,89
Yellow Cards,0.37,3
Red Cards,0.00,55
,,
xG,0.45,68
npxG,0.32,50
xA,0.08,22
npxG+xA,0.40,34
Goals,0.50,73
Shots Total,2.39,39
Shots on target,0.99,57
Shots on target %,41.4%,67
Goals/Shot,0.16,69
Goals/Shot on target,0.38,56
Average Shot Distance,19.70,4
Shots from free kicks,0.17,85
Penalty Kicks Made,0.12,85
Penalty Kicks Attempted,0.17,89
,,
xG,0.45,68
npxG,0.32,50
npxG/Sh,0.14,58
Goals - xG,+0.05,69
Non-Penalty Goals - npxG,+0.05,70
Passes Completed,17.29,58
Passes Attempted,24.06,56
Pass Completion %,71.9%,54
Total Passing Distance,277.63,67
Progressive Passing Distance,42.17,39
,,
Passes Completed (Short),9.53,54
Passes Attempted (Short),12.42,55
Pass Completion % (Short),76.7%,35
,,
Passes Completed (Medium),5.41,59
Passes Attempted (Medium),7.14,54
Pass Completion % (Medium),75.7%,70
,,
Passes Completed (Long),1.77,73
Passes Attempted (Long),2.52,68
Pass Completion % (Long),70.5%,88
Assists,0.08,30
xA,0.08,22
Key Passes,0.74,20
Passes into Final Third,0.99,50
Passes into Penalty Area,0.58,41
Crosses into Penalty Area,0.12,58
Progressive Passes,1.28,34
Passes Attempted,24.06,56
,,
Live-ball passes,22.37,57
Dead-ball passes,1.69,59
Passes from Free Kicks,0.00,20
Through Balls,0.08,52
Passes Under Pressure,5.65,31
Switches,0.58,69
Crosses,0.45,25
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,14.57,54
Low Passes,5.78,84
High Passes,3.71,53
,,
Passes Attempted (Left),3.88,59
Passes Attempted (Right),17.13,71
Passes Attempted (Head),1.36,61
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.78,83
,,
Passes Completed,17.29,58
Passes Offside,0.25,8
Passes Out of Bounds,0.25,81
Passes Intercepted,1.69,11
Passes Blocked,1.11,41
Shot-Creating Actions,1.69,17
,,
SCA (PassLive),1.32,27
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.17,32
SCA (Fld),0.12,27
SCA (Def),0.08,68
,,
Goal-Creating Actions,0.25,37
,,
GCA (PassLive),0.17,41
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.04,54
GCA (Fld),0.04,61
GCA (Def),0.00,40
Tackles,0.45,24
Tackles Won,0.21,14
Tackles (Def 3rd),0.08,31
Tackles (Mid 3rd),0.21,33
Tackles (Att 3rd),0.17,27
,,
Dribblers Tackled,0.21,68
Dribbles Contested,0.50,37
% of dribblers tackled,41.7%,89
Dribbled Past,0.29,78
,,
Pressures,8.13,3
Successful Pressures,2.10,3
Successful Pressure %,25.9%,37
Pressures (Def 3rd),0.78,22
Pressures (Mid 3rd),3.63,7
Pressures (Att 3rd),3.71,2
,,
Blocks,0.29,2
Shots Blocked,0.08,33
Shots Saved,0.00,48
Passes Blocked,0.21,2
,,
Interceptions,0.21,10
Tkl+Int,0.66,15
Clearances,0.66,52
Errors,0.00,53
Touches,33.80,38
Touches (Def Pen),0.74,42
Touches (Def 3rd),2.39,29
Touches (Mid 3rd),14.32,24
Touches (Att 3rd),18.12,55
Touches (Att Pen),5.28,54
Touches (Live-Ball),31.82,36
,,
Dribbles Completed,0.25,5
Dribbles Attempted,1.07,19
Successful Dribble %,23.1%,1
Players Dribbled Past,0.37,8
Nutmegs,0.08,51
,,
Carries,18.45,27
Total Carrying Distance,56.86,10
Progressive Carrying Distance,28.35,14
Progressive Carries,1.77,17
Carries into Final Third,0.37,8
Carries into Penalty Area,0.54,40
Miscontrols,2.35,68
Dispossessed,0.87,94
,,
Pass Targets,44.65,46
Passes Received,26.24,47
Passes Received %,58.8%,52
Progressive Passes Rec,6.27,30
Yellow Cards,0.37,3
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.07,68
Fouls Drawn,1.32,37
Offsides,0.50,66
Crosses,0.45,25
,,
Interceptions,0.21,10
Tackles Won,0.21,14
Penalty Kicks Won,0.08,87
Penalty Kicks Conceded,0.04,1
Own Goals,0.00,52
Ball Recoveries,2.93,11
,,
Aerials won,1.24,30
Aerials lost,1.61,90
% of Aerials Won,43.5%,70
