--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,48
Assists,0.00,31
Non-Penalty Goals,0.04,48
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.19,54
Red Cards,0.00,64
,,
xG,0.06,69
npxG,0.06,69
xA,0.00,17
npxG+xA,0.06,51
Goals,0.04,48
Shots Total,0.64,73
Shots on target,0.15,59
Shots on target %,23.5%,41
Goals/Shot,0.06,41
Goals/Shot on target,0.25,40
Average Shot Distance,14.20,22
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,69
npxG,0.06,69
npxG/Sh,0.09,53
Goals - xG,-0.02,26
Non-Penalty Goals - npxG,-0.02,26
Passes Completed,45.62,55
Passes Attempted,54.20,56
Pass Completion %,84.2%,42
Total Passing Distance,1038.83,63
Progressive Passing Distance,316.83,52
,,
Passes Completed (Short),11.37,44
Passes Attempted (Short),12.35,40
Pass Completion % (Short),92.0%,66
,,
Passes Completed (Medium),24.89,62
Passes Attempted (Medium),26.93,60
Pass Completion % (Medium),92.4%,56
,,
Passes Completed (Long),9.03,66
Passes Attempted (Long),14.13,79
Pass Completion % (Long),63.9%,28
Assists,0.00,31
xA,0.00,17
Key Passes,0.23,65
Passes into Final Third,3.06,66
Passes into Penalty Area,0.15,50
Crosses into Penalty Area,0.00,29
Progressive Passes,2.57,51
Passes Attempted,54.20,56
,,
Live-ball passes,52.69,58
Dead-ball passes,1.51,20
Passes from Free Kicks,1.40,40
Through Balls,0.04,69
Passes Under Pressure,4.87,33
Switches,2.23,82
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,38.56,54
Low Passes,3.47,21
High Passes,12.16,88
,,
Passes Attempted (Left),2.38,4
Passes Attempted (Right),47.10,80
Passes Attempted (Head),2.79,61
Throw-Ins taken,0.08,16
Passes Attempted (Other),0.23,72
,,
Passes Completed,45.62,55
Passes Offside,0.30,4
Passes Out of Bounds,1.06,26
Passes Intercepted,0.98,43
Passes Blocked,0.38,72
Shot-Creating Actions,0.42,31
,,
SCA (PassLive),0.30,26
SCA (PassDead),0.08,94
SCA (Drib),0.00,42
SCA (Sh),0.04,51
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.00,72
Tackles Won,1.02,55
Tackles (Def 3rd),1.10,56
Tackles (Mid 3rd),0.79,86
Tackles (Att 3rd),0.11,72
,,
Dribblers Tackled,0.91,80
Dribbles Contested,1.78,85
% of dribblers tackled,51.1%,40
Dribbled Past,0.87,13
,,
Pressures,8.84,48
Successful Pressures,2.87,35
Successful Pressure %,32.5%,19
Pressures (Def 3rd),4.72,43
Pressures (Mid 3rd),3.51,57
Pressures (Att 3rd),0.60,67
,,
Blocks,2.15,86
Shots Blocked,0.94,72
Shots Saved,0.04,77
Passes Blocked,1.21,83
,,
Interceptions,2.04,48
Tkl+Int,4.04,63
Clearances,5.10,79
Errors,0.08,14
Touches,65.87,60
Touches (Def Pen),10.88,83
Touches (Def 3rd),36.90,71
Touches (Mid 3rd),30.21,56
Touches (Att 3rd),2.08,34
Touches (Att Pen),1.06,72
Touches (Live-Ball),64.39,64
,,
Dribbles Completed,0.34,79
Dribbles Attempted,0.42,69
Successful Dribble %,81.8%,79
Players Dribbled Past,0.34,76
Nutmegs,0.00,37
,,
Carries,39.54,57
Total Carrying Distance,205.12,51
Progressive Carrying Distance,107.03,54
Progressive Carries,2.72,64
Carries into Final Third,0.26,36
Carries into Penalty Area,0.04,75
Miscontrols,0.26,40
Dispossessed,0.23,45
,,
Pass Targets,43.36,59
Passes Received,42.68,59
Passes Received %,98.4%,70
Progressive Passes Rec,0.15,47
Yellow Cards,0.19,54
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.91,61
Fouls Drawn,0.91,81
Offsides,0.00,79
Crosses,0.00,7
,,
Interceptions,2.04,48
Tackles Won,1.02,55
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.40,55
,,
Aerials won,3.44,79
Aerials lost,1.51,50
% of Aerials Won,69.5%,80
