--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,44
Assists,0.12,68
Non-Penalty Goals,0.03,44
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.37,7
Red Cards,0.00,60
,,
xG,0.05,64
npxG,0.05,64
xA,0.13,76
npxG+xA,0.18,74
Goals,0.03,44
Shots Total,0.59,49
Shots on target,0.15,47
Shots on target %,26.3%,45
Goals/Shot,0.05,48
Goals/Shot on target,0.20,49
Average Shot Distance,21.90,26
Shots from free kicks,0.03,81
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.05,64
npxG,0.05,64
npxG/Sh,0.08,71
Goals - xG,-0.02,36
Non-Penalty Goals - npxG,-0.02,36
Passes Completed,62.98,95
Passes Attempted,79.54,96
Pass Completion %,79.2%,64
Total Passing Distance,1310.26,97
Progressive Passing Distance,500.39,99
,,
Passes Completed (Short),23.43,79
Passes Attempted (Short),25.47,77
Pass Completion % (Short),92.0%,88
,,
Passes Completed (Medium),27.39,95
Passes Attempted (Medium),32.28,96
Pass Completion % (Medium),84.9%,75
,,
Passes Completed (Long),11.39,99
Passes Attempted (Long),19.50,99
Pass Completion % (Long),58.4%,75
Assists,0.12,68
xA,0.13,76
Key Passes,1.92,94
Passes into Final Third,4.83,95
Passes into Penalty Area,1.80,92
Crosses into Penalty Area,0.93,95
Progressive Passes,5.23,88
Passes Attempted,79.54,96
,,
Live-ball passes,65.92,95
Dead-ball passes,13.62,95
Passes from Free Kicks,2.57,98
Through Balls,0.15,95
Passes Under Pressure,6.78,69
Switches,4.49,99
Crosses,4.64,97
Corner Kicks,1.58,89
,,
Inswinging Corner Kicks,0.03,64
Outswinging Corner Kicks,1.18,94
Straight Corner Kicks,0.03,86
,,
Ground passes,46.45,91
Low Passes,12.29,74
High Passes,20.80,99
,,
Passes Attempted (Left),59.48,98
Passes Attempted (Right),7.68,35
Passes Attempted (Head),1.83,50
Throw-Ins taken,9.47,71
Passes Attempted (Other),0.15,58
,,
Passes Completed,62.98,95
Passes Offside,0.22,29
Passes Out of Bounds,1.15,20
Passes Intercepted,2.60,8
Passes Blocked,1.52,69
Shot-Creating Actions,3.00,93
,,
SCA (PassLive),1.92,86
SCA (PassDead),0.80,91
SCA (Drib),0.06,56
SCA (Sh),0.09,78
SCA (Fld),0.12,85
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.15,42
,,
GCA (PassLive),0.06,21
GCA (PassDead),0.09,95
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.38,66
Tackles Won,1.61,82
Tackles (Def 3rd),1.33,63
Tackles (Mid 3rd),0.65,46
Tackles (Att 3rd),0.40,87
,,
Dribblers Tackled,0.80,40
Dribbles Contested,1.52,29
% of dribblers tackled,53.1%,67
Dribbled Past,0.71,76
,,
Pressures,12.01,40
Successful Pressures,4.24,62
Successful Pressure %,35.3%,92
Pressures (Def 3rd),5.39,42
Pressures (Mid 3rd),4.98,51
Pressures (Att 3rd),1.64,20
,,
Blocks,1.42,18
Shots Blocked,0.15,17
Shots Saved,0.00,41
Passes Blocked,1.27,22
,,
Interceptions,1.58,32
Tkl+Int,3.96,49
Clearances,1.11,8
Errors,0.00,70
Touches,88.92,96
Touches (Def Pen),2.72,27
Touches (Def 3rd),27.85,98
Touches (Mid 3rd),42.21,93
Touches (Att 3rd),25.25,87
Touches (Att Pen),0.87,20
Touches (Live-Ball),76.17,95
,,
Dribbles Completed,1.70,94
Dribbles Attempted,2.51,86
Successful Dribble %,67.9%,92
Players Dribbled Past,1.80,93
Nutmegs,0.15,79
,,
Carries,60.60,96
Total Carrying Distance,296.03,97
Progressive Carrying Distance,182.01,98
Progressive Carries,6.44,85
Carries into Final Third,2.07,79
Carries into Penalty Area,0.19,34
Miscontrols,1.02,38
Dispossessed,1.18,21
,,
Pass Targets,62.73,95
Passes Received,59.70,95
Passes Received %,95.2%,94
Progressive Passes Rec,2.63,66
Yellow Cards,0.37,7
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.67,12
Fouls Drawn,2.17,96
Offsides,0.00,89
Crosses,4.64,97
,,
Interceptions,1.58,32
Tackles Won,1.61,82
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.06,7
Own Goals,0.00,57
Ball Recoveries,8.76,72
,,
Aerials won,1.11,48
Aerials lost,1.42,23
% of Aerials Won,43.9%,28
