--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.06,39
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.23,33
Red Cards,0.00,60
,,
xG,0.03,32
npxG,0.03,32
xA,0.11,64
npxG+xA,0.13,54
Goals,0.00,20
Shots Total,0.51,41
Shots on target,0.09,25
Shots on target %,16.7%,19
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,20.20,47
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,32
npxG,0.03,32
npxG/Sh,0.05,33
Goals - xG,-0.03,26
Non-Penalty Goals - npxG,-0.03,26
Passes Completed,37.66,42
Passes Attempted,46.82,27
Pass Completion %,80.5%,70
Total Passing Distance,601.69,24
Progressive Passing Distance,179.46,6
,,
Passes Completed (Short),20.56,63
Passes Attempted (Short),23.11,64
Pass Completion % (Short),89.0%,57
,,
Passes Completed (Medium),12.87,15
Passes Attempted (Medium),16.30,11
Pass Completion % (Medium),78.9%,33
,,
Passes Completed (Long),3.06,22
Passes Attempted (Long),4.72,6
Pass Completion % (Long),64.8%,90
Assists,0.06,39
xA,0.11,64
Key Passes,1.00,63
Passes into Final Third,1.80,18
Passes into Penalty Area,0.92,40
Crosses into Penalty Area,0.40,44
Progressive Passes,2.60,16
Passes Attempted,46.82,27
,,
Live-ball passes,40.50,44
Dead-ball passes,6.32,3
Passes from Free Kicks,0.06,1
Through Balls,0.00,18
Passes Under Pressure,6.69,66
Switches,0.83,36
Crosses,2.35,56
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,30.92,57
Low Passes,8.92,18
High Passes,6.98,9
,,
Passes Attempted (Left),2.49,6
Passes Attempted (Right),35.63,72
Passes Attempted (Head),1.54,31
Throw-Ins taken,6.23,10
Passes Attempted (Other),0.23,78
,,
Passes Completed,37.66,42
Passes Offside,0.23,26
Passes Out of Bounds,0.66,74
Passes Intercepted,1.60,67
Passes Blocked,1.72,53
Shot-Creating Actions,1.66,46
,,
SCA (PassLive),1.54,65
SCA (PassDead),0.06,33
SCA (Drib),0.03,31
SCA (Sh),0.00,15
SCA (Fld),0.03,24
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.11,30
,,
GCA (PassLive),0.11,41
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.09,46
Tackles Won,1.43,72
Tackles (Def 3rd),1.17,49
Tackles (Mid 3rd),0.74,63
Tackles (Att 3rd),0.17,28
,,
Dribblers Tackled,0.86,49
Dribbles Contested,1.77,46
% of dribblers tackled,48.4%,52
Dribbled Past,0.92,49
,,
Pressures,14.93,71
Successful Pressures,5.18,84
Successful Pressure %,34.7%,87
Pressures (Def 3rd),6.03,64
Pressures (Mid 3rd),5.26,61
Pressures (Att 3rd),3.63,91
,,
Blocks,1.49,21
Shots Blocked,0.29,49
Shots Saved,0.00,41
Passes Blocked,1.20,15
,,
Interceptions,1.60,34
Tkl+Int,3.69,38
Clearances,1.57,29
Errors,0.03,36
Touches,56.20,21
Touches (Def Pen),2.00,6
Touches (Def 3rd),14.76,12
Touches (Mid 3rd),25.25,22
Touches (Att 3rd),19.50,58
Touches (Att Pen),2.09,77
Touches (Live-Ball),49.96,34
,,
Dribbles Completed,0.63,41
Dribbles Attempted,1.03,30
Successful Dribble %,61.1%,80
Players Dribbled Past,0.69,39
Nutmegs,0.03,19
,,
Carries,37.24,51
Total Carrying Distance,185.15,46
Progressive Carrying Distance,92.97,34
Progressive Carries,4.95,59
Carries into Final Third,1.49,47
Carries into Penalty Area,0.49,80
Miscontrols,0.86,54
Dispossessed,1.03,31
,,
Pass Targets,41.73,55
Passes Received,34.26,41
Passes Received %,82.1%,2
Progressive Passes Rec,4.29,96
Yellow Cards,0.23,33
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.26,39
Fouls Drawn,1.06,49
Offsides,0.34,4
Crosses,2.35,56
,,
Interceptions,1.60,34
Tackles Won,1.43,72
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,31
Own Goals,0.00,57
Ball Recoveries,8.04,49
,,
Aerials won,1.00,39
Aerials lost,1.14,48
% of Aerials Won,46.7%,39
