--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.22,43
Red Cards,0.00,64
,,
xG,0.03,31
npxG,0.03,31
xA,0.01,44
npxG+xA,0.04,27
Goals,0.00,16
Shots Total,0.76,85
Shots on target,0.32,95
Shots on target %,42.9%,88
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,11.90,43
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,31
npxG,0.03,31
npxG/Sh,0.04,8
Goals - xG,-0.03,14
Non-Penalty Goals - npxG,-0.03,14
Passes Completed,25.50,3
Passes Attempted,32.52,2
Pass Completion %,78.4%,12
Total Passing Distance,628.70,6
Progressive Passing Distance,212.30,10
,,
Passes Completed (Short),6.05,5
Passes Attempted (Short),7.46,5
Pass Completion % (Short),81.2%,3
,,
Passes Completed (Medium),12.43,3
Passes Attempted (Medium),13.83,1
Pass Completion % (Medium),89.8%,30
,,
Passes Completed (Long),6.91,34
Passes Attempted (Long),11.13,44
Pass Completion % (Long),62.1%,22
Assists,0.00,31
xA,0.01,44
Key Passes,0.11,29
Passes into Final Third,0.65,1
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.30,6
Passes Attempted,32.52,2
,,
Live-ball passes,30.58,2
Dead-ball passes,1.94,39
Passes from Free Kicks,1.94,74
Through Balls,0.00,27
Passes Under Pressure,4.11,13
Switches,1.73,69
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,20.20,4
Low Passes,3.46,20
High Passes,8.86,44
,,
Passes Attempted (Left),3.67,14
Passes Attempted (Right),23.99,31
Passes Attempted (Head),3.35,84
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.11,31
,,
Passes Completed,25.50,3
Passes Offside,0.00,97
Passes Out of Bounds,1.30,9
Passes Intercepted,1.19,26
Passes Blocked,0.32,81
Shot-Creating Actions,0.43,34
,,
SCA (PassLive),0.11,2
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.22,99
SCA (Fld),0.00,36
SCA (Def),0.11,98
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.30,31
Tackles Won,0.86,42
Tackles (Def 3rd),0.76,25
Tackles (Mid 3rd),0.54,59
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.54,38
Dribbles Contested,0.97,33
% of dribblers tackled,55.6%,60
Dribbled Past,0.43,66
,,
Pressures,7.56,28
Successful Pressures,3.24,50
Successful Pressure %,42.9%,95
Pressures (Def 3rd),4.65,41
Pressures (Mid 3rd),2.81,30
Pressures (Att 3rd),0.11,4
,,
Blocks,2.38,93
Shots Blocked,1.30,95
Shots Saved,0.00,32
Passes Blocked,1.08,71
,,
Interceptions,1.08,2
Tkl+Int,2.38,7
Clearances,6.59,99
Errors,0.11,6
Touches,43.97,2
Touches (Def Pen),9.94,69
Touches (Def 3rd),26.58,15
Touches (Mid 3rd),17.50,3
Touches (Att 3rd),2.05,33
Touches (Att Pen),1.30,88
Touches (Live-Ball),42.35,2
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.00,1
Players Dribbled Past,0.00,3
Nutmegs,0.00,37
,,
Carries,20.31,2
Total Carrying Distance,78.76,1
Progressive Carrying Distance,28.63,1
Progressive Carries,0.22,1
Carries into Final Third,0.11,15
Carries into Penalty Area,0.00,31
Miscontrols,0.00,99
Dispossessed,0.11,81
,,
Pass Targets,22.58,3
Passes Received,21.82,4
Passes Received %,96.7%,18
Progressive Passes Rec,0.11,33
Yellow Cards,0.22,43
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.86,67
Fouls Drawn,0.22,7
Offsides,0.00,79
Crosses,0.00,7
,,
Interceptions,1.08,2
Tackles Won,0.86,42
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,8.43,30
,,
Aerials won,4.11,93
Aerials lost,1.08,82
% of Aerials Won,79.2%,99
