--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.12,70
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.35,19
Red Cards,0.00,61
,,
xG,0.02,8
npxG,0.02,8
xA,0.05,30
npxG+xA,0.08,17
Goals,0.00,11
Shots Total,0.64,20
Shots on target,0.12,17
Shots on target %,18.2%,20
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,24.20,13
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.02,8
npxG,0.02,8
npxG/Sh,0.04,12
Goals - xG,-0.02,35
Non-Penalty Goals - npxG,-0.02,35
Passes Completed,31.59,20
Passes Attempted,37.63,15
Pass Completion %,84.0%,59
Total Passing Distance,637.37,27
Progressive Passing Distance,182.73,38
,,
Passes Completed (Short),11.26,9
Passes Attempted (Short),12.89,8
Pass Completion % (Short),87.4%,39
,,
Passes Completed (Medium),14.86,35
Passes Attempted (Medium),16.32,29
Pass Completion % (Medium),91.1%,82
,,
Passes Completed (Long),4.88,38
Passes Attempted (Long),6.85,36
Pass Completion % (Long),71.2%,57
Assists,0.12,70
xA,0.05,30
Key Passes,0.64,33
Passes into Final Third,2.90,27
Passes into Penalty Area,0.12,2
Crosses into Penalty Area,0.00,8
Progressive Passes,3.77,47
Passes Attempted,37.63,15
,,
Live-ball passes,36.41,17
Dead-ball passes,1.22,35
Passes from Free Kicks,1.16,52
Through Balls,0.12,64
Passes Under Pressure,6.68,22
Switches,1.57,56
Crosses,0.23,22
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,26.07,18
Low Passes,5.28,51
High Passes,6.27,30
,,
Passes Attempted (Left),9.41,73
Passes Attempted (Right),24.04,21
Passes Attempted (Head),2.26,66
Throw-Ins taken,0.06,18
Passes Attempted (Other),0.35,80
,,
Passes Completed,31.59,20
Passes Offside,0.12,67
Passes Out of Bounds,0.64,59
Passes Intercepted,1.57,39
Passes Blocked,0.70,82
Shot-Creating Actions,1.51,28
,,
SCA (PassLive),1.28,36
SCA (PassDead),0.00,23
SCA (Drib),0.06,56
SCA (Sh),0.06,41
SCA (Fld),0.06,43
SCA (Def),0.06,43
,,
Goal-Creating Actions,0.12,28
,,
GCA (PassLive),0.12,43
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.02,85
Tackles Won,1.97,83
Tackles (Def 3rd),1.39,87
Tackles (Mid 3rd),1.39,83
Tackles (Att 3rd),0.23,42
,,
Dribblers Tackled,1.05,84
Dribbles Contested,2.79,86
% of dribblers tackled,37.5%,54
Dribbled Past,1.74,14
,,
Pressures,19.10,59
Successful Pressures,4.99,30
Successful Pressure %,26.1%,14
Pressures (Def 3rd),7.03,72
Pressures (Mid 3rd),10.63,68
Pressures (Att 3rd),1.45,5
,,
Blocks,1.97,83
Shots Blocked,0.58,92
Shots Saved,0.00,45
Passes Blocked,1.39,65
,,
Interceptions,1.63,44
Tkl+Int,4.65,73
Clearances,2.03,87
Errors,0.00,67
Touches,48.66,14
Touches (Def Pen),3.54,85
Touches (Def 3rd),14.75,55
Touches (Mid 3rd),31.94,31
Touches (Att 3rd),5.46,2
Touches (Att Pen),0.64,21
Touches (Live-Ball),47.61,16
,,
Dribbles Completed,0.52,29
Dribbles Attempted,0.87,34
Successful Dribble %,60.0%,43
Players Dribbled Past,0.52,25
Nutmegs,0.00,17
,,
Carries,30.19,19
Total Carrying Distance,193.94,55
Progressive Carrying Distance,78.91,36
Progressive Carries,2.90,30
Carries into Final Third,0.99,41
Carries into Penalty Area,0.12,47
Miscontrols,0.52,88
Dispossessed,1.22,35
,,
Pass Targets,30.19,9
Passes Received,27.70,11
Passes Received %,91.7%,49
Progressive Passes Rec,0.46,5
Yellow Cards,0.35,19
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.03,25
Fouls Drawn,2.09,81
Offsides,0.00,77
Crosses,0.23,22
,,
Interceptions,1.63,44
Tackles Won,1.97,83
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.34,65
,,
Aerials won,2.21,84
Aerials lost,1.05,59
% of Aerials Won,67.9%,96
