--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.22,41
Assists,0.07,12
Non-Penalty Goals,0.22,47
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.29,13
Red Cards,0.00,56
,,
xG,0.15,18
npxG,0.15,24
xA,0.11,15
npxG+xA,0.26,15
Goals,0.22,41
Shots Total,1.45,16
Shots on target,0.44,14
Shots on target %,30.0%,21
Goals/Shot,0.15,73
Goals/Shot on target,0.50,91
Average Shot Distance,21.50,9
Shots from free kicks,0.07,62
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.15,18
npxG,0.15,24
npxG/Sh,0.10,47
Goals - xG,+0.07,71
Non-Penalty Goals - npxG,+0.07,73
Passes Completed,17.26,7
Passes Attempted,24.29,7
Pass Completion %,71.0%,24
Total Passing Distance,288.06,8
Progressive Passing Distance,81.37,16
,,
Passes Completed (Short),8.70,7
Passes Attempted (Short),10.81,6
Pass Completion % (Short),80.5%,17
,,
Passes Completed (Medium),6.02,10
Passes Attempted (Medium),8.34,10
Pass Completion % (Medium),72.2%,19
,,
Passes Completed (Long),1.74,20
Passes Attempted (Long),3.34,22
Pass Completion % (Long),52.2%,40
Assists,0.07,12
xA,0.11,15
Key Passes,1.02,13
Passes into Final Third,0.94,11
Passes into Penalty Area,0.44,1
Crosses into Penalty Area,0.15,20
Progressive Passes,1.74,9
Passes Attempted,24.29,7
,,
Live-ball passes,21.97,4
Dead-ball passes,2.32,51
Passes from Free Kicks,0.51,51
Through Balls,0.00,8
Passes Under Pressure,5.15,10
Switches,0.73,28
Crosses,1.23,23
Corner Kicks,0.65,48
,,
Inswinging Corner Kicks,0.22,47
Outswinging Corner Kicks,0.36,63
Straight Corner Kicks,0.00,26
,,
Ground passes,15.59,7
Low Passes,4.13,27
High Passes,4.57,32
,,
Passes Attempted (Left),3.63,22
Passes Attempted (Right),17.70,34
Passes Attempted (Head),1.45,82
Throw-Ins taken,0.80,83
Passes Attempted (Other),0.07,10
,,
Passes Completed,17.26,7
Passes Offside,0.07,87
Passes Out of Bounds,0.44,74
Passes Intercepted,1.02,92
Passes Blocked,1.23,73
Shot-Creating Actions,2.18,11
,,
SCA (PassLive),1.67,22
SCA (PassDead),0.36,62
SCA (Drib),0.00,1
SCA (Sh),0.00,1
SCA (Fld),0.07,14
SCA (Def),0.07,54
,,
Goal-Creating Actions,0.29,29
,,
GCA (PassLive),0.15,21
GCA (PassDead),0.07,80
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.07,99
Tackles,1.52,56
Tackles Won,1.09,70
Tackles (Def 3rd),0.87,93
Tackles (Mid 3rd),0.44,22
Tackles (Att 3rd),0.22,29
,,
Dribblers Tackled,0.22,11
Dribbles Contested,0.73,5
% of dribblers tackled,30.0%,46
Dribbled Past,0.51,95
,,
Pressures,20.02,76
Successful Pressures,4.86,57
Successful Pressure %,24.3%,12
Pressures (Def 3rd),5.00,85
Pressures (Mid 3rd),7.61,56
Pressures (Att 3rd),7.40,86
,,
Blocks,1.60,80
Shots Blocked,0.22,93
Shots Saved,0.00,49
Passes Blocked,1.38,75
,,
Interceptions,1.09,62
Tkl+Int,2.61,64
Clearances,0.44,52
Errors,0.00,57
Touches,36.91,6
Touches (Def Pen),1.09,72
Touches (Def 3rd),6.74,57
Touches (Mid 3rd),16.83,13
Touches (Att 3rd),15.95,4
Touches (Att Pen),3.34,33
Touches (Live-Ball),34.59,4
,,
Dribbles Completed,0.87,11
Dribbles Attempted,2.03,22
Successful Dribble %,42.9%,9
Players Dribbled Past,0.94,11
Nutmegs,0.00,3
,,
Carries,23.06,3
Total Carrying Distance,123.94,3
Progressive Carrying Distance,65.63,5
Progressive Carries,3.55,5
Carries into Final Third,0.65,1
Carries into Penalty Area,0.73,35
Miscontrols,2.54,23
Dispossessed,1.52,77
,,
Pass Targets,34.38,2
Passes Received,22.05,2
Passes Received %,64.1%,5
Progressive Passes Rec,3.84,8
Yellow Cards,0.29,13
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.38,34
Fouls Drawn,1.31,29
Offsides,0.73,4
Crosses,1.23,23
,,
Interceptions,1.09,62
Tackles Won,1.09,70
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.07,1
Own Goals,0.00,51
Ball Recoveries,6.60,62
,,
Aerials won,0.80,62
Aerials lost,2.10,19
% of Aerials Won,27.5%,28
