--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.03,21
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.28,21
Red Cards,0.00,60
,,
xG,0.03,45
npxG,0.03,45
xA,0.06,35
npxG+xA,0.10,30
Goals,0.00,20
Shots Total,0.65,56
Shots on target,0.06,15
Shots on target %,9.5%,7
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,19.10,58
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,45
npxG,0.03,45
npxG/Sh,0.05,33
Goals - xG,-0.03,18
Non-Penalty Goals - npxG,-0.03,18
Passes Completed,34.18,26
Passes Attempted,47.48,32
Pass Completion %,72.0%,19
Total Passing Distance,651.80,36
Progressive Passing Distance,291.99,56
,,
Passes Completed (Short),13.37,12
Passes Attempted (Short),16.06,15
Pass Completion % (Short),83.2%,8
,,
Passes Completed (Medium),15.85,44
Passes Attempted (Medium),20.87,54
Pass Completion % (Medium),75.9%,15
,,
Passes Completed (Long),4.37,56
Passes Attempted (Long),8.47,57
Pass Completion % (Long),51.6%,48
Assists,0.03,21
xA,0.06,35
Key Passes,0.56,14
Passes into Final Third,2.57,51
Passes into Penalty Area,0.84,31
Crosses into Penalty Area,0.31,25
Progressive Passes,2.98,26
Passes Attempted,47.48,32
,,
Live-ball passes,35.98,25
Dead-ball passes,11.51,80
Passes from Free Kicks,0.62,29
Through Balls,0.03,41
Passes Under Pressure,6.48,59
Switches,1.05,50
Crosses,1.55,22
Corner Kicks,0.03,44
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.03,64
Straight Corner Kicks,0.00,42
,,
Ground passes,20.16,8
Low Passes,12.28,74
High Passes,15.04,84
,,
Passes Attempted (Left),3.54,16
Passes Attempted (Right),27.45,49
Passes Attempted (Head),3.72,99
Throw-Ins taken,10.85,94
Passes Attempted (Other),0.16,59
,,
Passes Completed,34.18,26
Passes Offside,0.19,40
Passes Out of Bounds,1.40,6
Passes Intercepted,1.64,63
Passes Blocked,1.58,62
Shot-Creating Actions,1.55,38
,,
SCA (PassLive),1.12,31
SCA (PassDead),0.09,49
SCA (Drib),0.12,82
SCA (Sh),0.06,69
SCA (Fld),0.16,89
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.16,43
,,
GCA (PassLive),0.09,33
GCA (PassDead),0.03,76
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.03,79
GCA (Def),0.00,46
Tackles,2.36,63
Tackles Won,1.33,66
Tackles (Def 3rd),1.43,70
Tackles (Mid 3rd),0.65,47
Tackles (Att 3rd),0.28,59
,,
Dribblers Tackled,1.21,82
Dribbles Contested,2.70,90
% of dribblers tackled,44.8%,35
Dribbled Past,1.49,11
,,
Pressures,13.83,62
Successful Pressures,3.97,52
Successful Pressure %,28.7%,28
Pressures (Def 3rd),6.42,71
Pressures (Mid 3rd),4.65,45
Pressures (Att 3rd),2.76,70
,,
Blocks,2.51,91
Shots Blocked,0.43,82
Shots Saved,0.00,41
Passes Blocked,2.08,88
,,
Interceptions,1.80,50
Tkl+Int,4.16,58
Clearances,2.42,71
Errors,0.00,70
Touches,59.48,33
Touches (Def Pen),3.78,63
Touches (Def 3rd),18.05,36
Touches (Mid 3rd),26.98,34
Touches (Att 3rd),16.81,38
Touches (Att Pen),1.24,44
Touches (Live-Ball),48.26,28
,,
Dribbles Completed,0.84,60
Dribbles Attempted,1.58,59
Successful Dribble %,52.9%,55
Players Dribbled Past,1.02,65
Nutmegs,0.12,71
,,
Carries,27.23,8
Total Carrying Distance,108.33,4
Progressive Carrying Distance,51.67,1
Progressive Carries,2.17,3
Carries into Final Third,0.65,2
Carries into Penalty Area,0.12,21
Miscontrols,0.96,43
Dispossessed,0.65,68
,,
Pass Targets,31.01,15
Passes Received,27.54,14
Passes Received %,88.8%,27
Progressive Passes Rec,1.15,16
Yellow Cards,0.28,21
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.71,11
Fouls Drawn,1.09,51
Offsides,0.09,39
Crosses,1.55,22
,,
Interceptions,1.80,50
Tackles Won,1.33,66
Penalty Kicks Won,0.03,88
Penalty Kicks Conceded,0.06,6
Own Goals,0.00,57
Ball Recoveries,9.46,88
,,
Aerials won,2.45,96
Aerials lost,1.21,42
% of Aerials Won,66.9%,96
