--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.17,55
Red Cards,0.00,60
,,
xG,0.03,32
npxG,0.03,32
xA,0.03,5
npxG+xA,0.05,6
Goals,0.00,20
Shots Total,0.50,39
Shots on target,0.08,25
Shots on target %,16.7%,19
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,19.00,59
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,32
npxG,0.03,32
npxG/Sh,0.04,20
Goals - xG,-0.03,26
Non-Penalty Goals - npxG,-0.03,26
Passes Completed,26.09,2
Passes Attempted,39.84,6
Pass Completion %,65.5%,2
Total Passing Distance,507.62,5
Progressive Passing Distance,263.29,39
,,
Passes Completed (Short),10.32,1
Passes Attempted (Short),12.92,3
Pass Completion % (Short),79.9%,2
,,
Passes Completed (Medium),12.08,10
Passes Attempted (Medium),16.02,10
Pass Completion % (Medium),75.4%,13
,,
Passes Completed (Long),3.36,29
Passes Attempted (Long),9.06,64
Pass Completion % (Long),37.0%,5
Assists,0.00,10
xA,0.03,5
Key Passes,0.34,2
Passes into Final Third,2.77,60
Passes into Penalty Area,0.50,8
Crosses into Penalty Area,0.17,9
Progressive Passes,3.19,35
Passes Attempted,39.84,6
,,
Live-ball passes,29.78,3
Dead-ball passes,10.07,58
Passes from Free Kicks,0.50,19
Through Balls,0.00,18
Passes Under Pressure,5.03,18
Switches,0.50,10
Crosses,1.34,13
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,13.76,1
Low Passes,10.48,44
High Passes,15.60,89
,,
Passes Attempted (Left),1.01,1
Passes Attempted (Right),23.99,45
Passes Attempted (Head),3.94,99
Throw-Ins taken,9.56,73
Passes Attempted (Other),0.08,31
,,
Passes Completed,26.09,2
Passes Offside,0.00,98
Passes Out of Bounds,1.17,16
Passes Intercepted,1.43,82
Passes Blocked,1.76,50
Shot-Creating Actions,0.92,3
,,
SCA (PassLive),0.67,5
SCA (PassDead),0.08,45
SCA (Drib),0.00,15
SCA (Sh),0.08,76
SCA (Fld),0.00,10
SCA (Def),0.08,85
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,3.27,94
Tackles Won,1.93,93
Tackles (Def 3rd),2.52,99
Tackles (Mid 3rd),0.50,25
Tackles (Att 3rd),0.25,52
,,
Dribblers Tackled,1.43,93
Dribbles Contested,2.60,88
% of dribblers tackled,54.8%,72
Dribbled Past,1.17,25
,,
Pressures,15.85,80
Successful Pressures,4.36,65
Successful Pressure %,27.5%,20
Pressures (Def 3rd),8.30,93
Pressures (Mid 3rd),6.04,78
Pressures (Att 3rd),1.51,17
,,
Blocks,1.76,42
Shots Blocked,0.25,45
Shots Saved,0.00,41
Passes Blocked,1.51,47
,,
Interceptions,2.85,96
Tkl+Int,6.12,98
Clearances,3.77,99
Errors,0.08,4
Touches,53.60,14
Touches (Def Pen),4.11,74
Touches (Def 3rd),21.05,68
Touches (Mid 3rd),24.58,19
Touches (Att 3rd),10.40,4
Touches (Att Pen),0.59,9
Touches (Live-Ball),43.78,10
,,
Dribbles Completed,0.75,53
Dribbles Attempted,1.01,28
Successful Dribble %,75.0%,96
Players Dribbled Past,0.75,45
Nutmegs,0.25,95
,,
Carries,21.39,1
Total Carrying Distance,115.16,7
Progressive Carrying Distance,66.51,9
Progressive Carries,3.02,13
Carries into Final Third,0.84,8
Carries into Penalty Area,0.08,13
Miscontrols,0.92,46
Dispossessed,0.59,75
,,
Pass Targets,21.81,1
Passes Received,20.38,1
Passes Received %,93.5%,82
Progressive Passes Rec,0.84,8
Yellow Cards,0.17,55
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.92,72
Fouls Drawn,0.75,30
Offsides,0.00,89
Crosses,1.34,13
,,
Interceptions,2.85,96
Tackles Won,1.93,93
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.08,2
Own Goals,0.00,57
Ball Recoveries,9.90,94
,,
Aerials won,2.43,96
Aerials lost,2.18,2
% of Aerials Won,52.7%,60
