--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.22,51
Red Cards,0.00,61
,,
xG,0.01,5
npxG,0.01,5
xA,0.04,30
npxG+xA,0.06,10
Goals,0.00,11
Shots Total,0.37,6
Shots on target,0.00,1
Shots on target %,0.0%,1
Goals/Shot,0.00,12
Average Shot Distance,18.30,72
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.01,5
npxG,0.01,5
npxG/Sh,0.04,12
Goals - xG,-0.01,41
Non-Penalty Goals - npxG,-0.01,41
Passes Completed,29.88,16
Passes Attempted,35.58,10
Pass Completion %,84.0%,59
Total Passing Distance,529.10,14
Progressive Passing Distance,125.21,11
,,
Passes Completed (Short),13.86,24
Passes Attempted (Short),15.12,20
Pass Completion % (Short),91.7%,82
,,
Passes Completed (Medium),12.83,21
Passes Attempted (Medium),14.23,15
Pass Completion % (Medium),90.1%,73
,,
Passes Completed (Long),2.89,10
Passes Attempted (Long),4.45,8
Pass Completion % (Long),65.0%,35
Assists,0.00,11
xA,0.04,30
Key Passes,0.44,14
Passes into Final Third,2.45,15
Passes into Penalty Area,0.30,10
Crosses into Penalty Area,0.15,69
Progressive Passes,1.71,2
Passes Attempted,35.58,10
,,
Live-ball passes,34.55,12
Dead-ball passes,1.04,26
Passes from Free Kicks,0.59,20
Through Balls,0.00,11
Passes Under Pressure,7.49,38
Switches,0.52,7
Crosses,0.30,29
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,25.65,17
Low Passes,4.67,33
High Passes,5.26,14
,,
Passes Attempted (Left),6.97,54
Passes Attempted (Right),25.50,23
Passes Attempted (Head),1.63,38
Throw-Ins taken,0.15,49
Passes Attempted (Other),0.07,7
,,
Passes Completed,29.88,16
Passes Offside,0.07,81
Passes Out of Bounds,0.44,91
Passes Intercepted,0.67,98
Passes Blocked,1.41,13
Shot-Creating Actions,0.96,5
,,
SCA (PassLive),0.89,13
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.07,55
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.07,16
,,
GCA (PassLive),0.07,26
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.48,11
Tackles Won,1.04,20
Tackles (Def 3rd),0.52,12
Tackles (Mid 3rd),0.82,24
Tackles (Att 3rd),0.15,19
,,
Dribblers Tackled,0.52,20
Dribbles Contested,0.82,1
% of dribblers tackled,63.6%,99
Dribbled Past,0.30,99
,,
Pressures,15.42,17
Successful Pressures,3.56,2
Successful Pressure %,23.1%,2
Pressures (Def 3rd),5.41,40
Pressures (Mid 3rd),8.15,25
Pressures (Att 3rd),1.85,16
,,
Blocks,1.93,79
Shots Blocked,0.74,97
Shots Saved,0.00,45
Passes Blocked,1.19,41
,,
Interceptions,1.26,20
Tkl+Int,2.74,12
Clearances,1.56,70
Errors,0.07,3
Touches,45.15,7
Touches (Def Pen),3.11,72
Touches (Def 3rd),12.97,37
Touches (Mid 3rd),27.73,17
Touches (Att 3rd),6.97,7
Touches (Att Pen),0.74,28
Touches (Live-Ball),44.18,8
,,
Dribbles Completed,0.59,41
Dribbles Attempted,0.96,39
Successful Dribble %,61.5%,47
Players Dribbled Past,0.59,33
Nutmegs,0.07,68
,,
Carries,28.91,13
Total Carrying Distance,125.21,11
Progressive Carrying Distance,49.30,7
Progressive Carries,2.08,11
Carries into Final Third,0.67,15
Carries into Penalty Area,0.07,36
Miscontrols,1.26,26
Dispossessed,1.41,22
,,
Pass Targets,32.03,13
Passes Received,28.39,13
Passes Received %,88.7%,28
Progressive Passes Rec,1.71,49
Yellow Cards,0.22,51
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.78,38
Fouls Drawn,1.11,33
Offsides,0.00,77
Crosses,0.30,29
,,
Interceptions,1.26,20
Tackles Won,1.04,20
Penalty Kicks Won,0.07,99
Penalty Kicks Conceded,0.07,1
Own Goals,0.00,53
Ball Recoveries,8.23,20
,,
Aerials won,1.56,66
Aerials lost,1.11,53
% of Aerials Won,58.3%,78
