--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.00,2
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.27,15
Red Cards,0.00,56
,,
xG,0.21,44
npxG,0.21,51
xA,0.10,10
npxG+xA,0.31,27
Goals,0.00,1
Shots Total,2.22,57
Shots on target,0.67,43
Shots on target %,30.3%,25
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,15.50,77
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.21,44
npxG,0.21,51
npxG/Sh,0.09,37
Goals - xG,-0.21,1
Non-Penalty Goals - npxG,-0.21,1
Passes Completed,22.28,24
Passes Attempted,31.30,25
Pass Completion %,71.2%,25
Total Passing Distance,321.56,13
Progressive Passing Distance,80.04,15
,,
Passes Completed (Short),13.53,39
Passes Attempted (Short),15.89,37
Pass Completion % (Short),85.2%,49
,,
Passes Completed (Medium),7.14,22
Passes Attempted (Medium),10.37,27
Pass Completion % (Medium),68.8%,10
,,
Passes Completed (Long),1.01,4
Passes Attempted (Long),3.10,21
Pass Completion % (Long),32.6%,1
Assists,0.00,2
xA,0.10,10
Key Passes,1.08,16
Passes into Final Third,1.08,19
Passes into Penalty Area,1.08,32
Crosses into Penalty Area,0.34,59
Progressive Passes,2.56,34
Passes Attempted,31.30,25
,,
Live-ball passes,30.70,31
Dead-ball passes,0.61,13
Passes from Free Kicks,0.07,15
Through Balls,0.00,8
Passes Under Pressure,6.06,25
Switches,0.47,12
Crosses,3.37,91
Corner Kicks,0.27,34
,,
Inswinging Corner Kicks,0.07,34
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,22.08,31
Low Passes,4.64,45
High Passes,4.58,32
,,
Passes Attempted (Left),6.33,55
Passes Attempted (Right),22.75,45
Passes Attempted (Head),0.81,36
Throw-Ins taken,0.27,28
Passes Attempted (Other),0.40,84
,,
Passes Completed,22.28,24
Passes Offside,0.27,22
Passes Out of Bounds,0.88,18
Passes Intercepted,0.81,98
Passes Blocked,2.09,8
Shot-Creating Actions,2.76,28
,,
SCA (PassLive),1.75,24
SCA (PassDead),0.00,13
SCA (Drib),0.40,85
SCA (Sh),0.20,61
SCA (Fld),0.27,79
SCA (Def),0.13,87
,,
Goal-Creating Actions,0.07,1
,,
GCA (PassLive),0.07,5
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.55,60
Tackles Won,1.01,63
Tackles (Def 3rd),0.40,42
Tackles (Mid 3rd),0.54,42
Tackles (Att 3rd),0.61,94
,,
Dribblers Tackled,0.40,45
Dribbles Contested,1.95,81
% of dribblers tackled,20.7%,8
Dribbled Past,1.55,10
,,
Pressures,22.35,92
Successful Pressures,5.59,76
Successful Pressure %,25.0%,18
Pressures (Def 3rd),4.58,76
Pressures (Mid 3rd),9.83,82
Pressures (Att 3rd),7.94,94
,,
Blocks,1.62,80
Shots Blocked,0.20,89
Shots Saved,0.00,49
Passes Blocked,1.41,77
,,
Interceptions,0.81,37
Tkl+Int,2.36,49
Clearances,0.27,28
Errors,0.00,57
Touches,47.12,34
Touches (Def Pen),0.61,29
Touches (Def 3rd),5.59,39
Touches (Mid 3rd),17.17,14
Touches (Att 3rd),28.00,71
Touches (Att Pen),5.92,87
Touches (Live-Ball),46.58,40
,,
Dribbles Completed,2.76,92
Dribbles Attempted,5.65,94
Successful Dribble %,48.8%,36
Players Dribbled Past,3.16,93
Nutmegs,0.40,89
,,
Carries,37.56,52
Total Carrying Distance,219.18,62
Progressive Carrying Distance,149.51,85
Progressive Carries,7.81,81
Carries into Final Third,1.82,44
Carries into Penalty Area,2.09,93
Miscontrols,2.56,23
Dispossessed,2.15,37
,,
Pass Targets,47.26,48
Passes Received,34.94,40
Passes Received %,73.9%,31
Progressive Passes Rec,5.12,28
Yellow Cards,0.27,15
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.82,15
Fouls Drawn,2.09,71
Offsides,0.67,6
Crosses,3.37,91
,,
Interceptions,0.81,37
Tackles Won,1.01,63
Penalty Kicks Won,0.07,93
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.33,54
,,
Aerials won,0.74,57
Aerials lost,1.01,69
% of Aerials Won,42.3%,81
