--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,75
Assists,0.06,46
Non-Penalty Goals,0.12,79
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.42,9
Red Cards,0.00,61
,,
xG,0.10,70
npxG,0.10,75
xA,0.13,81
npxG+xA,0.22,79
Goals,0.12,75
Shots Total,1.33,77
Shots on target,0.30,58
Shots on target %,22.7%,33
Goals/Shot,0.09,67
Goals/Shot on target,0.40,76
Average Shot Distance,19.60,58
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.10,70
npxG,0.10,75
npxG/Sh,0.07,54
Goals - xG,+0.02,72
Non-Penalty Goals - npxG,+0.02,72
Passes Completed,50.66,76
Passes Attempted,56.05,68
Pass Completion %,90.4%,93
Total Passing Distance,816.23,57
Progressive Passing Distance,153.25,24
,,
Passes Completed (Short),24.57,87
Passes Attempted (Short),26.75,87
Pass Completion % (Short),91.9%,84
,,
Passes Completed (Medium),21.12,73
Passes Attempted (Medium),22.21,68
Pass Completion % (Medium),95.1%,98
,,
Passes Completed (Long),3.51,17
Passes Attempted (Long),4.66,9
Pass Completion % (Long),75.3%,74
Assists,0.06,46
xA,0.13,81
Key Passes,1.21,74
Passes into Final Third,4.72,69
Passes into Penalty Area,0.85,65
Crosses into Penalty Area,0.00,8
Progressive Passes,3.27,32
Passes Attempted,56.05,68
,,
Live-ball passes,54.96,72
Dead-ball passes,1.09,27
Passes from Free Kicks,0.79,30
Through Balls,0.18,81
Passes Under Pressure,10.65,90
Switches,0.73,17
Crosses,0.18,16
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,48.78,84
Low Passes,4.30,20
High Passes,2.97,2
,,
Passes Attempted (Left),2.24,3
Passes Attempted (Right),50.60,80
Passes Attempted (Head),1.94,50
Throw-Ins taken,0.24,67
Passes Attempted (Other),0.42,87
,,
Passes Completed,50.66,76
Passes Offside,0.18,43
Passes Out of Bounds,0.48,84
Passes Intercepted,0.97,89
Passes Blocked,0.79,73
Shot-Creating Actions,2.84,81
,,
SCA (PassLive),2.36,90
SCA (PassDead),0.00,23
SCA (Drib),0.18,90
SCA (Sh),0.12,70
SCA (Fld),0.06,46
SCA (Def),0.12,85
,,
Goal-Creating Actions,0.24,65
,,
GCA (PassLive),0.18,63
GCA (PassDead),0.00,39
GCA (Drib),0.06,97
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.60,68
Tackles Won,2.00,84
Tackles (Def 3rd),0.79,34
Tackles (Mid 3rd),1.27,74
Tackles (Att 3rd),0.54,96
,,
Dribblers Tackled,0.91,72
Dribbles Contested,2.42,76
% of dribblers tackled,37.5%,54
Dribbled Past,1.51,26
,,
Pressures,23.42,84
Successful Pressures,6.84,82
Successful Pressure %,29.2%,37
Pressures (Def 3rd),4.66,23
Pressures (Mid 3rd),13.25,94
Pressures (Att 3rd),5.51,95
,,
Blocks,1.33,29
Shots Blocked,0.06,4
Shots Saved,0.00,45
Passes Blocked,1.27,51
,,
Interceptions,0.79,3
Tkl+Int,3.39,27
Clearances,1.27,53
Errors,0.00,67
Touches,68.88,73
Touches (Def Pen),1.82,24
Touches (Def 3rd),10.17,14
Touches (Mid 3rd),39.70,69
Touches (Att 3rd),24.27,93
Touches (Att Pen),2.48,88
Touches (Live-Ball),67.97,78
,,
Dribbles Completed,2.36,99
Dribbles Attempted,3.27,98
Successful Dribble %,72.2%,87
Players Dribbled Past,2.48,99
Nutmegs,0.00,17
,,
Carries,54.53,88
Total Carrying Distance,290.46,91
Progressive Carrying Distance,155.25,92
Progressive Carries,7.63,96
Carries into Final Third,2.30,93
Carries into Penalty Area,0.54,95
Miscontrols,1.94,4
Dispossessed,1.82,8
,,
Pass Targets,59.68,86
Passes Received,52.84,82
Passes Received %,88.5%,27
Progressive Passes Rec,4.60,94
Yellow Cards,0.42,9
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,3.09,1
Fouls Drawn,2.00,80
Offsides,0.12,9
Crosses,0.18,16
,,
Interceptions,0.79,3
Tackles Won,2.00,84
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,7.81,14
,,
Aerials won,0.97,42
Aerials lost,0.79,83
% of Aerials Won,55.2%,69
