--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.04,29
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.43,3
Red Cards,0.00,60
,,
xG,0.02,23
npxG,0.02,23
xA,0.05,23
npxG+xA,0.07,20
Goals,0.00,20
Shots Total,0.66,57
Shots on target,0.08,22
Shots on target %,11.8%,10
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,22.00,25
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,23
npxG,0.02,23
npxG/Sh,0.03,9
Goals - xG,-0.02,32
Non-Penalty Goals - npxG,-0.02,32
Passes Completed,26.48,3
Passes Attempted,37.50,2
Pass Completion %,70.6%,13
Total Passing Distance,475.04,4
Progressive Passing Distance,199.26,7
,,
Passes Completed (Short),12.23,6
Passes Attempted (Short),14.49,6
Pass Completion % (Short),84.4%,13
,,
Passes Completed (Medium),10.82,4
Passes Attempted (Medium),14.22,3
Pass Completion % (Medium),76.1%,16
,,
Passes Completed (Long),2.89,18
Passes Attempted (Long),6.84,32
Pass Completion % (Long),42.3%,12
Assists,0.04,29
xA,0.05,23
Key Passes,0.70,34
Passes into Final Third,1.41,4
Passes into Penalty Area,0.51,8
Crosses into Penalty Area,0.31,26
Progressive Passes,1.84,3
Passes Attempted,37.50,2
,,
Live-ball passes,28.83,2
Dead-ball passes,8.67,29
Passes from Free Kicks,0.16,1
Through Balls,0.04,51
Passes Under Pressure,5.20,22
Switches,0.82,34
Crosses,1.80,33
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,16.84,1
Low Passes,10.00,36
High Passes,10.66,45
,,
Passes Attempted (Left),3.95,24
Passes Attempted (Right),21.95,41
Passes Attempted (Head),2.11,64
Throw-Ins taken,8.52,51
Passes Attempted (Other),0.08,28
,,
Passes Completed,26.48,3
Passes Offside,0.20,36
Passes Out of Bounds,1.33,10
Passes Intercepted,0.94,99
Passes Blocked,1.56,64
Shot-Creating Actions,1.17,13
,,
SCA (PassLive),0.90,14
SCA (PassDead),0.12,56
SCA (Drib),0.04,40
SCA (Sh),0.04,42
SCA (Fld),0.00,10
SCA (Def),0.08,82
,,
Goal-Creating Actions,0.16,44
,,
GCA (PassLive),0.08,28
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.08,99
Tackles,3.44,96
Tackles Won,2.11,96
Tackles (Def 3rd),2.15,96
Tackles (Mid 3rd),0.98,86
Tackles (Att 3rd),0.31,69
,,
Dribblers Tackled,1.45,94
Dribbles Contested,2.81,91
% of dribblers tackled,51.4%,63
Dribbled Past,1.37,13
,,
Pressures,15.59,79
Successful Pressures,5.43,89
Successful Pressure %,34.8%,88
Pressures (Def 3rd),8.13,91
Pressures (Mid 3rd),6.05,78
Pressures (Att 3rd),1.41,13
,,
Blocks,2.07,67
Shots Blocked,0.55,94
Shots Saved,0.00,41
Passes Blocked,1.52,48
,,
Interceptions,2.11,71
Tkl+Int,5.55,94
Clearances,2.54,77
Errors,0.00,70
Touches,49.02,3
Touches (Def Pen),4.22,81
Touches (Def 3rd),17.89,35
Touches (Mid 3rd),20.47,2
Touches (Att 3rd),12.85,9
Touches (Att Pen),1.05,35
Touches (Live-Ball),40.51,2
,,
Dribbles Completed,0.59,35
Dribbles Attempted,1.13,37
Successful Dribble %,51.7%,51
Players Dribbled Past,0.70,40
Nutmegs,0.08,53
,,
Carries,23.24,1
Total Carrying Distance,111.05,6
Progressive Carrying Distance,52.97,2
Progressive Carries,1.88,1
Carries into Final Third,0.66,4
Carries into Penalty Area,0.08,11
Miscontrols,0.86,54
Dispossessed,0.74,58
,,
Pass Targets,23.48,1
Passes Received,20.70,1
Passes Received %,88.2%,23
Progressive Passes Rec,1.33,21
Yellow Cards,0.43,3
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.80,8
Fouls Drawn,0.55,16
Offsides,0.04,66
Crosses,1.80,33
,,
Interceptions,2.11,71
Tackles Won,2.11,96
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.05,50
,,
Aerials won,1.17,54
Aerials lost,1.41,24
% of Aerials Won,45.5%,36
