--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.19,7
Assists,0.05,15
Non-Penalty Goals,0.19,14
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.19,34
Red Cards,0.00,55
,,
xG,0.30,23
npxG,0.30,42
xA,0.09,34
npxG+xA,0.39,31
Goals,0.19,7
Shots Total,1.63,1
Shots on target,0.48,1
Shots on target %,29.4%,14
Goals/Shot,0.12,36
Goals/Shot on target,0.40,65
Average Shot Distance,12.00,89
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.30,23
npxG,0.30,42
npxG/Sh,0.19,97
Goals - xG,-0.11,12
Non-Penalty Goals - npxG,-0.11,14
Passes Completed,17.95,67
Passes Attempted,24.24,58
Pass Completion %,74.1%,67
Total Passing Distance,276.19,66
Progressive Passing Distance,70.03,80
,,
Passes Completed (Short),10.27,66
Passes Attempted (Short),12.48,56
Pass Completion % (Short),82.3%,77
,,
Passes Completed (Medium),5.86,71
Passes Attempted (Medium),7.49,60
Pass Completion % (Medium),78.2%,79
,,
Passes Completed (Long),1.30,61
Passes Attempted (Long),2.50,67
Pass Completion % (Long),51.9%,28
Assists,0.05,15
xA,0.09,34
Key Passes,0.67,12
Passes into Final Third,1.25,69
Passes into Penalty Area,0.29,12
Crosses into Penalty Area,0.14,67
Progressive Passes,1.39,42
Passes Attempted,24.24,58
,,
Live-ball passes,23.23,61
Dead-ball passes,1.01,27
Passes from Free Kicks,0.14,81
Through Balls,0.00,11
Passes Under Pressure,5.95,37
Switches,0.34,40
Crosses,0.72,50
Corner Kicks,0.05,77
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.05,85
Straight Corner Kicks,0.00,45
,,
Ground passes,16.80,69
Low Passes,3.94,34
High Passes,3.50,48
,,
Passes Attempted (Left),2.78,45
Passes Attempted (Right),17.81,74
Passes Attempted (Head),1.44,66
Throw-Ins taken,0.29,84
Passes Attempted (Other),0.48,53
,,
Passes Completed,17.95,67
Passes Offside,0.14,28
Passes Out of Bounds,0.38,57
Passes Intercepted,1.15,53
Passes Blocked,1.10,42
Shot-Creating Actions,2.26,50
,,
SCA (PassLive),1.20,16
SCA (PassDead),0.05,81
SCA (Drib),0.19,61
SCA (Sh),0.29,79
SCA (Fld),0.19,56
SCA (Def),0.34,99
,,
Goal-Creating Actions,0.24,34
,,
GCA (PassLive),0.05,7
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.05,61
GCA (Fld),0.10,91
GCA (Def),0.05,93
Tackles,1.44,96
Tackles Won,0.86,92
Tackles (Def 3rd),0.82,99
Tackles (Mid 3rd),0.43,69
Tackles (Att 3rd),0.19,33
,,
Dribblers Tackled,0.14,47
Dribbles Contested,1.34,95
% of dribblers tackled,10.7%,14
Dribbled Past,1.20,2
,,
Pressures,22.13,95
Successful Pressures,4.94,79
Successful Pressure %,22.3%,6
Pressures (Def 3rd),5.47,99
Pressures (Mid 3rd),11.09,96
Pressures (Att 3rd),5.57,18
,,
Blocks,1.34,93
Shots Blocked,0.10,41
Shots Saved,0.00,48
Passes Blocked,1.25,96
,,
Interceptions,1.34,99
Tkl+Int,2.78,99
Clearances,0.96,80
Errors,0.00,53
Touches,38.69,64
Touches (Def Pen),1.78,99
Touches (Def 3rd),8.69,99
Touches (Mid 3rd),18.29,65
Touches (Att 3rd),15.26,25
Touches (Att Pen),3.65,7
Touches (Live-Ball),37.73,68
,,
Dribbles Completed,1.10,67
Dribbles Attempted,2.30,70
Successful Dribble %,47.9%,45
Players Dribbled Past,1.20,66
Nutmegs,0.10,58
,,
Carries,25.06,65
Total Carrying Distance,149.33,84
Progressive Carrying Distance,86.16,84
Progressive Carries,3.46,66
Carries into Final Third,1.68,89
Carries into Penalty Area,0.72,61
Miscontrols,2.74,51
Dispossessed,2.16,30
,,
Pass Targets,34.80,3
Passes Received,24.19,33
Passes Received %,69.5%,88
Progressive Passes Rec,4.61,1
Yellow Cards,0.19,34
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.83,2
Fouls Drawn,1.87,72
Offsides,0.19,96
Crosses,0.72,50
,,
Interceptions,1.34,99
Tackles Won,0.86,92
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,6.82,99
,,
Aerials won,1.97,50
Aerials lost,3.02,53
% of Aerials Won,39.4%,51
