--- When using SR data, please cite us and provide a link and/or a mention.


 
Goalkeeping,Goalkeeping,Goalkeeping
Statistic,Per 90,Percentile
Goals Against,1.50,35
Shots on Target Against,4.50,75
Saves,3.17,75
Save%,70.4%,57
Wins,0.33,45
Draws,0.33,79
Losses,0.33,42
Clean Sheets,0.00,1
Clean Sheet Percentage,0.0%,1
Penalty Kicks Attempted,0.17,60
Penalty Kicks Allowed,0.17,25
Penalty Kicks Saved,0.00,26
Penalty Kicks Missed,0.00,36
Save% (Penalty Kicks),0.0%,26
Goals Against,1.50,35
Penalty Kicks Allowed,0.17,25
Free Kick Goals Against,0.00,73
Corner Kick Goals Against,0.17,51
Own Goals Scored Against Goalkeeper,0.00,88
,,
PSxG,1.52,27
PSxG/SoT,0.31,65
PSxG-GA,+0.02,65
,,
Passes Completed (Launched),4.67,19
Passes Attempted (Launched),10.67,17
Pass Completion Percentage (Launched),43.8%,65
,,
Passes Attempted,27.67,67
Throws Attempted,6.50,99
Launch%,27.1%,10
Average Pass Length,32.0,13
,,
Goal Kicks,9.33,97
Launch% (Goal Kicks),33.9%,12
Avg. Length of Goal Kicks,36.4,21
,,
Crosses Faced,12.17,99
Crosses Stopped,0.83,80
Crosses Stopped %,6.8%,51
,,
Def. Actions Outside Pen. Area,1.33,95
Avg. Distance of Def. Actions,14.8,58
