--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.13,89
Assists,0.06,43
Non-Penalty Goals,0.13,90
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.38,7
Red Cards,0.00,60
,,
xG,0.09,89
npxG,0.09,90
xA,0.07,38
npxG+xA,0.16,69
Goals,0.13,89
Shots Total,1.32,93
Shots on target,0.19,59
Shots on target %,14.3%,14
Goals/Shot,0.10,72
Goals/Shot on target,0.67,95
Average Shot Distance,26.50,3
Shots from free kicks,0.25,96
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.09,89
npxG,0.09,90
npxG/Sh,0.07,59
Goals - xG,+0.03,81
Non-Penalty Goals - npxG,+0.03,80
Passes Completed,32.89,19
Passes Attempted,45.25,22
Pass Completion %,72.7%,23
Total Passing Distance,648.83,36
Progressive Passing Distance,283.12,52
,,
Passes Completed (Short),13.37,12
Passes Attempted (Short),15.56,11
Pass Completion % (Short),85.9%,20
,,
Passes Completed (Medium),14.31,26
Passes Attempted (Medium),18.14,28
Pass Completion % (Medium),78.9%,33
,,
Passes Completed (Long),4.58,60
Passes Attempted (Long),9.85,71
Pass Completion % (Long),46.5%,28
Assists,0.06,43
xA,0.07,38
Key Passes,0.63,22
Passes into Final Third,2.20,35
Passes into Penalty Area,0.82,30
Crosses into Penalty Area,0.25,19
Progressive Passes,2.89,23
Passes Attempted,45.25,22
,,
Live-ball passes,34.77,19
Dead-ball passes,10.48,64
Passes from Free Kicks,1.51,86
Through Balls,0.00,18
Passes Under Pressure,6.46,59
Switches,1.26,63
Crosses,2.20,48
Corner Kicks,0.31,77
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.06,71
Straight Corner Kicks,0.00,42
,,
Ground passes,20.96,10
Low Passes,10.23,40
High Passes,14.06,76
,,
Passes Attempted (Left),28.68,66
Passes Attempted (Right),3.83,15
Passes Attempted (Head),2.26,72
Throw-Ins taken,8.66,53
Passes Attempted (Other),0.31,92
,,
Passes Completed,32.89,19
Passes Offside,0.13,63
Passes Out of Bounds,1.07,28
Passes Intercepted,1.26,90
Passes Blocked,0.94,97
Shot-Creating Actions,2.32,79
,,
SCA (PassLive),1.51,62
SCA (PassDead),0.19,68
SCA (Drib),0.06,57
SCA (Sh),0.38,99
SCA (Fld),0.19,94
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.25,71
,,
GCA (PassLive),0.19,69
GCA (PassDead),0.00,37
GCA (Drib),0.06,97
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.95,88
Tackles Won,1.44,73
Tackles (Def 3rd),1.44,71
Tackles (Mid 3rd),1.19,96
Tackles (Att 3rd),0.31,69
,,
Dribblers Tackled,1.26,87
Dribbles Contested,2.89,92
% of dribblers tackled,43.5%,33
Dribbled Past,1.63,8
,,
Pressures,14.75,70
Successful Pressures,4.71,73
Successful Pressure %,31.9%,61
Pressures (Def 3rd),6.72,75
Pressures (Mid 3rd),5.96,74
Pressures (Att 3rd),2.07,42
,,
Blocks,2.26,77
Shots Blocked,0.25,45
Shots Saved,0.00,41
Passes Blocked,2.01,84
,,
Interceptions,2.07,67
Tkl+Int,5.02,85
Clearances,2.82,90
Errors,0.00,70
Touches,57.99,28
Touches (Def Pen),3.01,38
Touches (Def 3rd),17.64,31
Touches (Mid 3rd),29.62,52
Touches (Att 3rd),13.24,11
Touches (Att Pen),0.94,27
Touches (Live-Ball),47.70,25
,,
Dribbles Completed,0.19,3
Dribbles Attempted,0.82,16
Successful Dribble %,23.1%,1
Players Dribbled Past,0.19,2
Nutmegs,0.00,9
,,
Carries,27.74,11
Total Carrying Distance,120.31,8
Progressive Carrying Distance,64.90,9
Progressive Carries,2.51,6
Carries into Final Third,0.63,2
Carries into Penalty Area,0.19,35
Miscontrols,0.50,90
Dispossessed,0.94,34
,,
Pass Targets,29.94,11
Passes Received,25.98,8
Passes Received %,86.8%,13
Progressive Passes Rec,1.63,30
Yellow Cards,0.38,7
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.00,63
Fouls Drawn,1.38,73
Offsides,0.31,5
Crosses,2.20,48
,,
Interceptions,2.07,67
Tackles Won,1.44,73
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.06,5
Own Goals,0.00,57
Ball Recoveries,10.29,98
,,
Aerials won,2.45,96
Aerials lost,2.20,2
% of Aerials Won,52.7%,60
