--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.22,50
Red Cards,0.07,2
,,
xG,0.07,50
npxG,0.07,53
xA,0.05,32
npxG+xA,0.13,41
Goals,0.00,11
Shots Total,1.19,65
Shots on target,0.07,10
Shots on target %,6.3%,2
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,20.70,44
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,50
npxG,0.07,53
npxG/Sh,0.06,39
Goals - xG,-0.07,8
Non-Penalty Goals - npxG,-0.07,8
Passes Completed,28.36,12
Passes Attempted,37.76,15
Pass Completion %,75.1%,10
Total Passing Distance,627.09,25
Progressive Passing Distance,148.43,22
,,
Passes Completed (Short),9.93,4
Passes Attempted (Short),12.46,5
Pass Completion % (Short),79.6%,2
,,
Passes Completed (Medium),11.27,13
Passes Attempted (Medium),13.66,12
Pass Completion % (Medium),82.5%,19
,,
Passes Completed (Long),6.42,66
Passes Attempted (Long),10.00,70
Pass Completion % (Long),64.2%,34
Assists,0.00,11
xA,0.05,32
Key Passes,0.52,23
Passes into Final Third,3.66,45
Passes into Penalty Area,0.45,24
Crosses into Penalty Area,0.07,43
Progressive Passes,3.36,35
Passes Attempted,37.76,15
,,
Live-ball passes,36.72,17
Dead-ball passes,1.04,26
Passes from Free Kicks,0.67,24
Through Balls,0.07,50
Passes Under Pressure,8.51,60
Switches,2.69,81
Crosses,0.45,45
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,22.69,8
Low Passes,4.33,21
High Passes,10.75,81
,,
Passes Attempted (Left),4.55,26
Passes Attempted (Right),27.39,25
Passes Attempted (Head),3.36,96
Throw-Ins taken,0.07,25
Passes Attempted (Other),0.37,82
,,
Passes Completed,28.36,12
Passes Offside,0.00,98
Passes Out of Bounds,1.19,8
Passes Intercepted,1.19,75
Passes Blocked,1.12,34
Shot-Creating Actions,1.57,30
,,
SCA (PassLive),1.12,27
SCA (PassDead),0.15,70
SCA (Drib),0.07,66
SCA (Sh),0.07,53
SCA (Fld),0.07,55
SCA (Def),0.07,60
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.46,63
Tackles Won,1.87,78
Tackles (Def 3rd),0.75,30
Tackles (Mid 3rd),1.49,89
Tackles (Att 3rd),0.22,41
,,
Dribblers Tackled,0.90,71
Dribbles Contested,2.24,65
% of dribblers tackled,40.0%,64
Dribbled Past,1.34,40
,,
Pressures,23.81,87
Successful Pressures,7.24,88
Successful Pressure %,30.4%,49
Pressures (Def 3rd),7.84,84
Pressures (Mid 3rd),13.13,94
Pressures (Att 3rd),2.84,48
,,
Blocks,1.87,75
Shots Blocked,0.52,89
Shots Saved,0.00,45
Passes Blocked,1.34,60
,,
Interceptions,1.49,33
Tkl+Int,3.96,49
Clearances,2.16,89
Errors,0.00,67
Touches,49.18,16
Touches (Def Pen),2.46,50
Touches (Def 3rd),12.09,27
Touches (Mid 3rd),28.66,21
Touches (Att 3rd),10.82,31
Touches (Att Pen),1.19,50
Touches (Live-Ball),48.36,19
,,
Dribbles Completed,0.75,54
Dribbles Attempted,1.19,51
Successful Dribble %,62.5%,51
Players Dribbled Past,0.82,55
Nutmegs,0.00,17
,,
Carries,28.51,12
Total Carrying Distance,128.88,12
Progressive Carrying Distance,53.13,9
Progressive Carries,2.46,20
Carries into Final Third,0.90,32
Carries into Penalty Area,0.15,57
Miscontrols,0.97,43
Dispossessed,0.97,52
,,
Pass Targets,32.16,13
Passes Received,28.88,14
Passes Received %,89.8%,36
Progressive Passes Rec,1.27,31
Yellow Cards,0.22,50
Red Cards,0.07,2
Second Yellow Card,0.07,1
Fouls Committed,2.61,7
Fouls Drawn,1.72,68
Offsides,0.07,23
Crosses,0.45,45
,,
Interceptions,1.49,33
Tackles Won,1.87,78
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.78,50
,,
Aerials won,2.54,88
Aerials lost,2.24,7
% of Aerials Won,53.1%,64
