--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,67
Assists,0.00,31
Non-Penalty Goals,0.06,67
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.56,1
Red Cards,0.00,64
,,
xG,0.04,39
npxG,0.04,39
xA,0.01,49
npxG+xA,0.05,34
Goals,0.06,67
Shots Total,0.25,15
Shots on target,0.13,47
Shots on target %,50.0%,95
Goals/Shot,0.25,94
Goals/Shot on target,0.50,70
Average Shot Distance,7.20,94
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,39
npxG,0.04,39
npxG/Sh,0.15,88
Goals - xG,+0.03,80
Non-Penalty Goals - npxG,+0.03,80
Passes Completed,21.17,1
Passes Attempted,25.93,1
Pass Completion %,81.6%,23
Total Passing Distance,466.85,1
Progressive Passing Distance,133.03,1
,,
Passes Completed (Short),6.14,5
Passes Attempted (Short),7.14,4
Pass Completion % (Short),86.0%,16
,,
Passes Completed (Medium),10.08,1
Passes Attempted (Medium),11.46,1
Pass Completion % (Medium),88.0%,20
,,
Passes Completed (Long),4.70,5
Passes Attempted (Long),6.83,2
Pass Completion % (Long),68.8%,49
Assists,0.00,31
xA,0.01,49
Key Passes,0.25,72
Passes into Final Third,1.06,4
Passes into Penalty Area,0.13,42
Crosses into Penalty Area,0.00,29
Progressive Passes,0.63,1
Passes Attempted,25.93,1
,,
Live-ball passes,24.43,1
Dead-ball passes,1.50,20
Passes from Free Kicks,1.38,38
Through Balls,0.00,27
Passes Under Pressure,3.70,6
Switches,1.00,27
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,17.35,1
Low Passes,2.38,3
High Passes,6.20,10
,,
Passes Attempted (Left),1.69,1
Passes Attempted (Right),20.48,28
Passes Attempted (Head),2.19,30
Throw-Ins taken,0.13,30
Passes Attempted (Other),0.13,37
,,
Passes Completed,21.17,1
Passes Offside,0.00,97
Passes Out of Bounds,0.63,75
Passes Intercepted,0.50,91
Passes Blocked,0.25,91
Shot-Creating Actions,0.38,24
,,
SCA (PassLive),0.31,27
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.06,71
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.13,81
Tackles Won,1.32,78
Tackles (Def 3rd),1.38,80
Tackles (Mid 3rd),0.75,82
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.94,83
Dribbles Contested,1.88,87
% of dribblers tackled,50.0%,34
Dribbled Past,0.94,9
,,
Pressures,11.96,85
Successful Pressures,4.70,90
Successful Pressure %,39.3%,82
Pressures (Def 3rd),6.70,85
Pressures (Mid 3rd),5.07,87
Pressures (Att 3rd),0.19,9
,,
Blocks,1.75,56
Shots Blocked,0.88,65
Shots Saved,0.00,32
Passes Blocked,0.88,47
,,
Interceptions,1.94,42
Tkl+Int,4.07,64
Clearances,4.95,72
Errors,0.06,22
Touches,37.27,1
Touches (Def Pen),5.89,8
Touches (Def 3rd),22.86,2
Touches (Mid 3rd),14.66,1
Touches (Att 3rd),1.25,8
Touches (Att Pen),0.50,19
Touches (Live-Ball),35.76,1
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.06,8
Successful Dribble %,0.0%,3
Players Dribbled Past,0.00,3
Nutmegs,0.00,37
,,
Carries,16.72,1
Total Carrying Distance,81.42,1
Progressive Carrying Distance,34.51,1
Progressive Carries,0.81,7
Carries into Final Third,0.25,34
Carries into Penalty Area,0.00,31
Miscontrols,0.13,85
Dispossessed,0.13,76
,,
Pass Targets,17.10,1
Passes Received,16.47,1
Passes Received %,96.3%,13
Progressive Passes Rec,0.25,69
Yellow Cards,0.56,1
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.69,7
Fouls Drawn,0.38,24
Offsides,0.06,23
Crosses,0.00,7
,,
Interceptions,1.94,42
Tackles Won,1.32,78
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,7.33,13
,,
Aerials won,2.19,33
Aerials lost,1.13,78
% of Aerials Won,66.0%,64
