--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.49,91
Assists,0.37,92
Non-Penalty Goals,0.49,93
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.16,44
Red Cards,0.00,56
,,
xG,0.40,88
npxG,0.40,93
xA,0.26,86
npxG+xA,0.66,93
Goals,0.49,91
Shots Total,2.50,70
Shots on target,1.16,89
Shots on target %,46.3%,91
Goals/Shot,0.19,88
Goals/Shot on target,0.42,80
Average Shot Distance,14.60,88
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.40,88
npxG,0.40,93
npxG/Sh,0.16,91
Goals - xG,+0.09,79
Non-Penalty Goals - npxG,+0.09,81
Passes Completed,33.93,71
Passes Attempted,40.54,60
Pass Completion %,83.7%,93
Total Passing Distance,505.07,55
Progressive Passing Distance,111.53,40
,,
Passes Completed (Short),20.91,85
Passes Attempted (Short),23.32,84
Pass Completion % (Short),89.7%,88
,,
Passes Completed (Medium),10.20,54
Passes Attempted (Medium),11.75,46
Pass Completion % (Medium),86.8%,91
,,
Passes Completed (Long),1.92,26
Passes Attempted (Long),2.83,16
Pass Completion % (Long),68.0%,85
Assists,0.37,92
xA,0.26,86
Key Passes,2.29,87
Passes into Final Third,1.00,14
Passes into Penalty Area,2.11,87
Crosses into Penalty Area,0.23,40
Progressive Passes,3.43,53
Passes Attempted,40.54,60
,,
Live-ball passes,39.84,68
Dead-ball passes,0.70,18
Passes from Free Kicks,0.07,15
Through Balls,0.09,46
Passes Under Pressure,5.56,16
Switches,1.07,50
Crosses,1.99,49
Corner Kicks,0.16,30
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,34.40,79
Low Passes,2.97,2
High Passes,3.18,12
,,
Passes Attempted (Left),5.42,47
Passes Attempted (Right),34.21,76
Passes Attempted (Head),0.23,1
Throw-Ins taken,0.42,52
Passes Attempted (Other),0.23,49
,,
Passes Completed,33.93,71
Passes Offside,0.14,66
Passes Out of Bounds,0.32,93
Passes Intercepted,1.51,57
Passes Blocked,1.78,22
Shot-Creating Actions,5.19,95
,,
SCA (PassLive),3.73,96
SCA (PassDead),0.02,27
SCA (Drib),0.70,97
SCA (Sh),0.16,47
SCA (Fld),0.51,97
SCA (Def),0.07,52
,,
Goal-Creating Actions,0.86,98
,,
GCA (PassLive),0.60,97
GCA (PassDead),0.00,30
GCA (Drib),0.14,96
GCA (Sh),0.00,22
GCA (Fld),0.09,94
GCA (Def),0.02,81
Tackles,1.62,67
Tackles Won,1.11,72
Tackles (Def 3rd),0.76,84
Tackles (Mid 3rd),0.65,60
Tackles (Att 3rd),0.21,28
,,
Dribblers Tackled,0.42,46
Dribbles Contested,1.46,57
% of dribblers tackled,28.6%,37
Dribbled Past,1.04,39
,,
Pressures,19.40,72
Successful Pressures,5.61,78
Successful Pressure %,28.9%,67
Pressures (Def 3rd),4.94,83
Pressures (Mid 3rd),7.28,49
Pressures (Att 3rd),7.19,84
,,
Blocks,0.93,27
Shots Blocked,0.07,42
Shots Saved,0.00,49
Passes Blocked,0.86,28
,,
Interceptions,0.46,5
Tkl+Int,2.09,36
Clearances,0.09,6
Errors,0.00,57
Touches,56.72,70
Touches (Def Pen),0.37,10
Touches (Def 3rd),5.31,30
Touches (Mid 3rd),18.82,25
Touches (Att 3rd),38.94,97
Touches (Att Pen),8.81,99
Touches (Live-Ball),56.07,81
,,
Dribbles Completed,3.29,97
Dribbles Attempted,7.28,99
Successful Dribble %,45.2%,22
Players Dribbled Past,3.73,97
Nutmegs,0.37,87
,,
Carries,51.15,94
Total Carrying Distance,335.13,97
Progressive Carrying Distance,244.30,99
Progressive Carries,13.03,99
Carries into Final Third,3.55,97
Carries into Penalty Area,3.22,99
Miscontrols,2.32,37
Dispossessed,2.39,27
,,
Pass Targets,58.04,87
Passes Received,47.58,84
Passes Received %,82.0%,70
Progressive Passes Rec,9.87,96
Yellow Cards,0.16,44
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.37,35
Fouls Drawn,2.53,87
Offsides,0.70,5
Crosses,1.99,49
,,
Interceptions,0.46,5
Tackles Won,1.11,72
Penalty Kicks Won,0.12,99
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,4.57,5
,,
Aerials won,0.09,1
Aerials lost,0.63,91
% of Aerials Won,12.9%,3
