--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,65
Assists,0.00,31
Non-Penalty Goals,0.06,65
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.24,36
Red Cards,0.00,64
,,
xG,0.07,77
npxG,0.07,77
xA,0.01,48
npxG+xA,0.08,69
Goals,0.06,65
Shots Total,0.78,86
Shots on target,0.12,45
Shots on target %,15.4%,19
Goals/Shot,0.08,49
Goals/Shot on target,0.50,70
Average Shot Distance,22.00,4
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.07,77
npxG,0.07,77
npxG/Sh,0.08,43
Goals - xG,-0.01,47
Non-Penalty Goals - npxG,-0.01,47
Passes Completed,31.56,14
Passes Attempted,41.58,23
Pass Completion %,75.9%,6
Total Passing Distance,684.30,12
Progressive Passing Distance,271.74,31
,,
Passes Completed (Short),9.90,32
Passes Attempted (Short),10.68,28
Pass Completion % (Short),92.7%,73
,,
Passes Completed (Medium),15.00,10
Passes Attempted (Medium),17.58,11
Pass Completion % (Medium),85.3%,8
,,
Passes Completed (Long),6.24,22
Passes Attempted (Long),12.12,56
Pass Completion % (Long),51.5%,3
Assists,0.00,31
xA,0.01,48
Key Passes,0.24,70
Passes into Final Third,2.58,48
Passes into Penalty Area,0.30,77
Crosses into Penalty Area,0.12,94
Progressive Passes,2.70,57
Passes Attempted,41.58,23
,,
Live-ball passes,38.22,21
Dead-ball passes,3.36,83
Passes from Free Kicks,1.08,16
Through Balls,0.06,79
Passes Under Pressure,4.68,27
Switches,1.38,49
Crosses,0.54,94
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,23.64,9
Low Passes,5.04,77
High Passes,12.90,91
,,
Passes Attempted (Left),2.82,7
Passes Attempted (Right),32.34,48
Passes Attempted (Head),3.06,72
Throw-Ins taken,2.04,91
Passes Attempted (Other),0.12,35
,,
Passes Completed,31.56,14
Passes Offside,0.24,10
Passes Out of Bounds,1.14,19
Passes Intercepted,0.90,51
Passes Blocked,0.72,24
Shot-Creating Actions,0.66,64
,,
SCA (PassLive),0.66,79
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.06,56
,,
GCA (PassLive),0.06,70
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.56,47
Tackles Won,0.84,41
Tackles (Def 3rd),0.84,36
Tackles (Mid 3rd),0.66,75
Tackles (Att 3rd),0.06,47
,,
Dribblers Tackled,0.84,77
Dribbles Contested,1.62,80
% of dribblers tackled,51.9%,44
Dribbled Past,0.78,19
,,
Pressures,9.24,52
Successful Pressures,2.94,38
Successful Pressure %,31.8%,12
Pressures (Def 3rd),5.10,51
Pressures (Mid 3rd),3.72,63
Pressures (Att 3rd),0.42,45
,,
Blocks,1.62,42
Shots Blocked,0.90,69
Shots Saved,0.00,32
Passes Blocked,0.72,25
,,
Interceptions,1.86,37
Tkl+Int,3.42,40
Clearances,4.38,55
Errors,0.00,83
Touches,51.18,18
Touches (Def Pen),8.16,35
Touches (Def 3rd),27.48,18
Touches (Mid 3rd),22.50,20
Touches (Att 3rd),3.54,69
Touches (Att Pen),0.84,51
Touches (Live-Ball),47.82,15
,,
Dribbles Completed,0.12,31
Dribbles Attempted,0.30,54
Successful Dribble %,40.0%,13
Players Dribbled Past,0.12,28
Nutmegs,0.06,93
,,
Carries,26.70,15
Total Carrying Distance,120.60,5
Progressive Carrying Distance,59.22,10
Progressive Carries,1.50,26
Carries into Final Third,0.42,56
Carries into Penalty Area,0.00,31
Miscontrols,0.12,86
Dispossessed,0.06,91
,,
Pass Targets,29.22,20
Passes Received,28.38,19
Passes Received %,97.1%,26
Progressive Passes Rec,0.12,39
Yellow Cards,0.24,36
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.96,58
Fouls Drawn,0.36,21
Offsides,0.00,79
Crosses,0.54,94
,,
Interceptions,1.86,37
Tackles Won,0.84,41
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.24,50
,,
Aerials won,1.98,22
Aerials lost,2.16,15
% of Aerials Won,47.8%,6
