--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.27,24
Red Cards,0.07,2
,,
xG,0.03,33
npxG,0.03,33
xA,0.01,1
npxG+xA,0.04,3
Goals,0.00,20
Shots Total,0.74,67
Shots on target,0.20,60
Shots on target %,27.3%,49
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,17.50,70
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,33
npxG,0.03,33
npxG/Sh,0.04,20
Goals - xG,-0.03,25
Non-Penalty Goals - npxG,-0.03,25
Passes Completed,28.20,6
Passes Attempted,39.82,6
Pass Completion %,70.8%,14
Total Passing Distance,554.63,10
Progressive Passing Distance,218.75,13
,,
Passes Completed (Short),9.89,1
Passes Attempted (Short),11.83,1
Pass Completion % (Short),83.6%,9
,,
Passes Completed (Medium),13.96,23
Passes Attempted (Medium),17.44,20
Pass Completion % (Medium),80.1%,42
,,
Passes Completed (Long),3.67,42
Passes Attempted (Long),9.09,64
Pass Completion % (Long),40.4%,10
Assists,0.00,10
xA,0.01,1
Key Passes,0.13,1
Passes into Final Third,1.67,12
Passes into Penalty Area,0.20,1
Crosses into Penalty Area,0.07,2
Progressive Passes,1.74,2
Passes Attempted,39.82,6
,,
Live-ball passes,30.27,4
Dead-ball passes,9.55,48
Passes from Free Kicks,1.00,60
Through Balls,0.07,73
Passes Under Pressure,3.94,1
Switches,1.40,72
Crosses,1.27,10
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,19.91,7
Low Passes,6.01,1
High Passes,13.90,75
,,
Passes Attempted (Left),3.07,12
Passes Attempted (Right),25.06,46
Passes Attempted (Head),2.14,67
Throw-Ins taken,8.55,52
Passes Attempted (Other),0.20,74
,,
Passes Completed,28.20,6
Passes Offside,0.13,60
Passes Out of Bounds,1.40,5
Passes Intercepted,0.67,99
Passes Blocked,1.27,87
Shot-Creating Actions,0.74,2
,,
SCA (PassLive),0.33,1
SCA (PassDead),0.07,40
SCA (Drib),0.00,15
SCA (Sh),0.20,97
SCA (Fld),0.07,60
SCA (Def),0.07,77
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.14,48
Tackles Won,0.87,20
Tackles (Def 3rd),1.47,73
Tackles (Mid 3rd),0.33,8
Tackles (Att 3rd),0.33,74
,,
Dribblers Tackled,0.87,50
Dribbles Contested,1.34,19
% of dribblers tackled,65.0%,97
Dribbled Past,0.47,95
,,
Pressures,13.43,54
Successful Pressures,3.47,33
Successful Pressure %,25.9%,9
Pressures (Def 3rd),7.08,79
Pressures (Mid 3rd),4.88,50
Pressures (Att 3rd),1.47,15
,,
Blocks,2.00,61
Shots Blocked,0.47,86
Shots Saved,0.00,41
Passes Blocked,1.54,51
,,
Interceptions,2.00,64
Tkl+Int,4.14,57
Clearances,3.81,99
Errors,0.13,1
Touches,52.65,10
Touches (Def Pen),5.55,97
Touches (Def 3rd),20.71,63
Touches (Mid 3rd),25.26,23
Touches (Att 3rd),10.16,3
Touches (Att Pen),0.94,26
Touches (Live-Ball),43.50,9
,,
Dribbles Completed,0.33,10
Dribbles Attempted,0.80,15
Successful Dribble %,41.7%,15
Players Dribbled Past,0.33,8
Nutmegs,0.00,9
,,
Carries,24.59,2
Total Carrying Distance,141.45,15
Progressive Carrying Distance,76.24,16
Progressive Carries,2.61,8
Carries into Final Third,1.20,26
Carries into Penalty Area,0.07,9
Miscontrols,0.67,77
Dispossessed,0.67,66
,,
Pass Targets,26.19,1
Passes Received,24.52,4
Passes Received %,93.6%,83
Progressive Passes Rec,0.67,3
Yellow Cards,0.27,24
Red Cards,0.07,2
Second Yellow Card,0.00,55
Fouls Committed,1.07,58
Fouls Drawn,1.74,87
Offsides,0.13,25
Crosses,1.27,10
,,
Interceptions,2.00,64
Tackles Won,0.87,20
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.13,1
Own Goals,0.00,57
Ball Recoveries,7.55,38
,,
Aerials won,1.74,82
Aerials lost,1.47,20
% of Aerials Won,54.2%,65
