--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.29,23
Red Cards,0.00,64
,,
xG,0.02,16
npxG,0.02,16
xA,0.00,20
npxG+xA,0.02,11
Goals,0.00,16
Shots Total,0.39,37
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,11.90,43
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.02,16
npxG,0.02,16
npxG/Sh,0.05,12
Goals - xG,-0.02,29
Non-Penalty Goals - npxG,-0.02,29
Passes Completed,39.92,42
Passes Attempted,48.19,41
Pass Completion %,82.8%,32
Total Passing Distance,889.45,42
Progressive Passing Distance,322.16,56
,,
Passes Completed (Short),11.13,42
Passes Attempted (Short),12.10,38
Pass Completion % (Short),92.0%,66
,,
Passes Completed (Medium),20.90,41
Passes Attempted (Medium),23.13,42
Pass Completion % (Medium),90.4%,35
,,
Passes Completed (Long),7.69,49
Passes Attempted (Long),12.10,55
Pass Completion % (Long),63.6%,27
Assists,0.00,31
xA,0.00,20
Key Passes,0.10,24
Passes into Final Third,2.71,54
Passes into Penalty Area,0.19,60
Crosses into Penalty Area,0.00,29
Progressive Passes,2.95,67
Passes Attempted,48.19,41
,,
Live-ball passes,45.77,42
Dead-ball passes,2.42,59
Passes from Free Kicks,2.37,88
Through Balls,0.00,27
Passes Under Pressure,5.32,47
Switches,2.08,79
Crosses,0.10,45
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,33.24,38
Low Passes,4.74,70
High Passes,10.21,69
,,
Passes Attempted (Left),3.58,13
Passes Attempted (Right),39.00,65
Passes Attempted (Head),3.15,74
Throw-Ins taken,0.05,8
Passes Attempted (Other),0.34,91
,,
Passes Completed,39.92,42
Passes Offside,0.10,58
Passes Out of Bounds,1.06,24
Passes Intercepted,0.68,75
Passes Blocked,0.73,24
Shot-Creating Actions,0.53,50
,,
SCA (PassLive),0.44,50
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.05,59
SCA (Fld),0.00,36
SCA (Def),0.05,83
,,
Goal-Creating Actions,0.05,48
,,
GCA (PassLive),0.05,61
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.65,51
Tackles Won,0.92,48
Tackles (Def 3rd),0.87,38
Tackles (Mid 3rd),0.77,84
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.34,14
Dribbles Contested,0.68,12
% of dribblers tackled,50.0%,34
Dribbled Past,0.34,81
,,
Pressures,6.63,19
Successful Pressures,2.90,36
Successful Pressure %,43.8%,96
Pressures (Def 3rd),3.10,7
Pressures (Mid 3rd),3.19,42
Pressures (Att 3rd),0.34,33
,,
Blocks,1.35,19
Shots Blocked,0.87,64
Shots Saved,0.05,83
Passes Blocked,0.48,4
,,
Interceptions,2.61,82
Tkl+Int,4.26,69
Clearances,4.98,75
Errors,0.00,83
Touches,59.03,43
Touches (Def Pen),8.71,47
Touches (Def 3rd),31.31,35
Touches (Mid 3rd),29.27,52
Touches (Att 3rd),3.00,59
Touches (Att Pen),0.63,32
Touches (Live-Ball),56.90,44
,,
Dribbles Completed,0.19,53
Dribbles Attempted,0.34,60
Successful Dribble %,57.1%,28
Players Dribbled Past,0.24,61
Nutmegs,0.00,37
,,
Carries,29.71,26
Total Carrying Distance,218.03,59
Progressive Carrying Distance,118.02,62
Progressive Carries,2.32,51
Carries into Final Third,0.63,71
Carries into Penalty Area,0.00,31
Miscontrols,0.15,78
Dispossessed,0.24,41
,,
Pass Targets,31.98,28
Passes Received,31.60,29
Passes Received %,98.8%,90
Progressive Passes Rec,0.15,45
Yellow Cards,0.29,23
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.21,37
Fouls Drawn,0.77,71
Offsides,0.05,31
Crosses,0.10,45
,,
Interceptions,2.61,82
Tackles Won,0.92,48
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,12.24,94
,,
Aerials won,3.39,78
Aerials lost,2.23,11
% of Aerials Won,60.3%,38
