--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,93
Assists,0.10,57
Non-Penalty Goals,0.16,94
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,72
Red Cards,0.03,14
,,
xG,0.09,88
npxG,0.09,89
xA,0.08,44
npxG+xA,0.17,71
Goals,0.16,93
Shots Total,0.87,76
Shots on target,0.26,77
Shots on target %,29.6%,58
Goals/Shot,0.19,93
Goals/Shot on target,0.63,94
Average Shot Distance,16.30,77
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.09,88
npxG,0.09,89
npxG/Sh,0.11,90
Goals - xG,+0.07,94
Non-Penalty Goals - npxG,+0.07,94
Passes Completed,39.55,49
Passes Attempted,53.21,54
Pass Completion %,74.3%,32
Total Passing Distance,663.06,39
Progressive Passing Distance,254.90,34
,,
Passes Completed (Short),19.60,59
Passes Attempted (Short),22.04,58
Pass Completion % (Short),88.9%,55
,,
Passes Completed (Medium),16.35,50
Passes Attempted (Medium),21.46,59
Pass Completion % (Medium),76.2%,17
,,
Passes Completed (Long),2.92,18
Passes Attempted (Long),7.10,36
Pass Completion % (Long),41.2%,11
Assists,0.10,57
xA,0.08,44
Key Passes,0.71,34
Passes into Final Third,2.41,42
Passes into Penalty Area,1.06,56
Crosses into Penalty Area,0.42,50
Progressive Passes,3.25,37
Passes Attempted,53.21,54
,,
Live-ball passes,42.93,51
Dead-ball passes,10.28,61
Passes from Free Kicks,0.67,32
Through Balls,0.03,43
Passes Under Pressure,6.07,48
Switches,0.61,18
Crosses,2.76,74
Corner Kicks,0.03,45
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,29.11,47
Low Passes,13.40,91
High Passes,10.70,45
,,
Passes Attempted (Left),36.24,79
Passes Attempted (Right),3.47,13
Passes Attempted (Head),2.86,88
Throw-Ins taken,9.58,74
Passes Attempted (Other),0.16,61
,,
Passes Completed,39.55,49
Passes Offside,0.16,51
Passes Out of Bounds,1.06,29
Passes Intercepted,2.12,28
Passes Blocked,2.06,24
Shot-Creating Actions,1.90,59
,,
SCA (PassLive),1.22,44
SCA (PassDead),0.06,38
SCA (Drib),0.16,89
SCA (Sh),0.13,89
SCA (Fld),0.16,91
SCA (Def),0.16,97
,,
Goal-Creating Actions,0.32,84
,,
GCA (PassLive),0.16,60
GCA (PassDead),0.00,37
GCA (Drib),0.06,97
GCA (Sh),0.03,85
GCA (Fld),0.06,96
GCA (Def),0.00,46
Tackles,2.80,84
Tackles Won,1.57,77
Tackles (Def 3rd),1.93,93
Tackles (Mid 3rd),0.48,23
Tackles (Att 3rd),0.39,83
,,
Dribblers Tackled,1.22,84
Dribbles Contested,2.25,78
% of dribblers tackled,54.3%,71
Dribbled Past,1.03,36
,,
Pressures,15.26,74
Successful Pressures,4.53,69
Successful Pressure %,29.7%,37
Pressures (Def 3rd),7.81,86
Pressures (Mid 3rd),4.59,43
Pressures (Att 3rd),2.86,73
,,
Blocks,2.44,88
Shots Blocked,0.29,51
Shots Saved,0.00,41
Passes Blocked,2.15,90
,,
Interceptions,2.06,66
Tkl+Int,4.85,80
Clearances,2.76,87
Errors,0.03,31
Touches,67.99,64
Touches (Def Pen),4.18,77
Touches (Def 3rd),20.72,64
Touches (Mid 3rd),30.62,59
Touches (Att 3rd),21.46,72
Touches (Att Pen),2.73,88
Touches (Live-Ball),58.00,64
,,
Dribbles Completed,1.03,74
Dribbles Attempted,2.31,82
Successful Dribble %,44.4%,22
Players Dribbled Past,1.29,81
Nutmegs,0.22,93
,,
Carries,38.85,59
Total Carrying Distance,229.13,77
Progressive Carrying Distance,142.86,83
Progressive Carries,6.27,82
Carries into Final Third,2.25,88
Carries into Penalty Area,0.80,91
Miscontrols,1.45,12
Dispossessed,1.09,25
,,
Pass Targets,41.35,54
Passes Received,37.34,54
Passes Received %,90.3%,43
Progressive Passes Rec,3.41,85
Yellow Cards,0.13,72
Red Cards,0.03,14
Second Yellow Card,0.00,55
Fouls Committed,1.48,21
Fouls Drawn,1.51,77
Offsides,0.10,37
Crosses,2.76,74
,,
Interceptions,2.06,66
Tackles Won,1.57,77
Penalty Kicks Won,0.03,89
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,9.13,81
,,
Aerials won,1.45,69
Aerials lost,1.35,28
% of Aerials Won,51.7%,57
