--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.17,4
Assists,0.12,50
Non-Penalty Goals,0.17,11
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.23,24
Red Cards,0.00,55
,,
xG,0.28,13
npxG,0.28,29
xA,0.08,19
npxG+xA,0.36,20
Goals,0.17,4
Shots Total,1.69,3
Shots on target,0.64,8
Shots on target %,37.9%,48
Goals/Shot,0.10,27
Goals/Shot on target,0.27,24
Average Shot Distance,12.10,87
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.28,13
npxG,0.28,29
npxG/Sh,0.17,81
Goals - xG,-0.05,28
Non-Penalty Goals - npxG,-0.05,29
Passes Completed,11.54,11
Passes Attempted,15.91,8
Pass Completion %,72.5%,58
Total Passing Distance,171.02,14
Progressive Passing Distance,33.34,22
,,
Passes Completed (Short),6.65,14
Passes Attempted (Short),8.45,8
Pass Completion % (Short),78.6%,54
,,
Passes Completed (Medium),3.26,11
Passes Attempted (Medium),4.26,4
Pass Completion % (Medium),76.7%,74
,,
Passes Completed (Long),0.93,35
Passes Attempted (Long),1.75,45
Pass Completion % (Long),53.3%,31
Assists,0.12,50
xA,0.08,19
Key Passes,0.70,16
Passes into Final Third,0.93,43
Passes into Penalty Area,0.70,51
Crosses into Penalty Area,0.12,55
Progressive Passes,1.46,45
Passes Attempted,15.91,8
,,
Live-ball passes,15.21,8
Dead-ball passes,0.70,12
Passes from Free Kicks,0.00,20
Through Balls,0.12,70
Passes Under Pressure,4.49,11
Switches,0.47,58
Crosses,0.47,28
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,10.20,14
Low Passes,2.97,9
High Passes,2.74,29
,,
Passes Attempted (Left),1.81,19
Passes Attempted (Right),12.47,38
Passes Attempted (Head),0.82,26
Throw-Ins taken,0.06,29
Passes Attempted (Other),0.35,32
,,
Passes Completed,11.54,11
Passes Offside,0.06,73
Passes Out of Bounds,0.47,43
Passes Intercepted,0.82,86
Passes Blocked,0.87,65
Shot-Creating Actions,1.81,21
,,
SCA (PassLive),1.40,35
SCA (PassDead),0.00,36
SCA (Drib),0.12,40
SCA (Sh),0.12,17
SCA (Fld),0.17,50
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.35,57
,,
GCA (PassLive),0.17,47
GCA (PassDead),0.00,46
GCA (Drib),0.06,78
GCA (Sh),0.00,18
GCA (Fld),0.12,96
GCA (Def),0.00,40
Tackles,1.34,93
Tackles Won,0.76,85
Tackles (Def 3rd),0.47,95
Tackles (Mid 3rd),0.64,89
Tackles (Att 3rd),0.23,49
,,
Dribblers Tackled,0.12,37
Dribbles Contested,0.64,51
% of dribblers tackled,18.2%,30
Dribbled Past,0.52,42
,,
Pressures,17.90,76
Successful Pressures,3.91,49
Successful Pressure %,21.8%,5
Pressures (Def 3rd),2.68,90
Pressures (Mid 3rd),9.04,91
Pressures (Att 3rd),6.18,28
,,
Blocks,0.82,57
Shots Blocked,0.06,21
Shots Saved,0.00,48
Passes Blocked,0.76,65
,,
Interceptions,0.29,26
Tkl+Int,1.63,83
Clearances,0.82,68
Errors,0.00,53
Touches,27.34,7
Touches (Def Pen),1.11,72
Touches (Def 3rd),3.67,74
Touches (Mid 3rd),13.58,14
Touches (Att 3rd),12.12,3
Touches (Att Pen),3.44,4
Touches (Live-Ball),26.64,7
,,
Dribbles Completed,0.82,49
Dribbles Attempted,1.63,46
Successful Dribble %,50.0%,58
Players Dribbled Past,0.82,38
Nutmegs,0.06,40
,,
Carries,16.96,17
Total Carrying Distance,89.94,41
Progressive Carrying Distance,45.12,46
Progressive Carries,2.27,38
Carries into Final Third,0.87,51
Carries into Penalty Area,0.47,31
Miscontrols,2.04,85
Dispossessed,1.87,40
,,
Pass Targets,34.10,2
Passes Received,17.95,5
Passes Received %,52.6%,16
Progressive Passes Rec,5.83,20
Yellow Cards,0.23,24
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.51,5
Fouls Drawn,1.63,54
Offsides,0.99,13
Crosses,0.47,28
,,
Interceptions,0.29,26
Tackles Won,0.76,85
Penalty Kicks Won,0.06,77
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.31,63
,,
Aerials won,0.93,19
Aerials lost,2.86,59
% of Aerials Won,24.6%,15
