--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.02,32
Assists,0.04,81
Non-Penalty Goals,0.02,32
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.20,50
Red Cards,0.00,64
,,
xG,0.07,81
npxG,0.07,81
xA,0.03,78
npxG+xA,0.10,84
Goals,0.02,32
Shots Total,0.90,93
Shots on target,0.26,90
Shots on target %,29.3%,59
Goals/Shot,0.02,32
Goals/Shot on target,0.08,28
Average Shot Distance,15.90,18
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.07,81
npxG,0.07,81
npxG/Sh,0.08,43
Goals - xG,-0.05,4
Non-Penalty Goals - npxG,-0.05,4
Passes Completed,51.39,69
Passes Attempted,58.12,68
Pass Completion %,88.4%,72
Total Passing Distance,1091.95,70
Progressive Passing Distance,307.23,48
,,
Passes Completed (Short),15.98,76
Passes Attempted (Short),16.93,74
Pass Completion % (Short),94.4%,90
,,
Passes Completed (Medium),25.32,64
Passes Attempted (Medium),27.08,61
Pass Completion % (Medium),93.5%,72
,,
Passes Completed (Long),9.08,67
Passes Attempted (Long),12.45,60
Pass Completion % (Long),72.9%,67
Assists,0.04,81
xA,0.03,78
Key Passes,0.26,75
Passes into Final Third,3.64,76
Passes into Penalty Area,0.18,56
Crosses into Penalty Area,0.02,57
Progressive Passes,1.89,24
Passes Attempted,58.12,68
,,
Live-ball passes,54.83,68
Dead-ball passes,3.29,83
Passes from Free Kicks,1.47,45
Through Balls,0.09,90
Passes Under Pressure,6.03,67
Switches,2.08,79
Crosses,0.29,81
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,45.80,70
Low Passes,4.19,51
High Passes,8.13,36
,,
Passes Attempted (Left),4.41,21
Passes Attempted (Right),49.35,83
Passes Attempted (Head),2.21,31
Throw-Ins taken,0.53,71
Passes Attempted (Other),0.29,85
,,
Passes Completed,51.39,69
Passes Offside,0.22,14
Passes Out of Bounds,1.10,21
Passes Intercepted,0.79,64
Passes Blocked,0.66,30
Shot-Creating Actions,0.77,77
,,
SCA (PassLive),0.57,72
SCA (PassDead),0.02,65
SCA (Drib),0.00,42
SCA (Sh),0.07,73
SCA (Fld),0.07,94
SCA (Def),0.04,81
,,
Goal-Creating Actions,0.11,83
,,
GCA (PassLive),0.04,57
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.02,75
GCA (Fld),0.02,93
GCA (Def),0.02,96
Tackles,2.04,75
Tackles Won,1.21,69
Tackles (Def 3rd),1.34,77
Tackles (Mid 3rd),0.44,41
Tackles (Att 3rd),0.26,97
,,
Dribblers Tackled,0.81,75
Dribbles Contested,1.69,83
% of dribblers tackled,48.1%,26
Dribbled Past,0.88,12
,,
Pressures,9.27,53
Successful Pressures,3.40,56
Successful Pressure %,36.6%,56
Pressures (Def 3rd),5.35,57
Pressures (Mid 3rd),3.11,38
Pressures (Att 3rd),0.81,82
,,
Blocks,1.60,40
Shots Blocked,0.88,66
Shots Saved,0.00,32
Passes Blocked,0.72,25
,,
Interceptions,2.24,63
Tkl+Int,4.28,70
Clearances,3.53,28
Errors,0.07,19
Touches,68.71,69
Touches (Def Pen),12.50,93
Touches (Def 3rd),38.13,79
Touches (Mid 3rd),30.72,59
Touches (Att 3rd),4.32,78
Touches (Att Pen),1.21,83
Touches (Live-Ball),65.69,68
,,
Dribbles Completed,0.35,81
Dribbles Attempted,0.64,88
Successful Dribble %,55.2%,25
Players Dribbled Past,0.37,82
Nutmegs,0.02,75
,,
Carries,45.10,73
Total Carrying Distance,249.57,74
Progressive Carrying Distance,122.43,66
Progressive Carries,2.06,44
Carries into Final Third,0.59,70
Carries into Penalty Area,0.04,77
Miscontrols,0.37,20
Dispossessed,0.33,24
,,
Pass Targets,47.40,69
Passes Received,46.41,69
Passes Received %,97.9%,47
Progressive Passes Rec,0.22,63
Yellow Cards,0.20,50
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.32,27
Fouls Drawn,1.27,96
Offsides,0.02,59
Crosses,0.29,81
,,
Interceptions,2.24,63
Tackles Won,1.21,69
Penalty Kicks Won,0.02,93
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,8.46,31
,,
Aerials won,2.78,58
Aerials lost,0.90,93
% of Aerials Won,75.6%,95
