--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.28,34
Red Cards,0.00,61
,,
xG,0.04,19
npxG,0.04,21
xA,0.04,24
npxG+xA,0.08,18
Goals,0.00,11
Shots Total,0.39,6
Shots on target,0.04,1
Shots on target %,9.1%,4
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,19.40,60
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,19
npxG,0.04,21
npxG/Sh,0.10,84
Goals - xG,-0.04,22
Non-Penalty Goals - npxG,-0.04,22
Passes Completed,38.68,42
Passes Attempted,45.79,38
Pass Completion %,84.5%,64
Total Passing Distance,777.21,51
Progressive Passing Distance,209.67,54
,,
Passes Completed (Short),14.61,30
Passes Attempted (Short),16.08,25
Pass Completion % (Short),90.8%,75
,,
Passes Completed (Medium),17.41,52
Passes Attempted (Medium),19.44,47
Pass Completion % (Medium),89.5%,65
,,
Passes Completed (Long),6.24,63
Passes Attempted (Long),9.04,62
Pass Completion % (Long),69.0%,48
Assists,0.00,11
xA,0.04,24
Key Passes,0.49,20
Passes into Final Third,4.52,66
Passes into Penalty Area,0.46,26
Crosses into Penalty Area,0.04,20
Progressive Passes,4.20,59
Passes Attempted,45.79,38
,,
Live-ball passes,44.53,40
Dead-ball passes,1.26,37
Passes from Free Kicks,1.19,53
Through Balls,0.00,11
Passes Under Pressure,8.20,55
Switches,1.51,55
Crosses,0.07,4
Corner Kicks,0.04,47
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.04,61
Straight Corner Kicks,0.00,38
,,
Ground passes,33.60,41
Low Passes,4.06,16
High Passes,8.13,59
,,
Passes Attempted (Left),6.27,45
Passes Attempted (Right),35.49,46
Passes Attempted (Head),2.70,80
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.21,45
,,
Passes Completed,38.68,42
Passes Offside,0.07,83
Passes Out of Bounds,0.74,45
Passes Intercepted,0.98,87
Passes Blocked,0.77,73
Shot-Creating Actions,1.02,8
,,
SCA (PassLive),0.88,13
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.07,50
SCA (Fld),0.04,28
SCA (Def),0.04,26
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,4.17,99
Tackles Won,2.31,94
Tackles (Def 3rd),2.00,99
Tackles (Mid 3rd),1.89,98
Tackles (Att 3rd),0.28,57
,,
Dribblers Tackled,1.86,99
Dribbles Contested,4.27,99
% of dribblers tackled,43.4%,76
Dribbled Past,2.42,3
,,
Pressures,26.66,97
Successful Pressures,9.21,99
Successful Pressure %,34.6%,88
Pressures (Def 3rd),9.81,97
Pressures (Mid 3rd),14.92,98
Pressures (Att 3rd),1.93,18
,,
Blocks,1.72,62
Shots Blocked,0.39,71
Shots Saved,0.04,95
Passes Blocked,1.33,59
,,
Interceptions,2.87,96
Tkl+Int,7.04,99
Clearances,1.72,79
Errors,0.00,67
Touches,58.44,41
Touches (Def Pen),2.94,69
Touches (Def 3rd),17.06,72
Touches (Mid 3rd),38.75,62
Touches (Att 3rd),6.45,5
Touches (Att Pen),0.32,5
Touches (Live-Ball),57.38,46
,,
Dribbles Completed,0.49,25
Dribbles Attempted,0.81,28
Successful Dribble %,60.9%,46
Players Dribbled Past,0.53,25
Nutmegs,0.04,43
,,
Carries,35.87,37
Total Carrying Distance,207.43,61
Progressive Carrying Distance,103.73,61
Progressive Carries,4.06,59
Carries into Final Third,1.37,65
Carries into Penalty Area,0.04,17
Miscontrols,0.77,60
Dispossessed,0.56,89
,,
Pass Targets,34.47,20
Passes Received,33.11,29
Passes Received %,96.0%,93
Progressive Passes Rec,0.60,7
Yellow Cards,0.28,34
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.66,5
Fouls Drawn,2.21,85
Offsides,0.00,77
Crosses,0.07,4
,,
Interceptions,2.87,96
Tackles Won,2.31,94
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,14
Own Goals,0.00,53
Ball Recoveries,11.88,89
,,
Aerials won,1.54,65
Aerials lost,2.35,5
% of Aerials Won,39.6%,18
