Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Luis Abram,pe PER,DF,Granada,25.0,1996.0,8,6,560,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.08,0.0,0.08,0.08,0.08,https://fbref.com/en/players/1f462f95/,https://fbref.com/en/players/1f462f95/scout/365_euro/Luis-Abram-Scouting-Report,https://fbref.com/en/players/1f462f95/scout/11174/Luis-Abram-Scouting-Report,,,,,,
Marcos Acuña,ar ARG,DF,Sevilla,29.0,1991.0,31,26,2260,25.1,1,3,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,1.4,1.4,3.0,4.4,0.06,0.12,0.18,0.06,0.18,https://fbref.com/en/players/81442ecb/,https://fbref.com/en/players/81442ecb/scout/365_euro/Marcos-Acuna-Scouting-Report,https://fbref.com/en/players/81442ecb/scout/11174/Marcos-Acuna-Scouting-Report,https://fbref.com/en/players/81442ecb/scout/10731/Marcos-Acuna-Scouting-Report,,,,,
Martin Agirregabiria,es ESP,DF,Alavés,25.0,1996.0,24,17,1616,18.0,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.2,0.01,0.05,0.07,0.01,0.07,https://fbref.com/en/players/355c883a/,https://fbref.com/en/players/355c883a/scout/365_euro/Martin-Agirregabiria-Scouting-Report,https://fbref.com/en/players/355c883a/scout/11174/Martin-Agirregabiria-Scouting-Report,https://fbref.com/en/players/355c883a/scout/10731/Martin-Agirregabiria-Scouting-Report,https://fbref.com/en/players/355c883a/scout/3239/Martin-Agirregabiria-Scouting-Report,https://fbref.com/en/players/355c883a/scout/1886/Martin-Agirregabiria-Scouting-Report,https://fbref.com/en/players/355c883a/scout/1652/Martin-Agirregabiria-Scouting-Report,,
Julen Agirrezabala,es ESP,GK,Athletic Club,20.0,2000.0,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/a2c1a8d3/,https://fbref.com/en/players/a2c1a8d3/matchlogs/2021-2022/misc/Julen-Agirrezabala-Match-Logs,,,,,,,
Sergio Agüero,ar ARG,FW,Barcelona,33.0,1988.0,4,2,151,1.7,1,0,1,0,0,0,0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8,https://fbref.com/en/players/4d034881/,https://fbref.com/en/players/4d034881/scout/10728/Sergio-Aguero-Scouting-Report,https://fbref.com/en/players/4d034881/scout/3232/Sergio-Aguero-Scouting-Report,https://fbref.com/en/players/4d034881/scout/1889/Sergio-Aguero-Scouting-Report,https://fbref.com/en/players/4d034881/scout/1631/Sergio-Aguero-Scouting-Report,,,,
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21.0,2000.0,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/93b054dc/,https://fbref.com/en/players/93b054dc/matchlogs/2021-2022/passing/Alvaro-Aguirre-Match-Logs,,,,,,,
Joseph Aidoo,gh GHA,DF,Celta Vigo,25.0,1995.0,32,30,2637,29.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.01,0.0,0.02,0.01,0.02,https://fbref.com/en/players/18abe173/,https://fbref.com/en/players/18abe173/scout/365_euro/Joseph-Aidoo-Scouting-Report,https://fbref.com/en/players/18abe173/scout/11174/Joseph-Aidoo-Scouting-Report,https://fbref.com/en/players/18abe173/scout/10731/Joseph-Aidoo-Scouting-Report,https://fbref.com/en/players/18abe173/scout/3239/Joseph-Aidoo-Scouting-Report,,,,
Carlos Akapo,gq EQG,DF,Cádiz,28.0,1993.0,25,21,1844,20.5,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/f2a68b97/,https://fbref.com/en/players/f2a68b97/scout/365_euro/Carlos-Akapo-Scouting-Report,https://fbref.com/en/players/f2a68b97/scout/11174/Carlos-Akapo-Scouting-Report,https://fbref.com/en/players/f2a68b97/scout/10731/Carlos-Akapo-Scouting-Report,https://fbref.com/en/players/f2a68b97/scout/1886/Carlos-Akapo-Scouting-Report,,,,
Ilias Akhomach,es ESP,FW,Barcelona,17.0,2004.0,2,2,124,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,https://fbref.com/en/players/b8bd60fe/,https://fbref.com/en/players/b8bd60fe/all_comps/Ilias-Akhomach-Stats---All-Competitions,https://fbref.com/en/players/b8bd60fe/dom_lg/Ilias-Akhomach-Domestic-League-Stats,https://fbref.com/en/players/b8bd60fe/dom_cup/Ilias-Akhomach-Domestic-Cup-Stats,,,,,
Paul Akouokou,ci CIV,MF,Betis,23.0,1997.0,8,6,516,5.7,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/31f5b89b/,https://fbref.com/en/players/31f5b89b/scout/365_euro/Paul-Akouokou-Scouting-Report,https://fbref.com/en/players/31f5b89b/scout/11174/Paul-Akouokou-Scouting-Report,,,,,,
David Alaba,at AUT,DF,Real Madrid,29.0,1992.0,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13,https://fbref.com/en/players/05439de2/,https://fbref.com/en/players/05439de2/scout/365_euro/David-Alaba-Scouting-Report,https://fbref.com/en/players/05439de2/scout/11174/David-Alaba-Scouting-Report,https://fbref.com/en/players/05439de2/scout/10737/David-Alaba-Scouting-Report,https://fbref.com/en/players/05439de2/scout/3248/David-Alaba-Scouting-Report,https://fbref.com/en/players/05439de2/scout/2109/David-Alaba-Scouting-Report,https://fbref.com/en/players/05439de2/scout/1634/David-Alaba-Scouting-Report,,
Tomás Alarcón,cl CHI,MF,Cádiz,22.0,1999.0,23,16,1425,15.8,0,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,1.0,1.0,1.1,2.1,0.06,0.07,0.14,0.06,0.14,https://fbref.com/en/players/99ea2ddd/,https://fbref.com/en/players/99ea2ddd/scout/365_euro/Tomas-Alarcon-Scouting-Report,https://fbref.com/en/players/99ea2ddd/scout/11174/Tomas-Alarcon-Scouting-Report,,,,,,
