--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.23,99
Assists,0.00,31
Non-Penalty Goals,0.23,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.08,90
Red Cards,0.00,64
,,
xG,0.06,70
npxG,0.06,70
xA,0.00,5
npxG+xA,0.07,58
Goals,0.23,99
Shots Total,0.46,46
Shots on target,0.23,81
Shots on target %,50.0%,95
Goals/Shot,0.50,99
Goals/Shot on target,1.00,91
Average Shot Distance,6.40,98
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,70
npxG,0.06,70
npxG/Sh,0.14,84
Goals - xG,+0.17,99
Non-Penalty Goals - npxG,+0.17,99
Passes Completed,33.82,20
Passes Attempted,39.89,17
Pass Completion %,84.8%,47
Total Passing Distance,787.71,28
Progressive Passing Distance,303.28,47
,,
Passes Completed (Short),10.45,35
Passes Attempted (Short),11.61,36
Pass Completion % (Short),90.1%,44
,,
Passes Completed (Medium),15.37,12
Passes Attempted (Medium),16.91,9
Pass Completion % (Medium),90.9%,38
,,
Passes Completed (Long),7.76,49
Passes Attempted (Long),10.84,41
Pass Completion % (Long),71.6%,63
Assists,0.00,31
xA,0.00,5
Key Passes,0.08,18
Passes into Final Third,1.69,19
Passes into Penalty Area,0.15,50
Crosses into Penalty Area,0.00,29
Progressive Passes,1.61,16
Passes Attempted,39.89,17
,,
Live-ball passes,38.35,21
Dead-ball passes,1.54,21
Passes from Free Kicks,1.23,24
Through Balls,0.00,27
Passes Under Pressure,4.53,22
Switches,2.61,90
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,29.13,23
Low Passes,3.30,16
High Passes,7.46,26
,,
Passes Attempted (Left),4.46,22
Passes Attempted (Right),32.97,49
Passes Attempted (Head),1.23,1
Throw-Ins taken,0.31,57
Passes Attempted (Other),0.08,20
,,
Passes Completed,33.82,20
Passes Offside,0.15,30
Passes Out of Bounds,1.61,1
Passes Intercepted,0.54,87
Passes Blocked,0.38,70
Shot-Creating Actions,0.38,25
,,
SCA (PassLive),0.31,26
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.08,77
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.38,35
Tackles Won,1.00,54
Tackles (Def 3rd),0.77,27
Tackles (Mid 3rd),0.54,59
Tackles (Att 3rd),0.08,58
,,
Dribblers Tackled,0.92,81
Dribbles Contested,1.15,52
% of dribblers tackled,80.0%,99
Dribbled Past,0.23,94
,,
Pressures,6.53,18
Successful Pressures,2.23,15
Successful Pressure %,34.1%,29
Pressures (Def 3rd),3.84,22
Pressures (Mid 3rd),2.54,20
Pressures (Att 3rd),0.15,6
,,
Blocks,1.15,5
Shots Blocked,0.61,27
Shots Saved,0.00,32
Passes Blocked,0.54,9
,,
Interceptions,1.38,9
Tkl+Int,2.77,19
Clearances,3.30,22
Errors,0.00,83
Touches,47.57,7
Touches (Def Pen),8.38,40
Touches (Def 3rd),29.97,28
Touches (Mid 3rd),17.98,5
Touches (Att 3rd),2.15,36
Touches (Att Pen),0.77,44
Touches (Live-Ball),46.11,10
,,
Dribbles Completed,0.31,75
Dribbles Attempted,0.46,75
Successful Dribble %,66.7%,47
Players Dribbled Past,0.38,84
Nutmegs,0.00,37
,,
Carries,28.44,21
Total Carrying Distance,143.26,19
Progressive Carrying Distance,72.17,22
Progressive Carries,1.23,17
Carries into Final Third,0.38,53
Carries into Penalty Area,0.00,31
Miscontrols,0.46,11
Dispossessed,0.15,64
,,
Pass Targets,32.13,28
Passes Received,31.05,27
Passes Received %,96.7%,18
Progressive Passes Rec,0.00,3
Yellow Cards,0.08,90
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.61,84
Fouls Drawn,0.38,25
Offsides,0.00,79
Crosses,0.00,7
,,
Interceptions,1.38,9
Tackles Won,1.00,54
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,7.22,11
,,
Aerials won,1.84,17
Aerials lost,1.00,91
% of Aerials Won,64.9%,56
