--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.17,99
Assists,0.03,67
Non-Penalty Goals,0.17,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.23,38
Red Cards,0.00,64
,,
xG,0.08,90
npxG,0.08,91
xA,0.03,76
npxG+xA,0.11,93
Goals,0.17,99
Shots Total,1.29,99
Shots on target,0.29,93
Shots on target %,22.2%,36
Goals/Shot,0.13,71
Goals/Shot on target,0.60,79
Average Shot Distance,15.00,20
Shots from free kicks,0.09,97
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,90
npxG,0.08,91
npxG/Sh,0.07,31
Goals - xG,+0.09,99
Non-Penalty Goals - npxG,+0.09,99
Passes Completed,39.99,43
Passes Attempted,48.55,42
Pass Completion %,82.4%,28
Total Passing Distance,823.62,33
Progressive Passing Distance,238.47,20
,,
Passes Completed (Short),14.45,66
Passes Attempted (Short),16.36,69
Pass Completion % (Short),88.3%,29
,,
Passes Completed (Medium),17.68,22
Passes Attempted (Medium),20.31,26
Pass Completion % (Medium),87.0%,14
,,
Passes Completed (Long),7.27,41
Passes Attempted (Long),10.73,39
Pass Completion % (Long),67.7%,44
Assists,0.03,67
xA,0.03,76
Key Passes,0.20,57
Passes into Final Third,2.35,39
Passes into Penalty Area,0.11,40
Crosses into Penalty Area,0.06,80
Progressive Passes,2.32,40
Passes Attempted,48.55,42
,,
Live-ball passes,47.52,47
Dead-ball passes,1.03,6
Passes from Free Kicks,0.94,10
Through Balls,0.00,27
Passes Under Pressure,6.04,68
Switches,1.57,60
Crosses,0.17,66
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,33.87,40
Low Passes,4.98,75
High Passes,9.70,60
,,
Passes Attempted (Left),4.18,18
Passes Attempted (Right),38.25,63
Passes Attempted (Head),3.49,90
Throw-Ins taken,0.09,17
Passes Attempted (Other),0.40,96
,,
Passes Completed,39.99,43
Passes Offside,0.23,13
Passes Out of Bounds,1.20,14
Passes Intercepted,1.29,17
Passes Blocked,0.34,78
Shot-Creating Actions,0.69,70
,,
SCA (PassLive),0.49,58
SCA (PassDead),0.00,32
SCA (Drib),0.03,85
SCA (Sh),0.11,89
SCA (Fld),0.03,76
SCA (Def),0.03,61
,,
Goal-Creating Actions,0.09,72
,,
GCA (PassLive),0.09,83
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.89,97
Tackles Won,1.46,90
Tackles (Def 3rd),1.83,97
Tackles (Mid 3rd),0.77,84
Tackles (Att 3rd),0.29,98
,,
Dribblers Tackled,1.26,98
Dribbles Contested,2.49,99
% of dribblers tackled,50.6%,39
Dribbled Past,1.23,2
,,
Pressures,18.45,99
Successful Pressures,5.58,97
Successful Pressure %,30.2%,5
Pressures (Def 3rd),7.47,94
Pressures (Mid 3rd),9.01,99
Pressures (Att 3rd),1.97,99
,,
Blocks,2.23,91
Shots Blocked,0.97,75
Shots Saved,0.00,32
Passes Blocked,1.26,88
,,
Interceptions,2.37,72
Tkl+Int,5.26,94
Clearances,3.40,24
Errors,0.00,83
Touches,61.11,48
Touches (Def Pen),6.75,15
Touches (Def 3rd),27.92,19
Touches (Mid 3rd),29.52,54
Touches (Att 3rd),6.12,88
Touches (Att Pen),1.49,93
Touches (Live-Ball),60.16,52
,,
Dribbles Completed,0.17,46
Dribbles Attempted,0.26,45
Successful Dribble %,66.7%,47
Players Dribbled Past,0.20,50
Nutmegs,0.03,78
,,
Carries,32.41,38
Total Carrying Distance,138.09,13
Progressive Carrying Distance,66.17,15
Progressive Carries,1.89,39
Carries into Final Third,0.40,54
Carries into Penalty Area,0.03,67
Miscontrols,0.54,5
Dispossessed,0.23,45
,,
Pass Targets,37.91,47
Passes Received,35.93,43
Passes Received %,94.8%,3
Progressive Passes Rec,0.43,87
Yellow Cards,0.23,38
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.69,7
Fouls Drawn,0.80,72
Offsides,0.00,79
Crosses,0.17,66
,,
Interceptions,2.37,72
Tackles Won,1.46,90
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,11.24,88
,,
Aerials won,3.12,70
Aerials lost,2.26,10
% of Aerials Won,58.0%,27
