--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,31
Assists,0.04,31
Non-Penalty Goals,0.04,32
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.19,63
Red Cards,0.00,61
,,
xG,0.03,11
npxG,0.03,11
xA,0.02,11
npxG+xA,0.04,5
Goals,0.04,31
Shots Total,0.52,14
Shots on target,0.22,40
Shots on target %,42.9%,93
Goals/Shot,0.07,54
Goals/Shot on target,0.17,35
Average Shot Distance,20.30,49
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,11
npxG,0.03,11
npxG/Sh,0.05,25
Goals - xG,+0.01,63
Non-Penalty Goals - npxG,+0.01,64
Passes Completed,40.32,49
Passes Attempted,46.51,38
Pass Completion %,86.7%,77
Total Passing Distance,804.18,55
Progressive Passing Distance,223.83,63
,,
Passes Completed (Short),13.73,24
Passes Attempted (Short),15.40,21
Pass Completion % (Short),89.1%,58
,,
Passes Completed (Medium),20.10,70
Passes Attempted (Medium),21.86,65
Pass Completion % (Medium),92.0%,88
,,
Passes Completed (Long),5.71,52
Passes Attempted (Long),7.94,49
Pass Completion % (Long),71.8%,60
Assists,0.04,31
xA,0.02,11
Key Passes,0.26,5
Passes into Final Third,2.87,25
Passes into Penalty Area,0.37,17
Crosses into Penalty Area,0.07,43
Progressive Passes,3.24,32
Passes Attempted,46.51,38
,,
Live-ball passes,45.39,43
Dead-ball passes,1.12,29
Passes from Free Kicks,1.04,45
Through Balls,0.07,50
Passes Under Pressure,5.89,10
Switches,1.12,36
Crosses,0.22,21
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,38.27,57
Low Passes,3.17,3
High Passes,5.07,12
,,
Passes Attempted (Left),5.26,35
Passes Attempted (Right),39.27,57
Passes Attempted (Head),1.31,23
Throw-Ins taken,0.07,25
Passes Attempted (Other),0.19,37
,,
Passes Completed,40.32,49
Passes Offside,0.04,94
Passes Out of Bounds,0.45,91
Passes Intercepted,1.45,48
Passes Blocked,0.67,85
Shot-Creating Actions,0.86,5
,,
SCA (PassLive),0.63,4
SCA (PassDead),0.00,23
SCA (Drib),0.04,42
SCA (Sh),0.04,26
SCA (Fld),0.07,55
SCA (Def),0.07,60
,,
Goal-Creating Actions,0.04,7
,,
GCA (PassLive),0.04,11
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.75,25
Tackles Won,1.27,39
Tackles (Def 3rd),0.90,48
Tackles (Mid 3rd),0.71,16
Tackles (Att 3rd),0.15,19
,,
Dribblers Tackled,0.60,30
Dribbles Contested,1.53,21
% of dribblers tackled,39.0%,60
Dribbled Past,0.93,79
,,
Pressures,15.52,18
Successful Pressures,5.11,36
Successful Pressure %,32.9%,77
Pressures (Def 3rd),6.34,59
Pressures (Mid 3rd),7.65,17
Pressures (Att 3rd),1.53,6
,,
Blocks,1.90,78
Shots Blocked,0.19,29
Shots Saved,0.00,45
Passes Blocked,1.72,88
,,
Interceptions,1.64,45
Tkl+Int,3.39,27
Clearances,1.75,80
Errors,0.00,67
Touches,55.87,36
Touches (Def Pen),3.73,87
Touches (Def 3rd),21.93,93
Touches (Mid 3rd),31.33,29
Touches (Att 3rd),6.94,7
Touches (Att Pen),0.48,12
Touches (Live-Ball),54.75,38
,,
Dribbles Completed,0.67,49
Dribbles Attempted,1.16,48
Successful Dribble %,58.1%,35
Players Dribbled Past,0.71,47
Nutmegs,0.04,45
,,
Carries,39.69,53
Total Carrying Distance,181.72,46
Progressive Carrying Distance,98.58,57
Progressive Carries,3.24,39
Carries into Final Third,0.93,35
Carries into Penalty Area,0.00,7
Miscontrols,0.56,83
Dispossessed,0.90,59
,,
Pass Targets,40.65,39
Passes Received,38.45,46
Passes Received %,94.6%,78
Progressive Passes Rec,0.86,16
Yellow Cards,0.19,63
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.13,21
Fouls Drawn,0.45,2
Offsides,0.04,43
Crosses,0.22,21
,,
Interceptions,1.64,45
Tackles Won,1.27,39
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,12
Own Goals,0.07,1
Ball Recoveries,8.09,18
,,
Aerials won,0.78,30
Aerials lost,1.16,51
% of Aerials Won,40.4%,20
