--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.22,41
Red Cards,0.09,1
,,
xG,0.03,22
npxG,0.03,22
xA,0.04,91
npxG+xA,0.07,57
Goals,0.00,16
Shots Total,0.41,40
Shots on target,0.06,23
Shots on target %,15.4%,19
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,13.40,27
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,22
npxG,0.03,22
npxG/Sh,0.06,20
Goals - xG,-0.03,22
Non-Penalty Goals - npxG,-0.03,22
Passes Completed,67.30,93
Passes Attempted,74.20,92
Pass Completion %,90.7%,88
Total Passing Distance,1463.52,93
Progressive Passing Distance,475.34,94
,,
Passes Completed (Short),17.94,84
Passes Attempted (Short),18.66,82
Pass Completion % (Short),96.1%,98
,,
Passes Completed (Medium),37.79,96
Passes Attempted (Medium),39.95,96
Pass Completion % (Medium),94.6%,85
,,
Passes Completed (Long),11.32,86
Passes Attempted (Long),14.80,84
Pass Completion % (Long),76.5%,80
Assists,0.00,31
xA,0.04,91
Key Passes,0.19,53
Passes into Final Third,3.45,73
Passes into Penalty Area,0.16,51
Crosses into Penalty Area,0.03,64
Progressive Passes,3.61,83
Passes Attempted,74.20,92
,,
Live-ball passes,72.72,93
Dead-ball passes,1.47,19
Passes from Free Kicks,1.38,39
Through Balls,0.06,81
Passes Under Pressure,5.90,64
Switches,1.66,67
Crosses,0.09,44
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,61.68,94
Low Passes,4.01,43
High Passes,8.50,41
,,
Passes Attempted (Left),60.46,98
Passes Attempted (Right),10.35,22
Passes Attempted (Head),1.85,13
Throw-Ins taken,0.09,19
Passes Attempted (Other),0.19,61
,,
Passes Completed,67.30,93
Passes Offside,0.03,90
Passes Out of Bounds,0.75,60
Passes Intercepted,1.13,29
Passes Blocked,0.38,72
Shot-Creating Actions,0.75,76
,,
SCA (PassLive),0.66,79
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.03,41
SCA (Fld),0.03,80
SCA (Def),0.03,66
,,
Goal-Creating Actions,0.09,77
,,
GCA (PassLive),0.03,43
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.03,84
GCA (Fld),0.03,96
GCA (Def),0.00,48
Tackles,1.51,44
Tackles Won,0.88,44
Tackles (Def 3rd),0.97,45
Tackles (Mid 3rd),0.50,52
Tackles (Att 3rd),0.03,29
,,
Dribblers Tackled,0.56,42
Dribbles Contested,0.82,23
% of dribblers tackled,69.2%,95
Dribbled Past,0.25,91
,,
Pressures,6.87,21
Successful Pressures,2.95,39
Successful Pressure %,42.9%,95
Pressures (Def 3rd),3.67,19
Pressures (Mid 3rd),2.95,33
Pressures (Att 3rd),0.25,20
,,
Blocks,1.76,57
Shots Blocked,0.97,74
Shots Saved,0.00,32
Passes Blocked,0.78,33
,,
Interceptions,1.88,39
Tkl+Int,3.39,39
Clearances,3.26,19
Errors,0.03,55
Touches,82.88,93
Touches (Def Pen),9.78,67
Touches (Def 3rd),39.57,83
Touches (Mid 3rd),45.82,93
Touches (Att 3rd),2.04,33
Touches (Att Pen),0.85,53
Touches (Live-Ball),81.56,93
,,
Dribbles Completed,0.22,59
Dribbles Attempted,0.25,44
Successful Dribble %,87.5%,86
Players Dribbled Past,0.22,56
Nutmegs,0.00,37
,,
Carries,60.05,94
Total Carrying Distance,286.46,86
Progressive Carrying Distance,138.95,76
Progressive Carries,3.07,72
Carries into Final Third,0.34,48
Carries into Penalty Area,0.00,31
Miscontrols,0.19,64
Dispossessed,0.06,91
,,
Pass Targets,63.60,93
Passes Received,63.22,94
Passes Received %,99.4%,99
Progressive Passes Rec,0.03,7
Yellow Cards,0.22,41
Red Cards,0.09,1
Second Yellow Card,0.03,10
Fouls Committed,0.75,75
Fouls Drawn,0.38,24
Offsides,0.00,79
Crosses,0.09,44
,,
Interceptions,1.88,39
Tackles Won,0.88,44
Penalty Kicks Won,0.03,97
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.09,49
,,
Aerials won,2.07,27
Aerials lost,0.75,98
% of Aerials Won,73.3%,91
