--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,76
Assists,0.00,31
Non-Penalty Goals,0.08,77
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.23,37
Red Cards,0.00,64
,,
xG,0.06,70
npxG,0.06,71
xA,0.03,79
npxG+xA,0.09,76
Goals,0.08,76
Shots Total,0.46,46
Shots on target,0.15,59
Shots on target %,33.3%,71
Goals/Shot,0.17,84
Goals/Shot on target,0.50,70
Average Shot Distance,9.40,70
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,70
npxG,0.06,71
npxG/Sh,0.13,80
Goals - xG,+0.02,71
Non-Penalty Goals - npxG,+0.02,71
Passes Completed,73.18,97
Passes Attempted,79.44,98
Pass Completion %,92.1%,93
Total Passing Distance,1621.43,99
Progressive Passing Distance,436.50,91
,,
Passes Completed (Short),19.65,90
Passes Attempted (Short),20.11,86
Pass Completion % (Short),97.7%,99
,,
Passes Completed (Medium),39.64,97
Passes Attempted (Medium),41.23,97
Pass Completion % (Medium),96.2%,96
,,
Passes Completed (Long),13.27,94
Passes Attempted (Long),16.94,94
Pass Completion % (Long),78.3%,84
Assists,0.00,31
xA,0.03,79
Key Passes,0.19,55
Passes into Final Third,4.33,85
Passes into Penalty Area,0.31,78
Crosses into Penalty Area,0.00,29
Progressive Passes,3.29,75
Passes Attempted,79.44,98
,,
Live-ball passes,77.12,97
Dead-ball passes,2.32,55
Passes from Free Kicks,1.90,71
Through Balls,0.12,97
Passes Under Pressure,5.49,51
Switches,3.36,98
Crosses,0.04,21
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,66.60,97
Low Passes,3.52,23
High Passes,9.32,52
,,
Passes Attempted (Left),20.46,72
Passes Attempted (Right),55.58,90
Passes Attempted (Head),1.90,14
Throw-Ins taken,0.35,60
Passes Attempted (Other),0.19,62
,,
Passes Completed,73.18,97
Passes Offside,0.23,12
Passes Out of Bounds,1.28,9
Passes Intercepted,0.93,48
Passes Blocked,0.35,77
Shot-Creating Actions,0.43,33
,,
SCA (PassLive),0.35,34
SCA (PassDead),0.04,78
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.04,85
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.08,66
,,
GCA (PassLive),0.04,52
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.04,98
GCA (Def),0.00,48
Tackles,0.93,9
Tackles Won,0.62,17
Tackles (Def 3rd),0.58,10
Tackles (Mid 3rd),0.35,24
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.46,29
Dribbles Contested,0.73,17
% of dribblers tackled,63.2%,85
Dribbled Past,0.27,88
,,
Pressures,4.56,2
Successful Pressures,1.47,1
Successful Pressure %,32.2%,16
Pressures (Def 3rd),2.32,2
Pressures (Mid 3rd),2.09,11
Pressures (Att 3rd),0.15,7
,,
Blocks,1.01,2
Shots Blocked,0.31,4
Shots Saved,0.04,78
Passes Blocked,0.70,22
,,
Interceptions,1.59,20
Tkl+Int,2.51,10
Clearances,2.75,7
Errors,0.04,41
Touches,86.02,96
Touches (Def Pen),8.43,41
Touches (Def 3rd),39.45,82
Touches (Mid 3rd),49.35,95
Touches (Att 3rd),2.48,49
Touches (Att Pen),0.81,47
Touches (Live-Ball),83.73,95
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.00,1
Players Dribbled Past,0.00,3
Nutmegs,0.00,37
,,
Carries,60.95,95
Total Carrying Distance,304.69,90
Progressive Carrying Distance,166.89,87
Progressive Carries,5.22,93
Carries into Final Third,0.50,63
Carries into Penalty Area,0.00,31
Miscontrols,0.08,91
Dispossessed,0.04,95
,,
Pass Targets,70.20,98
Passes Received,69.35,98
Passes Received %,98.8%,90
Progressive Passes Rec,0.08,22
Yellow Cards,0.23,37
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.62,83
Fouls Drawn,0.23,8
Offsides,0.04,39
Crosses,0.04,21
,,
Interceptions,1.59,20
Tackles Won,0.62,17
Penalty Kicks Won,0.04,98
Penalty Kicks Conceded,0.00,76
Own Goals,0.04,11
Ball Recoveries,7.04,8
,,
Aerials won,1.70,14
Aerials lost,0.62,99
% of Aerials Won,73.3%,91
