--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,2
Assists,0.30,93
Non-Penalty Goals,0.08,1
Penalty Kicks Made,0.08,60
Penalty Kicks Attempted,0.08,53
Yellow Cards,0.15,44
Red Cards,0.00,55
,,
xG,0.31,25
npxG,0.25,16
xA,0.11,53
npxG+xA,0.36,23
Goals,0.15,2
Shots Total,2.49,48
Shots on target,0.83,35
Shots on target %,33.3%,26
Goals/Shot,0.03,1
Goals/Shot on target,0.09,1
Average Shot Distance,13.40,64
Shots from free kicks,0.00,30
Penalty Kicks Made,0.08,60
Penalty Kicks Attempted,0.08,53
,,
xG,0.31,25
npxG,0.25,16
npxG/Sh,0.10,14
Goals - xG,-0.16,6
Non-Penalty Goals - npxG,-0.17,5
Passes Completed,18.54,71
Passes Attempted,25.10,64
Pass Completion %,73.9%,66
Total Passing Distance,253.94,58
Progressive Passing Distance,31.96,19
,,
Passes Completed (Short),11.83,80
Passes Attempted (Short),14.47,77
Pass Completion % (Short),81.8%,73
,,
Passes Completed (Medium),5.43,61
Passes Attempted (Medium),7.39,57
Pass Completion % (Medium),73.5%,60
,,
Passes Completed (Long),0.60,12
Passes Attempted (Long),1.36,22
Pass Completion % (Long),44.4%,9
Assists,0.30,93
xA,0.11,53
Key Passes,0.75,22
Passes into Final Third,0.98,47
Passes into Penalty Area,0.38,17
Crosses into Penalty Area,0.08,42
Progressive Passes,0.75,6
Passes Attempted,25.10,64
,,
Live-ball passes,24.20,68
Dead-ball passes,0.90,22
Passes from Free Kicks,0.08,69
Through Balls,0.00,11
Passes Under Pressure,7.76,75
Switches,0.38,47
Crosses,0.38,15
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,15.30,60
Low Passes,5.73,83
High Passes,4.07,59
,,
Passes Attempted (Left),5.13,71
Passes Attempted (Right),13.72,43
Passes Attempted (Head),2.49,89
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.68,72
,,
Passes Completed,18.54,71
Passes Offside,0.08,64
Passes Out of Bounds,0.53,34
Passes Intercepted,0.98,70
Passes Blocked,1.13,39
Shot-Creating Actions,1.58,9
,,
SCA (PassLive),1.21,16
SCA (PassDead),0.00,36
SCA (Drib),0.08,23
SCA (Sh),0.15,24
SCA (Fld),0.08,14
SCA (Def),0.08,66
,,
Goal-Creating Actions,0.38,64
,,
GCA (PassLive),0.23,62
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.15,98
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.36,93
Tackles Won,0.83,91
Tackles (Def 3rd),0.23,73
Tackles (Mid 3rd),0.75,95
Tackles (Att 3rd),0.38,87
,,
Dribblers Tackled,0.23,75
Dribbles Contested,0.53,40
% of dribblers tackled,42.9%,90
Dribbled Past,0.30,74
,,
Pressures,17.41,74
Successful Pressures,4.30,63
Successful Pressure %,24.7%,28
Pressures (Def 3rd),3.17,96
Pressures (Mid 3rd),8.67,88
Pressures (Att 3rd),5.58,18
,,
Blocks,1.36,93
Shots Blocked,0.23,85
Shots Saved,0.00,48
Passes Blocked,1.13,91
,,
Interceptions,0.45,61
Tkl+Int,1.81,87
Clearances,1.13,91
Errors,0.00,53
Touches,37.24,55
Touches (Def Pen),1.51,94
Touches (Def 3rd),5.20,98
Touches (Mid 3rd),19.22,70
Touches (Att 3rd),15.08,23
Touches (Att Pen),3.69,8
Touches (Live-Ball),36.26,58
,,
Dribbles Completed,0.83,49
Dribbles Attempted,1.58,42
Successful Dribble %,52.4%,69
Players Dribbled Past,0.83,39
Nutmegs,0.00,10
,,
Carries,20.05,40
Total Carrying Distance,99.80,50
Progressive Carrying Distance,47.34,50
Progressive Carries,2.71,50
Carries into Final Third,0.98,57
Carries into Penalty Area,0.30,15
Miscontrols,2.49,59
Dispossessed,1.13,87
,,
Pass Targets,48.24,68
Passes Received,26.16,45
Passes Received %,54.2%,26
Progressive Passes Rec,5.95,23
Yellow Cards,0.15,44
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.51,39
Fouls Drawn,1.28,34
Offsides,0.45,72
Crosses,0.38,15
,,
Interceptions,0.45,61
Tackles Won,0.83,91
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.75,82
,,
Aerials won,3.92,83
Aerials lost,4.67,22
% of Aerials Won,45.6%,76
