--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.41,84
Assists,0.15,41
Non-Penalty Goals,0.41,89
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.15,49
Red Cards,0.00,56
,,
xG,0.26,57
npxG,0.26,67
xA,0.14,33
npxG+xA,0.40,55
Goals,0.41,84
Shots Total,1.54,21
Shots on target,0.61,37
Shots on target %,40.0%,74
Goals/Shot,0.27,99
Goals/Shot on target,0.67,99
Average Shot Distance,13.50,96
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.26,57
npxG,0.26,67
npxG/Sh,0.17,94
Goals - xG,+0.15,93
Non-Penalty Goals - npxG,+0.15,93
Passes Completed,22.51,25
Passes Attempted,29.22,19
Pass Completion %,77.1%,58
Total Passing Distance,324.18,15
Progressive Passing Distance,77.62,12
,,
Passes Completed (Short),13.81,43
Passes Attempted (Short),15.76,35
Pass Completion % (Short),87.7%,74
,,
Passes Completed (Medium),7.01,21
Passes Attempted (Medium),9.16,18
Pass Completion % (Medium),76.5%,37
,,
Passes Completed (Long),1.02,6
Passes Attempted (Long),1.94,6
Pass Completion % (Long),52.6%,43
Assists,0.15,41
xA,0.14,33
Key Passes,0.72,2
Passes into Final Third,1.28,30
Passes into Penalty Area,0.56,3
Crosses into Penalty Area,0.31,54
Progressive Passes,1.59,4
Passes Attempted,29.22,19
,,
Live-ball passes,28.70,24
Dead-ball passes,0.51,9
Passes from Free Kicks,0.00,3
Through Balls,0.10,52
Passes Under Pressure,5.94,22
Switches,0.51,18
Crosses,1.48,32
Corner Kicks,0.20,31
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.10,48
Straight Corner Kicks,0.00,25
,,
Ground passes,22.10,32
Low Passes,3.99,24
High Passes,3.12,12
,,
Passes Attempted (Left),21.34,73
Passes Attempted (Right),5.37,17
Passes Attempted (Head),1.28,72
Throw-Ins taken,0.26,26
Passes Attempted (Other),0.20,39
,,
Passes Completed,22.51,25
Passes Offside,0.05,91
Passes Out of Bounds,0.61,55
Passes Intercepted,1.38,69
Passes Blocked,1.48,52
Shot-Creating Actions,1.59,2
,,
SCA (PassLive),1.33,5
SCA (PassDead),0.00,13
SCA (Drib),0.10,13
SCA (Sh),0.00,1
SCA (Fld),0.10,25
SCA (Def),0.05,41
,,
Goal-Creating Actions,0.20,15
,,
GCA (PassLive),0.20,38
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,2.00,89
Tackles Won,1.43,94
Tackles (Def 3rd),0.72,80
Tackles (Mid 3rd),1.07,96
Tackles (Att 3rd),0.20,27
,,
Dribblers Tackled,0.87,97
Dribbles Contested,2.76,99
% of dribblers tackled,31.5%,56
Dribbled Past,1.89,3
,,
Pressures,23.64,95
Successful Pressures,6.14,89
Successful Pressure %,26.0%,28
Pressures (Def 3rd),6.34,97
Pressures (Mid 3rd),11.67,97
Pressures (Att 3rd),5.63,51
,,
Blocks,2.00,97
Shots Blocked,0.20,91
Shots Saved,0.00,49
Passes Blocked,1.79,97
,,
Interceptions,1.33,80
Tkl+Int,3.33,87
Clearances,0.82,87
Errors,0.00,57
Touches,42.72,19
Touches (Def Pen),1.74,96
Touches (Def 3rd),8.08,81
Touches (Mid 3rd),20.21,34
Touches (Att 3rd),16.99,6
Touches (Att Pen),3.48,38
Touches (Live-Ball),42.26,25
,,
Dribbles Completed,1.02,22
Dribbles Attempted,1.89,19
Successful Dribble %,54.1%,64
Players Dribbled Past,1.07,21
Nutmegs,0.05,17
,,
Carries,29.57,18
Total Carrying Distance,142.55,8
Progressive Carrying Distance,75.83,10
Progressive Carries,4.55,15
Carries into Final Third,1.02,5
Carries into Penalty Area,0.46,13
Miscontrols,2.30,40
Dispossessed,2.40,24
,,
Pass Targets,38.27,12
Passes Received,28.76,17
Passes Received %,75.1%,36
Progressive Passes Rec,5.53,36
Yellow Cards,0.15,49
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.05,9
Fouls Drawn,1.54,43
Offsides,0.26,54
Crosses,1.48,32
,,
Interceptions,1.33,80
Tackles Won,1.43,94
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.65,65
,,
Aerials won,1.23,82
Aerials lost,2.30,16
% of Aerials Won,34.8%,52
