--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.08,57
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.40,11
Red Cards,0.00,61
,,
xG,0.02,9
npxG,0.02,10
xA,0.07,50
npxG+xA,0.10,24
Goals,0.00,11
Shots Total,0.32,4
Shots on target,0.00,1
Shots on target %,0.0%,1
Goals/Shot,0.00,12
Average Shot Distance,19.20,62
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.02,9
npxG,0.02,10
npxG/Sh,0.07,54
Goals - xG,-0.02,33
Non-Penalty Goals - npxG,-0.02,33
Passes Completed,62.61,92
Passes Attempted,70.66,92
Pass Completion %,88.6%,88
Total Passing Distance,1220.92,94
Progressive Passing Distance,299.57,89
,,
Passes Completed (Short),23.37,84
Passes Attempted (Short),26.19,86
Pass Completion % (Short),89.2%,60
,,
Passes Completed (Medium),28.93,95
Passes Attempted (Medium),30.78,94
Pass Completion % (Medium),94.0%,96
,,
Passes Completed (Long),8.78,87
Passes Attempted (Long),11.52,79
Pass Completion % (Long),76.2%,77
Assists,0.08,57
xA,0.07,50
Key Passes,0.81,46
Passes into Final Third,4.19,57
Passes into Penalty Area,0.40,19
Crosses into Penalty Area,0.08,45
Progressive Passes,5.00,77
Passes Attempted,70.66,92
,,
Live-ball passes,68.57,93
Dead-ball passes,2.09,56
Passes from Free Kicks,1.77,70
Through Balls,0.08,54
Passes Under Pressure,10.96,93
Switches,2.42,75
Crosses,0.32,32
Corner Kicks,0.08,59
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.08,68
Straight Corner Kicks,0.00,38
,,
Ground passes,52.45,89
Low Passes,8.06,97
High Passes,10.15,78
,,
Passes Attempted (Left),6.45,48
Passes Attempted (Right),60.75,93
Passes Attempted (Head),2.26,66
Throw-Ins taken,0.24,67
Passes Attempted (Other),0.24,56
,,
Passes Completed,62.61,92
Passes Offside,0.00,98
Passes Out of Bounds,0.81,35
Passes Intercepted,2.01,13
Passes Blocked,0.40,98
Shot-Creating Actions,1.45,26
,,
SCA (PassLive),1.37,43
SCA (PassDead),0.08,65
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.08,17
,,
GCA (PassLive),0.08,27
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.14,88
Tackles Won,2.26,93
Tackles (Def 3rd),1.69,96
Tackles (Mid 3rd),1.21,70
Tackles (Att 3rd),0.24,44
,,
Dribblers Tackled,1.13,89
Dribbles Contested,3.63,98
% of dribblers tackled,31.1%,24
Dribbled Past,2.50,2
,,
Pressures,24.25,91
Successful Pressures,7.25,88
Successful Pressure %,29.9%,45
Pressures (Def 3rd),10.23,99
Pressures (Mid 3rd),11.68,80
Pressures (Att 3rd),2.34,31
,,
Blocks,1.61,53
Shots Blocked,0.24,40
Shots Saved,0.00,45
Passes Blocked,1.37,63
,,
Interceptions,1.53,35
Tkl+Int,4.67,74
Clearances,2.09,88
Errors,0.08,2
Touches,80.49,92
Touches (Def Pen),3.63,86
Touches (Def 3rd),22.00,93
Touches (Mid 3rd),50.76,93
Touches (Att 3rd),11.12,33
Touches (Att Pen),0.73,27
Touches (Live-Ball),78.64,93
,,
Dribbles Completed,0.64,45
Dribbles Attempted,1.05,42
Successful Dribble %,61.5%,47
Players Dribbled Past,0.73,48
Nutmegs,0.00,17
,,
Carries,53.66,88
Total Carrying Distance,208.28,62
Progressive Carrying Distance,95.88,54
Progressive Carries,4.03,57
Carries into Final Third,1.37,65
Carries into Penalty Area,0.00,7
Miscontrols,0.81,56
Dispossessed,0.56,89
,,
Pass Targets,61.32,89
Passes Received,57.77,90
Passes Received %,94.2%,73
Progressive Passes Rec,0.73,11
Yellow Cards,0.40,11
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.26,14
Fouls Drawn,1.53,59
Offsides,0.00,77
Crosses,0.32,32
,,
Interceptions,1.53,35
Tackles Won,2.26,93
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.60,85
,,
Aerials won,0.81,32
Aerials lost,0.89,73
% of Aerials Won,47.6%,43
