--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.11,62
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.43,2
Red Cards,0.05,3
,,
xG,0.04,59
npxG,0.04,59
xA,0.05,20
npxG+xA,0.10,32
Goals,0.00,20
Shots Total,0.59,50
Shots on target,0.05,14
Shots on target %,9.1%,6
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,17.20,71
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.04,59
npxG,0.04,59
npxG/Sh,0.07,59
Goals - xG,-0.04,11
Non-Penalty Goals - npxG,-0.04,10
Passes Completed,34.01,25
Passes Attempted,46.05,24
Pass Completion %,73.9%,29
Total Passing Distance,598.96,24
Progressive Passing Distance,252.35,32
,,
Passes Completed (Short),15.76,30
Passes Attempted (Short),18.25,29
Pass Completion % (Short),86.4%,25
,,
Passes Completed (Medium),14.52,29
Passes Attempted (Medium),19.06,36
Pass Completion % (Medium),76.2%,17
,,
Passes Completed (Long),3.13,23
Passes Attempted (Long),6.80,32
Pass Completion % (Long),46.0%,26
Assists,0.11,62
xA,0.05,20
Key Passes,0.49,9
Passes into Final Third,2.38,41
Passes into Penalty Area,0.49,6
Crosses into Penalty Area,0.16,8
Progressive Passes,2.59,15
Passes Attempted,46.05,24
,,
Live-ball passes,35.25,21
Dead-ball passes,10.80,72
Passes from Free Kicks,1.03,61
Through Balls,0.00,18
Passes Under Pressure,6.64,64
Switches,0.81,33
Crosses,1.67,27
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,23.49,23
Low Passes,10.69,49
High Passes,11.88,59
,,
Passes Attempted (Left),9.66,53
Passes Attempted (Right),22.57,42
Passes Attempted (Head),1.94,55
Throw-Ins taken,9.77,79
Passes Attempted (Other),0.43,99
,,
Passes Completed,34.01,25
Passes Offside,0.27,18
Passes Out of Bounds,1.19,16
Passes Intercepted,1.73,57
Passes Blocked,1.24,88
Shot-Creating Actions,1.03,7
,,
SCA (PassLive),0.65,4
SCA (PassDead),0.16,66
SCA (Drib),0.11,78
SCA (Sh),0.05,60
SCA (Fld),0.05,48
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.22,61
,,
GCA (PassLive),0.16,61
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.05,92
GCA (Def),0.00,46
Tackles,3.62,97
Tackles Won,1.94,93
Tackles (Def 3rd),1.84,91
Tackles (Mid 3rd),1.46,99
Tackles (Att 3rd),0.32,71
,,
Dribblers Tackled,1.51,95
Dribbles Contested,3.73,99
% of dribblers tackled,40.6%,20
Dribbled Past,2.21,1
,,
Pressures,19.22,95
Successful Pressures,5.67,92
Successful Pressure %,29.5%,35
Pressures (Def 3rd),9.61,95
Pressures (Mid 3rd),6.75,88
Pressures (Att 3rd),2.86,73
,,
Blocks,2.32,81
Shots Blocked,0.43,81
Shots Saved,0.00,41
Passes Blocked,1.89,77
,,
Interceptions,2.11,70
Tkl+Int,5.72,96
Clearances,2.00,51
Errors,0.05,14
Touches,57.34,24
Touches (Def Pen),2.97,35
Touches (Def 3rd),17.82,34
Touches (Mid 3rd),28.24,43
Touches (Att 3rd),14.58,18
Touches (Att Pen),1.03,33
Touches (Live-Ball),46.81,22
,,
Dribbles Completed,0.81,57
Dribbles Attempted,1.40,50
Successful Dribble %,57.7%,68
Players Dribbled Past,0.86,54
Nutmegs,0.16,82
,,
Carries,27.59,11
Total Carrying Distance,148.31,19
Progressive Carrying Distance,80.82,21
Progressive Carries,3.08,15
Carries into Final Third,1.30,31
Carries into Penalty Area,0.05,7
Miscontrols,0.92,47
Dispossessed,0.38,93
,,
Pass Targets,29.91,11
Passes Received,26.18,9
Passes Received %,87.5%,18
Progressive Passes Rec,2.21,51
Yellow Cards,0.43,2
Red Cards,0.05,3
Second Yellow Card,0.00,55
Fouls Committed,1.78,9
Fouls Drawn,1.03,46
Offsides,0.05,55
Crosses,1.67,27
,,
Interceptions,2.11,70
Tackles Won,1.94,93
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.05,11
Own Goals,0.00,57
Ball Recoveries,9.34,86
,,
Aerials won,2.16,91
Aerials lost,1.57,14
% of Aerials Won,58.0%,77
