--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.17,30
Assists,0.13,33
Non-Penalty Goals,0.17,36
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.17,43
Red Cards,0.00,56
,,
xG,0.22,47
npxG,0.22,53
xA,0.15,37
npxG+xA,0.37,42
Goals,0.17,30
Shots Total,1.56,22
Shots on target,0.55,25
Shots on target %,35.1%,44
Goals/Shot,0.11,52
Goals/Shot on target,0.31,46
Average Shot Distance,14.00,93
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.22,47
npxG,0.22,53
npxG/Sh,0.14,81
Goals - xG,-0.05,28
Non-Penalty Goals - npxG,-0.05,28
Passes Completed,25.64,39
Passes Attempted,33.15,32
Pass Completion %,77.4%,60
Total Passing Distance,372.02,27
Progressive Passing Distance,76.88,10
,,
Passes Completed (Short),15.10,52
Passes Attempted (Short),17.38,50
Pass Completion % (Short),86.9%,65
,,
Passes Completed (Medium),8.56,37
Passes Attempted (Medium),11.26,40
Pass Completion % (Medium),76.0%,33
,,
Passes Completed (Long),1.01,5
Passes Attempted (Long),1.86,5
Pass Completion % (Long),54.5%,52
Assists,0.13,33
xA,0.15,37
Key Passes,1.05,14
Passes into Final Third,1.05,18
Passes into Penalty Area,0.72,6
Crosses into Penalty Area,0.17,24
Progressive Passes,1.98,13
Passes Attempted,33.15,32
,,
Live-ball passes,32.85,40
Dead-ball passes,0.30,2
Passes from Free Kicks,0.08,16
Through Balls,0.00,8
Passes Under Pressure,7.84,71
Switches,0.51,16
Crosses,1.31,25
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,25
,,
Ground passes,26.15,47
Low Passes,3.96,23
High Passes,3.04,9
,,
Passes Attempted (Left),3.04,15
Passes Attempted (Right),28.00,58
Passes Attempted (Head),0.84,40
Throw-Ins taken,0.21,18
Passes Attempted (Other),0.38,81
,,
Passes Completed,25.64,39
Passes Offside,0.21,39
Passes Out of Bounds,0.34,91
Passes Intercepted,1.22,82
Passes Blocked,1.52,46
Shot-Creating Actions,2.15,10
,,
SCA (PassLive),1.60,17
SCA (PassDead),0.00,13
SCA (Drib),0.21,46
SCA (Sh),0.04,5
SCA (Fld),0.25,74
SCA (Def),0.04,31
,,
Goal-Creating Actions,0.21,17
,,
GCA (PassLive),0.21,39
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,2.15,92
Tackles Won,1.14,76
Tackles (Def 3rd),0.51,56
Tackles (Mid 3rd),1.39,99
Tackles (Att 3rd),0.25,37
,,
Dribblers Tackled,0.84,96
Dribbles Contested,2.70,98
% of dribblers tackled,31.3%,54
Dribbled Past,1.86,3
,,
Pressures,22.27,91
Successful Pressures,6.62,96
Successful Pressure %,29.7%,74
Pressures (Def 3rd),3.92,59
Pressures (Mid 3rd),10.97,94
Pressures (Att 3rd),7.38,86
,,
Blocks,1.22,54
Shots Blocked,0.13,72
Shots Saved,0.00,49
Passes Blocked,1.10,51
,,
Interceptions,1.22,72
Tkl+Int,3.37,90
Clearances,0.25,25
Errors,0.00,57
Touches,48.21,37
Touches (Def Pen),0.63,32
Touches (Def 3rd),4.64,16
Touches (Mid 3rd),21.05,39
Touches (Att 3rd),26.40,60
Touches (Att Pen),5.40,82
Touches (Live-Ball),47.99,47
,,
Dribbles Completed,2.53,88
Dribbles Attempted,4.93,91
Successful Dribble %,51.3%,47
Players Dribbled Past,2.83,89
Nutmegs,0.21,64
,,
Carries,39.01,61
Total Carrying Distance,217.83,57
Progressive Carrying Distance,121.38,56
Progressive Carries,6.79,65
Carries into Final Third,1.73,34
Carries into Penalty Area,1.18,67
Miscontrols,2.78,13
Dispossessed,2.40,25
,,
Pass Targets,49.26,54
Passes Received,34.25,36
Passes Received %,69.5%,13
Progressive Passes Rec,8.14,88
Yellow Cards,0.17,43
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.22,49
Fouls Drawn,1.90,63
Offsides,0.72,4
Crosses,1.31,25
,,
Interceptions,1.22,72
Tackles Won,1.14,76
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.68,91
,,
Aerials won,0.84,64
Aerials lost,1.43,46
% of Aerials Won,37.0%,60
