--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.14,80
Assists,0.14,79
Non-Penalty Goals,0.14,84
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.09,91
Red Cards,0.00,61
,,
xG,0.19,93
npxG,0.19,96
xA,0.12,78
npxG+xA,0.31,94
Goals,0.14,80
Shots Total,1.22,68
Shots on target,0.28,54
Shots on target %,23.1%,34
Goals/Shot,0.12,79
Goals/Shot on target,0.50,86
Average Shot Distance,13.40,96
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.19,93
npxG,0.19,96
npxG/Sh,0.16,98
Goals - xG,-0.05,13
Non-Penalty Goals - npxG,-0.05,13
Passes Completed,36.47,37
Passes Attempted,40.32,22
Pass Completion %,90.4%,93
Total Passing Distance,544.93,16
Progressive Passing Distance,89.53,1
,,
Passes Completed (Short),21.29,76
Passes Attempted (Short),22.75,73
Pass Completion % (Short),93.6%,94
,,
Passes Completed (Medium),11.94,16
Passes Attempted (Medium),13.07,9
Pass Completion % (Medium),91.4%,84
,,
Passes Completed (Long),1.88,2
Passes Attempted (Long),2.26,1
Pass Completion % (Long),83.3%,94
Assists,0.14,79
xA,0.12,78
Key Passes,0.61,30
Passes into Final Third,2.26,10
Passes into Penalty Area,0.56,37
Crosses into Penalty Area,0.05,26
Progressive Passes,1.50,1
Passes Attempted,40.32,22
,,
Live-ball passes,39.43,26
Dead-ball passes,0.89,18
Passes from Free Kicks,0.66,24
Through Balls,0.00,11
Passes Under Pressure,7.33,33
Switches,0.24,1
Crosses,0.09,7
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,35.44,47
Low Passes,3.20,3
High Passes,1.69,1
,,
Passes Attempted (Left),4.84,32
Passes Attempted (Right),33.60,40
Passes Attempted (Head),0.89,6
Throw-Ins taken,0.19,58
Passes Attempted (Other),0.24,55
,,
Passes Completed,36.47,37
Passes Offside,0.09,75
Passes Out of Bounds,0.42,92
Passes Intercepted,1.03,85
Passes Blocked,0.85,65
Shot-Creating Actions,1.32,21
,,
SCA (PassLive),1.13,28
SCA (PassDead),0.00,23
SCA (Drib),0.09,72
SCA (Sh),0.05,35
SCA (Fld),0.00,11
SCA (Def),0.05,39
,,
Goal-Creating Actions,0.33,80
,,
GCA (PassLive),0.28,85
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.05,89
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,0.94,1
Tackles Won,0.61,2
Tackles (Def 3rd),0.28,2
Tackles (Mid 3rd),0.52,4
Tackles (Att 3rd),0.14,18
,,
Dribblers Tackled,0.38,7
Dribbles Contested,0.56,1
% of dribblers tackled,66.7%,99
Dribbled Past,0.19,99
,,
Pressures,11.75,2
Successful Pressures,3.57,3
Successful Pressure %,30.4%,49
Pressures (Def 3rd),3.48,5
Pressures (Mid 3rd),4.56,1
Pressures (Att 3rd),3.71,72
,,
Blocks,1.08,11
Shots Blocked,0.24,39
Shots Saved,0.00,45
Passes Blocked,0.85,11
,,
Interceptions,0.61,1
Tkl+Int,1.55,1
Clearances,0.52,7
Errors,0.00,67
Touches,48.88,15
Touches (Def Pen),1.22,9
Touches (Def 3rd),8.88,7
Touches (Mid 3rd),27.73,18
Touches (Att 3rd),15.46,68
Touches (Att Pen),2.54,89
Touches (Live-Ball),48.17,18
,,
Dribbles Completed,0.75,55
Dribbles Attempted,1.60,69
Successful Dribble %,47.1%,9
Players Dribbled Past,0.75,52
Nutmegs,0.05,54
,,
Carries,36.14,39
Total Carrying Distance,147.76,23
Progressive Carrying Distance,55.74,10
Progressive Carries,2.26,15
Carries into Final Third,0.85,29
Carries into Penalty Area,0.24,71
Miscontrols,1.36,18
Dispossessed,1.27,31
,,
Pass Targets,43.94,51
Passes Received,38.58,46
Passes Received %,87.8%,23
Progressive Passes Rec,3.29,84
Yellow Cards,0.09,91
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,0.56,99
Fouls Drawn,1.17,37
Offsides,0.00,77
Crosses,0.09,7
,,
Interceptions,0.61,1
Tackles Won,0.61,2
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.05,6
Own Goals,0.00,53
Ball Recoveries,5.59,1
,,
Aerials won,0.66,21
Aerials lost,0.38,99
% of Aerials Won,63.6%,90
