--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,57
Assists,0.08,51
Non-Penalty Goals,0.04,57
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.39,4
Red Cards,0.00,60
,,
xG,0.08,83
npxG,0.08,84
xA,0.04,15
npxG+xA,0.12,44
Goals,0.04,57
Shots Total,1.14,89
Shots on target,0.31,83
Shots on target %,27.6%,50
Goals/Shot,0.03,41
Goals/Shot on target,0.13,40
Average Shot Distance,17.10,72
Shots from free kicks,0.04,83
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.08,83
npxG,0.08,84
npxG/Sh,0.07,59
Goals - xG,-0.04,14
Non-Penalty Goals - npxG,-0.04,14
Passes Completed,38.09,44
Passes Attempted,50.93,46
Pass Completion %,74.8%,34
Total Passing Distance,713.72,50
Progressive Passing Distance,301.45,61
,,
Passes Completed (Short),16.61,38
Passes Attempted (Short),19.67,42
Pass Completion % (Short),84.4%,13
,,
Passes Completed (Medium),16.14,46
Passes Attempted (Medium),20.54,49
Pass Completion % (Medium),78.6%,32
,,
Passes Completed (Long),4.75,64
Passes Attempted (Long),9.03,63
Pass Completion % (Long),52.6%,52
Assists,0.08,51
xA,0.04,15
Key Passes,0.59,17
Passes into Final Third,2.40,41
Passes into Penalty Area,0.90,38
Crosses into Penalty Area,0.55,67
Progressive Passes,3.46,44
Passes Attempted,50.93,46
,,
Live-ball passes,44.21,56
Dead-ball passes,6.71,4
Passes from Free Kicks,1.14,69
Through Balls,0.00,18
Passes Under Pressure,5.69,36
Switches,1.49,74
Crosses,2.83,76
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,30.08,52
Low Passes,8.91,18
High Passes,11.94,61
,,
Passes Attempted (Left),7.03,45
Passes Attempted (Right),34.32,70
Passes Attempted (Head),2.55,81
Throw-Ins taken,5.58,5
Passes Attempted (Other),0.27,87
,,
Passes Completed,38.09,44
Passes Offside,0.20,34
Passes Out of Bounds,0.67,74
Passes Intercepted,2.36,13
Passes Blocked,1.45,76
Shot-Creating Actions,1.41,28
,,
SCA (PassLive),1.14,34
SCA (PassDead),0.08,44
SCA (Drib),0.00,15
SCA (Sh),0.16,94
SCA (Fld),0.04,33
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.12,31
,,
GCA (PassLive),0.08,28
GCA (PassDead),0.04,82
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.98,89
Tackles Won,1.65,85
Tackles (Def 3rd),1.88,92
Tackles (Mid 3rd),0.90,79
Tackles (Att 3rd),0.20,35
,,
Dribblers Tackled,1.22,83
Dribbles Contested,2.32,80
% of dribblers tackled,52.5%,65
Dribbled Past,1.10,30
,,
Pressures,16.34,83
Successful Pressures,5.34,87
Successful Pressure %,32.7%,69
Pressures (Def 3rd),8.36,93
Pressures (Mid 3rd),6.01,76
Pressures (Att 3rd),1.96,35
,,
Blocks,1.53,24
Shots Blocked,0.31,59
Shots Saved,0.00,41
Passes Blocked,1.22,16
,,
Interceptions,2.87,96
Tkl+Int,5.85,97
Clearances,2.67,84
Errors,0.04,25
Touches,63.53,54
Touches (Def Pen),5.26,96
Touches (Def 3rd),26.39,96
Touches (Mid 3rd),27.72,39
Touches (Att 3rd),13.63,14
Touches (Att Pen),1.88,69
Touches (Live-Ball),57.06,61
,,
Dribbles Completed,0.43,20
Dribbles Attempted,0.98,26
Successful Dribble %,44.0%,20
Players Dribbled Past,0.59,28
Nutmegs,0.08,54
,,
Carries,35.58,42
Total Carrying Distance,208.78,66
Progressive Carrying Distance,120.31,65
Progressive Carries,4.12,42
Carries into Final Third,1.37,40
Carries into Penalty Area,0.20,37
Miscontrols,0.86,53
Dispossessed,0.71,62
,,
Pass Targets,41.47,54
Passes Received,37.11,53
Passes Received %,89.5%,35
Progressive Passes Rec,1.69,32
Yellow Cards,0.39,4
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.49,21
Fouls Drawn,1.26,67
Offsides,0.12,29
Crosses,2.83,76
,,
Interceptions,2.87,96
Tackles Won,1.65,85
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.08,2
Own Goals,0.00,57
Ball Recoveries,8.52,65
,,
Aerials won,2.08,89
Aerials lost,1.49,18
% of Aerials Won,58.2%,78
