--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.34,20
Red Cards,0.00,61
,,
xG,0.05,28
npxG,0.05,30
xA,0.00,1
npxG+xA,0.05,5
Goals,0.00,11
Shots Total,1.01,48
Shots on target,0.00,1
Shots on target %,0.0%,1
Goals/Shot,0.00,12
Average Shot Distance,23.50,21
Shots from free kicks,0.34,97
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,28
npxG,0.05,30
npxG/Sh,0.04,12
Goals - xG,-0.05,18
Non-Penalty Goals - npxG,-0.05,18
Passes Completed,28.61,13
Passes Attempted,32.55,5
Pass Completion %,87.9%,84
Total Passing Distance,541.58,15
Progressive Passing Distance,105.32,4
,,
Passes Completed (Short),9.57,3
Passes Attempted (Short),10.59,1
Pass Completion % (Short),90.4%,71
,,
Passes Completed (Medium),16.11,43
Passes Attempted (Medium),17.91,39
Pass Completion % (Medium),89.9%,71
,,
Passes Completed (Long),2.37,5
Passes Attempted (Long),3.04,2
Pass Completion % (Long),77.8%,82
Assists,0.00,11
xA,0.00,1
Key Passes,0.11,1
Passes into Final Third,3.49,42
Passes into Penalty Area,0.34,13
Crosses into Penalty Area,0.00,8
Progressive Passes,2.70,19
Passes Attempted,32.55,5
,,
Live-ball passes,31.20,4
Dead-ball passes,1.35,39
Passes from Free Kicks,1.13,49
Through Balls,0.00,11
Passes Under Pressure,6.65,21
Switches,0.79,20
Crosses,0.00,1
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,27.71,24
Low Passes,2.70,1
High Passes,2.14,1
,,
Passes Attempted (Left),6.42,48
Passes Attempted (Right),23.99,21
Passes Attempted (Head),0.90,7
Throw-Ins taken,0.11,38
Passes Attempted (Other),0.11,13
,,
Passes Completed,28.61,13
Passes Offside,0.00,98
Passes Out of Bounds,0.23,99
Passes Intercepted,1.24,71
Passes Blocked,0.23,99
Shot-Creating Actions,0.90,5
,,
SCA (PassLive),0.68,5
SCA (PassDead),0.00,23
SCA (Drib),0.11,78
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.11,83
,,
Goal-Creating Actions,0.11,27
,,
GCA (PassLive),0.11,42
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.59,67
Tackles Won,1.58,60
Tackles (Def 3rd),1.01,59
Tackles (Mid 3rd),1.24,71
Tackles (Att 3rd),0.34,72
,,
Dribblers Tackled,1.01,82
Dribbles Contested,2.48,77
% of dribblers tackled,40.9%,68
Dribbled Past,1.46,28
,,
Pressures,26.47,97
Successful Pressures,6.53,74
Successful Pressure %,24.7%,7
Pressures (Def 3rd),8.67,92
Pressures (Mid 3rd),14.42,97
Pressures (Att 3rd),3.38,65
,,
Blocks,1.13,15
Shots Blocked,0.23,36
Shots Saved,0.00,45
Passes Blocked,0.90,16
,,
Interceptions,0.56,1
Tkl+Int,3.15,21
Clearances,0.79,21
Errors,0.00,67
Touches,41.34,3
Touches (Def Pen),1.13,5
Touches (Def 3rd),8.90,7
Touches (Mid 3rd),25.12,9
Touches (Att 3rd),9.24,16
Touches (Att Pen),0.90,36
Touches (Live-Ball),39.87,3
,,
Dribbles Completed,1.01,69
Dribbles Attempted,1.35,57
Successful Dribble %,75.0%,91
Players Dribbled Past,1.01,65
Nutmegs,0.00,17
,,
Carries,26.70,9
Total Carrying Distance,152.85,25
Progressive Carrying Distance,78.40,35
Progressive Carries,3.27,40
Carries into Final Third,0.56,12
Carries into Penalty Area,0.11,46
Miscontrols,0.34,96
Dispossessed,1.24,33
,,
Pass Targets,28.16,4
Passes Received,25.68,9
Passes Received %,91.2%,46
Progressive Passes Rec,1.69,48
Yellow Cards,0.34,20
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.48,10
Fouls Drawn,1.01,26
Offsides,0.00,77
Crosses,0.00,1
,,
Interceptions,0.56,1
Tackles Won,1.58,60
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.11,1
Own Goals,0.00,53
Ball Recoveries,7.88,16
,,
Aerials won,1.46,63
Aerials lost,1.01,63
% of Aerials Won,59.1%,80
