--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.17,3
Assists,0.06,19
Non-Penalty Goals,0.11,3
Penalty Kicks Made,0.06,54
Penalty Kicks Attempted,0.06,49
Yellow Cards,0.11,60
Red Cards,0.06,4
,,
xG,0.24,5
npxG,0.19,5
xA,0.07,17
npxG+xA,0.27,1
Goals,0.17,3
Shots Total,2.45,44
Shots on target,0.57,5
Shots on target %,23.3%,2
Goals/Shot,0.05,5
Goals/Shot on target,0.20,8
Average Shot Distance,16.70,17
Shots from free kicks,0.06,68
Penalty Kicks Made,0.06,54
Penalty Kicks Attempted,0.06,49
,,
xG,0.24,5
npxG,0.19,5
npxG/Sh,0.08,4
Goals - xG,-0.07,24
Non-Penalty Goals - npxG,-0.08,22
Passes Completed,17.24,57
Passes Attempted,23.61,54
Pass Completion %,73.0%,59
Total Passing Distance,252.19,57
Progressive Passing Distance,44.89,49
,,
Passes Completed (Short),9.50,53
Passes Attempted (Short),11.78,47
Pass Completion % (Short),80.7%,66
,,
Passes Completed (Medium),5.80,69
Passes Attempted (Medium),8.25,71
Pass Completion % (Medium),70.3%,40
,,
Passes Completed (Long),1.02,44
Passes Attempted (Long),1.76,46
Pass Completion % (Long),58.1%,47
Assists,0.06,19
xA,0.07,17
Key Passes,0.68,13
Passes into Final Third,0.74,27
Passes into Penalty Area,0.11,1
Crosses into Penalty Area,0.06,32
Progressive Passes,0.85,11
Passes Attempted,23.61,54
,,
Live-ball passes,21.22,47
Dead-ball passes,2.39,86
Passes from Free Kicks,0.11,78
Through Balls,0.00,11
Passes Under Pressure,6.09,41
Switches,0.28,33
Crosses,0.40,18
Corner Kicks,0.06,78
,,
Inswinging Corner Kicks,0.06,84
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,14.45,52
Low Passes,5.52,78
High Passes,3.64,50
,,
Passes Attempted (Left),1.14,6
Passes Attempted (Right),17.07,70
Passes Attempted (Head),2.05,82
Throw-Ins taken,0.23,76
Passes Attempted (Other),0.34,30
,,
Passes Completed,17.24,57
Passes Offside,0.00,94
Passes Out of Bounds,0.85,6
Passes Intercepted,1.02,68
Passes Blocked,0.74,79
Shot-Creating Actions,1.48,6
,,
SCA (PassLive),0.97,5
SCA (PassDead),0.00,36
SCA (Drib),0.06,19
SCA (Sh),0.28,78
SCA (Fld),0.17,46
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.28,46
,,
GCA (PassLive),0.17,45
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.06,67
GCA (Fld),0.06,73
GCA (Def),0.00,40
Tackles,0.06,1
Tackles Won,0.00,1
Tackles (Def 3rd),0.00,5
Tackles (Mid 3rd),0.06,5
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.34,16
% of dribblers tackled,0.0%,3
Dribbled Past,0.34,66
,,
Pressures,12.40,26
Successful Pressures,3.58,35
Successful Pressure %,28.9%,73
Pressures (Def 3rd),1.25,49
Pressures (Mid 3rd),4.78,23
Pressures (Att 3rd),6.37,35
,,
Blocks,0.51,15
Shots Blocked,0.11,47
Shots Saved,0.00,48
Passes Blocked,0.40,16
,,
Interceptions,0.34,39
Tkl+Int,0.40,5
Clearances,0.91,77
Errors,0.00,53
Touches,35.39,49
Touches (Def Pen),0.97,63
Touches (Def 3rd),3.13,59
Touches (Mid 3rd),18.89,68
Touches (Att 3rd),15.08,24
Touches (Att Pen),3.64,6
Touches (Live-Ball),32.94,43
,,
Dribbles Completed,0.57,27
Dribbles Attempted,1.25,24
Successful Dribble %,45.5%,38
Players Dribbled Past,0.63,28
Nutmegs,0.00,10
,,
Carries,19.29,32
Total Carrying Distance,71.11,23
Progressive Carrying Distance,27.19,11
Progressive Carries,1.82,19
Carries into Final Third,0.80,43
Carries into Penalty Area,0.34,18
Miscontrols,3.64,13
Dispossessed,1.37,74
,,
Pass Targets,50.92,77
Passes Received,26.17,46
Passes Received %,51.4%,12
Progressive Passes Rec,6.54,37
Yellow Cards,0.11,60
Red Cards,0.06,4
Second Yellow Card,0.00,53
Fouls Committed,0.80,86
Fouls Drawn,1.65,57
Offsides,0.63,38
Crosses,0.40,18
,,
Interceptions,0.34,39
Tackles Won,0.00,1
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.98,46
,,
Aerials won,3.64,78
Aerials lost,4.78,20
% of Aerials Won,43.2%,68
