--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.22,38
Red Cards,0.15,1
,,
xG,0.04,49
npxG,0.04,50
xA,0.00,5
npxG+xA,0.05,36
Goals,0.00,16
Shots Total,0.37,34
Shots on target,0.15,58
Shots on target %,40.0%,85
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,9.70,67
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,49
npxG,0.04,50
npxG/Sh,0.13,80
Goals - xG,-0.04,6
Non-Penalty Goals - npxG,-0.04,6
Passes Completed,30.62,11
Passes Attempted,35.57,6
Pass Completion %,86.1%,56
Total Passing Distance,602.07,4
Progressive Passing Distance,176.56,4
,,
Passes Completed (Short),10.86,40
Passes Attempted (Short),11.76,36
Pass Completion % (Short),92.4%,70
,,
Passes Completed (Medium),15.12,11
Passes Attempted (Medium),16.47,7
Pass Completion % (Medium),91.8%,48
,,
Passes Completed (Long),4.04,2
Passes Attempted (Long),6.06,1
Pass Completion % (Long),66.7%,40
Assists,0.00,31
xA,0.00,5
Key Passes,0.07,17
Passes into Final Third,0.30,1
Passes into Penalty Area,0.07,28
Crosses into Penalty Area,0.07,86
Progressive Passes,0.60,1
Passes Attempted,35.57,6
,,
Live-ball passes,33.39,6
Dead-ball passes,2.17,50
Passes from Free Kicks,1.87,70
Through Balls,0.00,27
Passes Under Pressure,4.64,26
Switches,1.05,28
Crosses,0.07,40
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,27.25,18
Low Passes,3.97,42
High Passes,4.34,1
,,
Passes Attempted (Left),8.84,53
Passes Attempted (Right),24.03,31
Passes Attempted (Head),1.50,4
Throw-Ins taken,0.30,56
Passes Attempted (Other),0.15,48
,,
Passes Completed,30.62,11
Passes Offside,0.00,97
Passes Out of Bounds,0.82,50
Passes Intercepted,0.75,67
Passes Blocked,0.60,38
Shot-Creating Actions,0.30,14
,,
SCA (PassLive),0.22,13
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.07,76
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.07,65
,,
GCA (PassLive),0.07,78
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,3.29,99
Tackles Won,1.72,97
Tackles (Def 3rd),2.55,99
Tackles (Mid 3rd),0.75,81
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,1.05,89
Dribbles Contested,1.72,84
% of dribblers tackled,60.9%,81
Dribbled Past,0.67,31
,,
Pressures,17.30,99
Successful Pressures,6.66,99
Successful Pressure %,38.5%,76
Pressures (Def 3rd),12.95,99
Pressures (Mid 3rd),3.97,69
Pressures (Att 3rd),0.37,39
,,
Blocks,2.32,93
Shots Blocked,0.60,25
Shots Saved,0.00,32
Passes Blocked,1.72,99
,,
Interceptions,2.62,83
Tkl+Int,5.92,98
Clearances,2.55,5
Errors,0.00,83
Touches,46.87,6
Touches (Def Pen),5.77,7
Touches (Def 3rd),29.73,26
Touches (Mid 3rd),18.64,6
Touches (Att 3rd),1.05,6
Touches (Att Pen),0.75,41
Touches (Live-Ball),44.85,6
,,
Dribbles Completed,0.15,39
Dribbles Attempted,0.22,39
Successful Dribble %,66.7%,47
Players Dribbled Past,0.15,37
Nutmegs,0.00,37
,,
Carries,26.21,14
Total Carrying Distance,125.12,6
Progressive Carrying Distance,66.26,15
Progressive Carries,1.05,12
Carries into Final Third,0.07,11
Carries into Penalty Area,0.00,31
Miscontrols,0.45,11
Dispossessed,0.30,30
,,
Pass Targets,27.03,11
Passes Received,25.98,11
Passes Received %,96.1%,11
Progressive Passes Rec,0.15,47
Yellow Cards,0.22,38
Red Cards,0.15,1
Second Yellow Card,0.00,57
Fouls Committed,1.35,25
Fouls Drawn,0.52,43
Offsides,0.00,79
Crosses,0.07,40
,,
Interceptions,2.62,83
Tackles Won,1.72,97
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.07,6
Own Goals,0.00,60
Ball Recoveries,6.29,2
,,
Aerials won,1.35,6
Aerials lost,1.72,33
% of Aerials Won,43.9%,2
