--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.00,99
Red Cards,0.00,60
,,
xG,0.01,7
npxG,0.01,7
xA,0.01,1
npxG+xA,0.02,1
Goals,0.00,20
Shots Total,0.41,26
Shots on target,0.10,31
Shots on target %,25.0%,40
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,27.70,1
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.01,7
npxG,0.01,7
npxG/Sh,0.03,9
Goals - xG,-0.01,44
Non-Penalty Goals - npxG,-0.01,43
Passes Completed,37.52,42
Passes Attempted,46.23,25
Pass Completion %,81.2%,74
Total Passing Distance,685.56,43
Progressive Passing Distance,257.49,35
,,
Passes Completed (Short),16.30,33
Passes Attempted (Short),18.04,28
Pass Completion % (Short),90.3%,72
,,
Passes Completed (Medium),16.71,53
Passes Attempted (Medium),19.68,41
Pass Completion % (Medium),84.9%,75
,,
Passes Completed (Long),3.90,46
Passes Attempted (Long),6.66,29
Pass Completion % (Long),58.5%,75
Assists,0.00,10
xA,0.01,1
Key Passes,0.31,2
Passes into Final Third,2.67,57
Passes into Penalty Area,1.03,51
Crosses into Penalty Area,0.31,24
Progressive Passes,3.28,38
Passes Attempted,46.23,25
,,
Live-ball passes,35.57,23
Dead-ball passes,10.66,70
Passes from Free Kicks,0.72,35
Through Balls,0.31,99
Passes Under Pressure,5.13,21
Switches,0.72,25
Crosses,1.23,10
Corner Kicks,0.10,63
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.10,74
Straight Corner Kicks,0.00,42
,,
Ground passes,26.14,34
Low Passes,10.05,36
High Passes,10.05,39
,,
Passes Attempted (Left),28.19,65
Passes Attempted (Right),5.23,25
Passes Attempted (Head),1.95,56
Throw-Ins taken,9.84,81
Passes Attempted (Other),0.10,36
,,
Passes Completed,37.52,42
Passes Offside,0.21,32
Passes Out of Bounds,0.51,88
Passes Intercepted,1.54,74
Passes Blocked,1.03,95
Shot-Creating Actions,0.72,1
,,
SCA (PassLive),0.62,4
SCA (PassDead),0.00,6
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.10,78
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,3.08,93
Tackles Won,2.26,98
Tackles (Def 3rd),1.95,93
Tackles (Mid 3rd),0.82,73
Tackles (Att 3rd),0.31,68
,,
Dribblers Tackled,1.23,85
Dribbles Contested,2.56,86
% of dribblers tackled,48.0%,50
Dribbled Past,1.33,14
,,
Pressures,13.22,53
Successful Pressures,5.64,91
Successful Pressure %,42.6%,99
Pressures (Def 3rd),6.97,78
Pressures (Mid 3rd),4.61,44
Pressures (Att 3rd),1.64,20
,,
Blocks,1.85,48
Shots Blocked,0.31,55
Shots Saved,0.00,41
Passes Blocked,1.54,51
,,
Interceptions,1.74,45
Tkl+Int,4.82,80
Clearances,2.77,88
Errors,0.00,70
Touches,57.51,26
Touches (Def Pen),3.59,60
Touches (Def 3rd),20.30,59
Touches (Mid 3rd),27.88,41
Touches (Att 3rd),12.61,7
Touches (Att Pen),0.31,1
Touches (Live-Ball),47.05,24
,,
Dribbles Completed,0.41,18
Dribbles Attempted,0.72,11
Successful Dribble %,57.1%,66
Players Dribbled Past,0.51,21
Nutmegs,0.00,9
,,
Carries,28.29,12
Total Carrying Distance,129.36,12
Progressive Carrying Distance,73.70,13
Progressive Carries,2.87,12
Carries into Final Third,0.72,5
Carries into Penalty Area,0.21,39
Miscontrols,0.41,95
Dispossessed,0.21,99
,,
Pass Targets,31.88,17
Passes Received,28.50,17
Passes Received %,89.4%,33
Progressive Passes Rec,1.64,30
Yellow Cards,0.00,99
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.51,97
Fouls Drawn,1.13,55
Offsides,0.00,89
Crosses,1.23,10
,,
Interceptions,1.74,45
Tackles Won,2.26,98
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,6.87,20
,,
Aerials won,1.33,63
Aerials lost,0.62,93
% of Aerials Won,68.4%,97
