--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.17,55
Red Cards,0.00,60
,,
xG,0.00,1
npxG,0.00,1
xA,0.03,9
npxG+xA,0.03,1
Goals,0.00,20
Shots Total,0.00,1
Shots on target,0.00,2
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,1
npxG,0.00,1
Goals - xG,0.00,58
Non-Penalty Goals - npxG,0.00,58
Passes Completed,57.23,89
Passes Attempted,67.21,88
Pass Completion %,85.1%,89
Total Passing Distance,1015.12,90
Progressive Passing Distance,318.08,71
,,
Passes Completed (Short),27.95,91
Passes Attempted (Short),30.61,91
Pass Completion % (Short),91.3%,83
,,
Passes Completed (Medium),22.29,84
Passes Attempted (Medium),25.12,80
Pass Completion % (Medium),88.7%,92
,,
Passes Completed (Long),6.16,85
Passes Attempted (Long),9.15,64
Pass Completion % (Long),67.3%,92
Assists,0.00,10
xA,0.03,9
Key Passes,0.50,11
Passes into Final Third,3.99,90
Passes into Penalty Area,0.83,30
Crosses into Penalty Area,0.33,32
Progressive Passes,5.82,93
Passes Attempted,67.21,88
,,
Live-ball passes,56.73,87
Dead-ball passes,10.48,64
Passes from Free Kicks,1.16,72
Through Balls,0.17,96
Passes Under Pressure,8.48,96
Switches,1.83,82
Crosses,1.50,21
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,46.58,92
Low Passes,12.31,75
High Passes,8.32,20
,,
Passes Attempted (Left),41.76,85
Passes Attempted (Right),12.98,40
Passes Attempted (Head),1.50,28
Throw-Ins taken,9.32,68
Passes Attempted (Other),0.00,3
,,
Passes Completed,57.23,89
Passes Offside,0.17,47
Passes Out of Bounds,1.50,3
Passes Intercepted,1.83,50
Passes Blocked,1.50,72
Shot-Creating Actions,1.00,6
,,
SCA (PassLive),0.83,9
SCA (PassDead),0.00,6
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.17,92
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.17,47
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.17,99
GCA (Def),0.00,46
Tackles,3.49,96
Tackles Won,1.33,65
Tackles (Def 3rd),1.83,90
Tackles (Mid 3rd),1.50,99
Tackles (Att 3rd),0.17,27
,,
Dribblers Tackled,2.50,99
Dribbles Contested,4.49,99
% of dribblers tackled,55.6%,75
Dribbled Past,2.00,2
,,
Pressures,10.81,25
Successful Pressures,3.16,21
Successful Pressure %,29.2%,31
Pressures (Def 3rd),5.82,57
Pressures (Mid 3rd),3.66,16
Pressures (Att 3rd),1.33,11
,,
Blocks,2.33,81
Shots Blocked,0.17,22
Shots Saved,0.00,41
Passes Blocked,2.16,91
,,
Interceptions,2.33,83
Tkl+Int,5.82,97
Clearances,1.50,25
Errors,0.00,70
Touches,79.52,91
Touches (Def Pen),2.16,8
Touches (Def 3rd),20.13,57
Touches (Mid 3rd),49.74,98
Touches (Att 3rd),14.64,18
Touches (Att Pen),0.17,1
Touches (Live-Ball),69.21,90
,,
Dribbles Completed,1.33,85
Dribbles Attempted,2.66,89
Successful Dribble %,50.0%,44
Players Dribbled Past,1.33,81
Nutmegs,0.00,9
,,
Carries,51.90,90
Total Carrying Distance,232.90,79
Progressive Carrying Distance,126.43,71
Progressive Carries,4.66,53
Carries into Final Third,1.50,48
Carries into Penalty Area,0.00,1
Miscontrols,1.33,18
Dispossessed,1.50,8
,,
Pass Targets,53.23,87
Passes Received,50.57,88
Passes Received %,95.0%,93
Progressive Passes Rec,1.66,32
Yellow Cards,0.17,55
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.83,80
Fouls Drawn,0.67,23
Offsides,0.00,89
Crosses,1.50,21
,,
Interceptions,2.33,83
Tackles Won,1.33,65
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.48,63
,,
Aerials won,2.16,91
Aerials lost,1.83,6
% of Aerials Won,54.2%,65
