--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.06,49
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.40,12
Red Cards,0.03,17
,,
xG,0.01,2
npxG,0.01,2
xA,0.08,56
npxG+xA,0.09,23
Goals,0.00,11
Shots Total,0.40,7
Shots on target,0.06,7
Shots on target %,15.4%,13
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,24.10,14
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.01,2
npxG,0.01,2
npxG/Sh,0.03,4
Goals - xG,-0.01,47
Non-Penalty Goals - npxG,-0.01,47
Passes Completed,64.93,93
Passes Attempted,77.35,95
Pass Completion %,83.9%,58
Total Passing Distance,1347.93,97
Progressive Passing Distance,435.10,99
,,
Passes Completed (Short),23.65,85
Passes Attempted (Short),26.28,86
Pass Completion % (Short),90.0%,67
,,
Passes Completed (Medium),27.42,92
Passes Attempted (Medium),30.67,94
Pass Completion % (Medium),89.4%,63
,,
Passes Completed (Long),12.49,97
Passes Attempted (Long),17.81,98
Pass Completion % (Long),70.1%,51
Assists,0.06,49
xA,0.08,56
Key Passes,0.90,54
Passes into Final Third,6.65,93
Passes into Penalty Area,0.87,68
Crosses into Penalty Area,0.15,71
Progressive Passes,6.52,96
Passes Attempted,77.35,95
,,
Live-ball passes,74.26,95
Dead-ball passes,3.09,76
Passes from Free Kicks,2.32,84
Through Balls,0.06,44
Passes Under Pressure,9.58,76
Switches,3.12,87
Crosses,0.77,64
Corner Kicks,0.06,57
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,57.10,93
Low Passes,7.23,90
High Passes,13.02,93
,,
Passes Attempted (Left),3.34,9
Passes Attempted (Right),70.68,98
Passes Attempted (Head),2.13,59
Throw-Ins taken,0.68,93
Passes Attempted (Other),0.12,17
,,
Passes Completed,64.93,93
Passes Offside,0.28,15
Passes Out of Bounds,1.05,13
Passes Intercepted,2.50,3
Passes Blocked,1.14,31
Shot-Creating Actions,2.13,59
,,
SCA (PassLive),1.86,72
SCA (PassDead),0.00,23
SCA (Drib),0.03,37
SCA (Sh),0.06,46
SCA (Fld),0.15,82
SCA (Def),0.03,24
,,
Goal-Creating Actions,0.09,21
,,
GCA (PassLive),0.09,34
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.07,40
Tackles Won,1.45,53
Tackles (Def 3rd),0.93,53
Tackles (Mid 3rd),1.05,54
Tackles (Att 3rd),0.09,7
,,
Dribblers Tackled,0.77,55
Dribbles Contested,2.75,85
% of dribblers tackled,28.1%,13
Dribbled Past,1.98,9
,,
Pressures,17.78,42
Successful Pressures,5.57,49
Successful Pressure %,31.3%,61
Pressures (Def 3rd),7.82,84
Pressures (Mid 3rd),8.32,29
Pressures (Att 3rd),1.64,8
,,
Blocks,1.08,11
Shots Blocked,0.19,28
Shots Saved,0.00,45
Passes Blocked,0.90,16
,,
Interceptions,1.27,21
Tkl+Int,3.34,25
Clearances,1.02,33
Errors,0.00,67
Touches,86.75,96
Touches (Def Pen),3.90,90
Touches (Def 3rd),30.11,99
Touches (Mid 3rd),52.40,94
Touches (Att 3rd),11.75,38
Touches (Att Pen),0.43,9
Touches (Live-Ball),84.34,96
,,
Dribbles Completed,1.08,73
Dribbles Attempted,1.61,70
Successful Dribble %,67.3%,74
Players Dribbled Past,1.11,71
Nutmegs,0.03,39
,,
Carries,63.91,97
Total Carrying Distance,339.16,98
Progressive Carrying Distance,192.68,99
Progressive Carries,5.26,80
Carries into Final Third,1.36,64
Carries into Penalty Area,0.12,52
Miscontrols,0.80,57
Dispossessed,1.76,9
,,
Pass Targets,68.91,94
Passes Received,66.04,95
Passes Received %,95.8%,92
Progressive Passes Rec,1.36,34
Yellow Cards,0.40,12
Red Cards,0.03,17
Second Yellow Card,0.03,12
Fouls Committed,1.67,49
Fouls Drawn,2.26,87
Offsides,0.00,77
Crosses,0.77,64
,,
Interceptions,1.27,21
Tackles Won,1.45,53
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,18
Own Goals,0.00,53
Ball Recoveries,11.78,87
,,
Aerials won,0.53,13
Aerials lost,1.21,48
% of Aerials Won,30.4%,4
