--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.18,50
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.18,36
Red Cards,0.00,56
,,
xG,0.07,3
npxG,0.07,4
xA,0.11,17
npxG+xA,0.18,2
Goals,0.00,1
Shots Total,0.74,2
Shots on target,0.55,25
Shots on target %,75.0%,99
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,15.90,72
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.07,3
npxG,0.07,4
npxG/Sh,0.10,47
Goals - xG,-0.07,16
Non-Penalty Goals - npxG,-0.07,17
Passes Completed,36.63,78
Passes Attempted,48.96,82
Pass Completion %,74.8%,46
Total Passing Distance,706.20,87
Progressive Passing Distance,260.06,97
,,
Passes Completed (Short),17.67,71
Passes Attempted (Short),19.88,67
Pass Completion % (Short),88.9%,84
,,
Passes Completed (Medium),11.78,68
Passes Attempted (Medium),16.01,80
Pass Completion % (Medium),73.6%,22
,,
Passes Completed (Long),6.26,95
Passes Attempted (Long),10.31,92
Pass Completion % (Long),60.7%,72
Assists,0.18,50
xA,0.11,17
Key Passes,2.21,83
Passes into Final Third,1.47,35
Passes into Penalty Area,2.39,93
Crosses into Penalty Area,1.29,99
Progressive Passes,5.15,89
Passes Attempted,48.96,82
,,
Live-ball passes,40.31,69
Dead-ball passes,8.65,99
Passes from Free Kicks,0.37,45
Through Balls,0.00,8
Passes Under Pressure,6.44,34
Switches,2.58,90
Crosses,5.52,99
Corner Kicks,0.92,55
,,
Inswinging Corner Kicks,0.18,45
Outswinging Corner Kicks,0.37,63
Straight Corner Kicks,0.00,25
,,
Ground passes,26.32,47
Low Passes,10.86,99
High Passes,11.78,96
,,
Passes Attempted (Left),3.13,17
Passes Attempted (Right),36.26,82
Passes Attempted (Head),1.47,85
Throw-Ins taken,7.36,99
Passes Attempted (Other),0.00,1
,,
Passes Completed,36.63,78
Passes Offside,0.37,7
Passes Out of Bounds,0.37,87
Passes Intercepted,2.94,3
Passes Blocked,1.84,17
Shot-Creating Actions,3.31,53
,,
SCA (PassLive),2.58,72
SCA (PassDead),0.55,73
SCA (Drib),0.18,37
SCA (Sh),0.00,1
SCA (Fld),0.00,1
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.18,12
,,
GCA (PassLive),0.00,1
GCA (PassDead),0.18,99
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.84,80
Tackles Won,1.47,96
Tackles (Def 3rd),0.74,82
Tackles (Mid 3rd),0.74,72
Tackles (Att 3rd),0.37,68
,,
Dribblers Tackled,1.10,99
Dribbles Contested,3.13,99
% of dribblers tackled,35.3%,72
Dribbled Past,2.02,1
,,
Pressures,19.14,69
Successful Pressures,4.60,49
Successful Pressure %,24.0%,10
Pressures (Def 3rd),6.99,99
Pressures (Mid 3rd),7.73,56
Pressures (Att 3rd),4.42,25
,,
Blocks,2.76,99
Shots Blocked,0.18,84
Shots Saved,0.00,49
Passes Blocked,2.58,99
,,
Interceptions,2.02,99
Tkl+Int,3.87,95
Clearances,1.29,99
Errors,0.00,57
Touches,60.92,80
Touches (Def Pen),2.02,99
Touches (Def 3rd),12.33,99
Touches (Mid 3rd),25.03,59
Touches (Att 3rd),28.16,72
Touches (Att Pen),3.68,42
Touches (Live-Ball),52.27,65
,,
Dribbles Completed,0.37,1
Dribbles Attempted,1.10,1
Successful Dribble %,33.3%,1
Players Dribbled Past,0.37,1
Nutmegs,0.00,3
,,
Carries,34.42,34
Total Carrying Distance,192.70,40
Progressive Carrying Distance,120.74,55
Progressive Carries,5.71,42
Carries into Final Third,3.31,96
Carries into Penalty Area,0.37,6
Miscontrols,1.29,92
Dispossessed,1.47,78
,,
Pass Targets,47.67,50
Passes Received,36.63,47
Passes Received %,76.8%,46
Progressive Passes Rec,5.52,36
Yellow Cards,0.18,36
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.10,57
Fouls Drawn,1.29,28
Offsides,0.92,1
Crosses,5.52,99
,,
Interceptions,2.02,99
Tackles Won,1.47,96
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.99,74
,,
Aerials won,0.74,56
Aerials lost,1.10,63
% of Aerials Won,40.0%,72
