--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,69
Assists,0.06,92
Non-Penalty Goals,0.06,70
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.29,23
Red Cards,0.06,4
,,
xG,0.05,56
npxG,0.05,56
xA,0.01,30
npxG+xA,0.06,43
Goals,0.06,69
Shots Total,0.42,41
Shots on target,0.13,49
Shots on target %,30.8%,64
Goals/Shot,0.15,80
Goals/Shot on target,0.50,70
Average Shot Distance,10.50,57
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.05,56
npxG,0.05,56
npxG/Sh,0.12,74
Goals - xG,+0.01,70
Non-Penalty Goals - npxG,+0.01,70
Passes Completed,52.26,71
Passes Attempted,59.32,71
Pass Completion %,88.1%,70
Total Passing Distance,1126.87,73
Progressive Passing Distance,332.42,61
,,
Passes Completed (Short),13.26,58
Passes Attempted (Short),14.48,58
Pass Completion % (Short),91.5%,59
,,
Passes Completed (Medium),29.84,79
Passes Attempted (Medium),32.19,79
Pass Completion % (Medium),92.7%,60
,,
Passes Completed (Long),8.94,65
Passes Attempted (Long),12.03,54
Pass Completion % (Long),74.3%,71
Assists,0.06,92
xA,0.01,30
Key Passes,0.16,46
Passes into Final Third,1.58,15
Passes into Penalty Area,0.06,23
Crosses into Penalty Area,0.00,29
Progressive Passes,2.10,30
Passes Attempted,59.32,71
,,
Live-ball passes,57.48,73
Dead-ball passes,1.84,34
Passes from Free Kicks,1.68,57
Through Balls,0.00,27
Passes Under Pressure,4.81,31
Switches,1.19,35
Crosses,0.03,19
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,47.42,73
Low Passes,3.68,30
High Passes,8.23,38
,,
Passes Attempted (Left),5.52,31
Passes Attempted (Right),49.13,83
Passes Attempted (Head),2.84,62
Throw-Ins taken,0.10,19
Passes Attempted (Other),0.16,51
,,
Passes Completed,52.26,71
Passes Offside,0.13,42
Passes Out of Bounds,1.00,30
Passes Intercepted,0.84,58
Passes Blocked,0.39,70
Shot-Creating Actions,0.52,47
,,
SCA (PassLive),0.42,48
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.03,41
SCA (Fld),0.03,81
SCA (Def),0.03,67
,,
Goal-Creating Actions,0.13,88
,,
GCA (PassLive),0.10,88
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.03,96
GCA (Def),0.00,48
Tackles,1.74,57
Tackles Won,1.13,63
Tackles (Def 3rd),1.16,62
Tackles (Mid 3rd),0.55,60
Tackles (Att 3rd),0.03,30
,,
Dribblers Tackled,0.81,74
Dribbles Contested,1.35,67
% of dribblers tackled,59.5%,76
Dribbled Past,0.55,46
,,
Pressures,9.77,61
Successful Pressures,3.84,71
Successful Pressure %,39.3%,82
Pressures (Def 3rd),5.06,51
Pressures (Mid 3rd),4.39,77
Pressures (Att 3rd),0.32,29
,,
Blocks,1.65,45
Shots Blocked,0.87,64
Shots Saved,0.00,32
Passes Blocked,0.77,31
,,
Interceptions,2.42,74
Tkl+Int,4.16,67
Clearances,4.19,51
Errors,0.00,83
Touches,69.58,72
Touches (Def Pen),9.58,64
Touches (Def 3rd),36.55,68
Touches (Mid 3rd),37.13,81
Touches (Att 3rd),1.52,15
Touches (Att Pen),0.55,24
Touches (Live-Ball),68.00,73
,,
Dribbles Completed,0.23,60
Dribbles Attempted,0.42,70
Successful Dribble %,53.8%,24
Players Dribbled Past,0.32,74
Nutmegs,0.00,37
,,
Carries,45.48,73
Total Carrying Distance,332.94,93
Progressive Carrying Distance,177.35,91
Progressive Carries,3.13,73
Carries into Final Third,0.16,20
Carries into Penalty Area,0.00,31
Miscontrols,0.29,38
Dispossessed,0.26,36
,,
Pass Targets,47.48,70
Passes Received,46.58,70
Passes Received %,98.1%,56
Progressive Passes Rec,0.00,3
Yellow Cards,0.29,23
Red Cards,0.06,4
Second Yellow Card,0.03,9
Fouls Committed,1.58,11
Fouls Drawn,1.42,97
Offsides,0.03,48
Crosses,0.03,19
,,
Interceptions,2.42,74
Tackles Won,1.13,63
Penalty Kicks Won,0.03,97
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.81,66
,,
Aerials won,2.74,57
Aerials lost,1.10,80
% of Aerials Won,71.4%,87
