--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.33,67
Assists,0.27,76
Non-Penalty Goals,0.30,71
Penalty Kicks Made,0.03,74
Penalty Kicks Attempted,0.03,71
Yellow Cards,0.36,3
Red Cards,0.00,56
,,
xG,0.30,73
npxG,0.28,74
xA,0.15,39
npxG+xA,0.43,64
Goals,0.33,67
Shots Total,1.87,39
Shots on target,0.77,57
Shots on target %,41.3%,79
Goals/Shot,0.16,79
Goals/Shot on target,0.38,71
Average Shot Distance,12.80,98
Shots from free kicks,0.06,58
Penalty Kicks Made,0.03,74
Penalty Kicks Attempted,0.03,71
,,
xG,0.30,73
npxG,0.28,74
npxG/Sh,0.15,87
Goals - xG,+0.02,58
Non-Penalty Goals - npxG,+0.02,54
Passes Completed,16.39,6
Passes Attempted,24.66,7
Pass Completion %,66.5%,11
Total Passing Distance,284.31,7
Progressive Passing Distance,86.09,19
,,
Passes Completed (Short),7.85,4
Passes Attempted (Short),10.37,4
Pass Completion % (Short),75.7%,4
,,
Passes Completed (Medium),5.75,7
Passes Attempted (Medium),8.45,12
Pass Completion % (Medium),68.1%,6
,,
Passes Completed (Long),1.93,27
Passes Attempted (Long),3.38,22
Pass Completion % (Long),57.0%,61
Assists,0.27,76
xA,0.15,39
Key Passes,1.13,19
Passes into Final Third,2.19,61
Passes into Penalty Area,1.01,24
Crosses into Penalty Area,0.15,21
Progressive Passes,2.49,31
Passes Attempted,24.66,7
,,
Live-ball passes,24.12,9
Dead-ball passes,0.53,11
Passes from Free Kicks,0.03,6
Through Balls,0.15,66
Passes Under Pressure,7.59,66
Switches,0.44,10
Crosses,1.04,18
Corner Kicks,0.03,12
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,25
,,
Ground passes,15.74,7
Low Passes,4.45,36
High Passes,4.47,30
,,
Passes Attempted (Left),16.89,72
Passes Attempted (Right),5.01,15
Passes Attempted (Head),1.30,74
Throw-Ins taken,0.12,5
Passes Attempted (Other),0.39,82
,,
Passes Completed,16.39,6
Passes Offside,0.30,16
Passes Out of Bounds,0.62,54
Passes Intercepted,1.30,76
Passes Blocked,1.51,48
Shot-Creating Actions,2.52,19
,,
SCA (PassLive),1.99,41
SCA (PassDead),0.00,13
SCA (Drib),0.09,11
SCA (Sh),0.15,42
SCA (Fld),0.21,60
SCA (Def),0.09,63
,,
Goal-Creating Actions,0.53,79
,,
GCA (PassLive),0.44,87
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.03,47
GCA (Fld),0.06,81
GCA (Def),0.00,40
Tackles,0.98,21
Tackles Won,0.74,31
Tackles (Def 3rd),0.18,7
Tackles (Mid 3rd),0.53,41
Tackles (Att 3rd),0.27,41
,,
Dribblers Tackled,0.24,14
Dribbles Contested,1.13,30
% of dribblers tackled,21.1%,12
Dribbled Past,0.89,55
,,
Pressures,18.20,61
Successful Pressures,5.45,73
Successful Pressure %,30.0%,77
Pressures (Def 3rd),1.66,4
Pressures (Mid 3rd),9.57,80
Pressures (Att 3rd),6.96,81
,,
Blocks,0.65,10
Shots Blocked,0.03,15
Shots Saved,0.00,49
Passes Blocked,0.62,10
,,
Interceptions,0.33,1
Tkl+Int,1.30,4
Clearances,0.30,35
Errors,0.00,57
Touches,34.82,3
Touches (Def Pen),0.27,6
Touches (Def 3rd),2.70,1
Touches (Mid 3rd),16.95,13
Touches (Att 3rd),16.68,6
Touches (Att Pen),4.62,60
Touches (Live-Ball),34.29,3
,,
Dribbles Completed,1.04,23
Dribbles Attempted,1.60,9
Successful Dribble %,64.8%,94
Players Dribbled Past,1.13,23
Nutmegs,0.09,24
,,
Carries,22.58,3
Total Carrying Distance,88.58,1
Progressive Carrying Distance,46.82,1
Progressive Carries,2.58,1
Carries into Final Third,0.86,1
Carries into Penalty Area,0.53,18
Miscontrols,2.61,22
Dispossessed,1.54,73
,,
Pass Targets,42.05,27
Passes Received,26.29,9
Passes Received %,62.5%,2
Progressive Passes Rec,8.06,85
Yellow Cards,0.36,3
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.04,10
Fouls Drawn,1.27,26
Offsides,0.53,15
Crosses,1.04,18
,,
Interceptions,0.33,1
Tackles Won,0.74,31
Penalty Kicks Won,0.06,89
Penalty Kicks Conceded,0.00,56
Own Goals,0.03,1
Ball Recoveries,4.45,4
,,
Aerials won,1.30,84
Aerials lost,2.43,14
% of Aerials Won,34.9%,52
