--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.04,34
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.31,14
Red Cards,0.00,60
,,
xG,0.04,49
npxG,0.04,49
xA,0.07,40
npxG+xA,0.10,34
Goals,0.00,20
Shots Total,0.49,36
Shots on target,0.09,27
Shots on target %,18.2%,22
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,22.30,22
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.04,49
npxG,0.04,49
npxG/Sh,0.07,59
Goals - xG,-0.04,16
Non-Penalty Goals - npxG,-0.04,16
Passes Completed,57.49,89
Passes Attempted,69.09,90
Pass Completion %,83.2%,83
Total Passing Distance,1064.21,92
Progressive Passing Distance,343.28,82
,,
Passes Completed (Short),24.66,82
Passes Attempted (Short),26.91,80
Pass Completion % (Short),91.6%,85
,,
Passes Completed (Medium),25.10,92
Passes Attempted (Medium),28.68,92
Pass Completion % (Medium),87.5%,87
,,
Passes Completed (Long),7.06,90
Passes Attempted (Long),11.82,86
Pass Completion % (Long),59.7%,79
Assists,0.04,34
xA,0.07,40
Key Passes,0.93,59
Passes into Final Third,3.75,87
Passes into Penalty Area,1.32,74
Crosses into Penalty Area,0.62,76
Progressive Passes,5.12,87
Passes Attempted,69.09,90
,,
Live-ball passes,58.76,91
Dead-ball passes,10.32,61
Passes from Free Kicks,1.01,60
Through Balls,0.13,93
Passes Under Pressure,7.15,78
Switches,1.68,77
Crosses,2.96,80
Corner Kicks,0.18,71
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.13,79
Straight Corner Kicks,0.00,42
,,
Ground passes,44.91,88
Low Passes,12.62,81
High Passes,11.56,56
,,
Passes Attempted (Left),7.06,46
Passes Attempted (Right),49.99,93
Passes Attempted (Head),2.21,69
Throw-Ins taken,9.13,63
Passes Attempted (Other),0.00,3
,,
Passes Completed,57.49,89
Passes Offside,0.18,42
Passes Out of Bounds,0.93,41
Passes Intercepted,2.65,6
Passes Blocked,1.32,83
Shot-Creating Actions,2.07,67
,,
SCA (PassLive),1.68,75
SCA (PassDead),0.22,74
SCA (Drib),0.00,15
SCA (Sh),0.13,90
SCA (Fld),0.04,38
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.22,63
,,
GCA (PassLive),0.13,48
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.04,91
GCA (Fld),0.04,89
GCA (Def),0.00,46
Tackles,2.82,85
Tackles Won,1.81,90
Tackles (Def 3rd),1.54,80
Tackles (Mid 3rd),0.93,82
Tackles (Att 3rd),0.35,77
,,
Dribblers Tackled,1.63,96
Dribbles Contested,2.69,89
% of dribblers tackled,60.7%,90
Dribbled Past,1.06,33
,,
Pressures,14.78,70
Successful Pressures,4.63,72
Successful Pressure %,31.3%,54
Pressures (Def 3rd),5.82,57
Pressures (Mid 3rd),5.91,73
Pressures (Att 3rd),3.04,80
,,
Blocks,2.21,76
Shots Blocked,0.18,26
Shots Saved,0.09,99
Passes Blocked,2.03,85
,,
Interceptions,1.54,30
Tkl+Int,4.37,66
Clearances,1.76,39
Errors,0.00,70
Touches,79.28,91
Touches (Def Pen),2.96,34
Touches (Def 3rd),20.47,60
Touches (Mid 3rd),41.51,92
Touches (Att 3rd),22.68,80
Touches (Att Pen),1.15,39
Touches (Live-Ball),69.13,90
,,
Dribbles Completed,0.53,29
Dribbles Attempted,1.06,32
Successful Dribble %,50.0%,44
Players Dribbled Past,0.53,23
Nutmegs,0.09,58
,,
Carries,50.25,89
Total Carrying Distance,251.29,86
Progressive Carrying Distance,154.63,89
Progressive Carries,6.93,89
Carries into Final Third,2.12,82
Carries into Penalty Area,0.31,55
Miscontrols,0.75,65
Dispossessed,0.62,72
,,
Pass Targets,55.54,91
Passes Received,52.15,90
Passes Received %,93.9%,86
Progressive Passes Rec,3.00,79
Yellow Cards,0.31,14
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.01,62
Fouls Drawn,0.79,32
Offsides,0.18,15
Crosses,2.96,80
,,
Interceptions,1.54,30
Tackles Won,1.81,90
Penalty Kicks Won,0.04,95
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.37,34
,,
Aerials won,1.15,52
Aerials lost,1.46,21
% of Aerials Won,44.1%,29
