--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.06,38
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.20,44
Red Cards,0.00,60
,,
xG,0.00,1
npxG,0.00,1
xA,0.05,19
npxG+xA,0.05,6
Goals,0.00,20
Shots Total,0.14,2
Shots on target,0.00,2
Shots on target %,0.0%,2
Goals/Shot,0.00,20
Average Shot Distance,24.40,8
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,1
npxG,0.00,1
npxG/Sh,0.03,9
Goals - xG,0.00,56
Non-Penalty Goals - npxG,0.00,56
Passes Completed,60.64,92
Passes Attempted,68.25,90
Pass Completion %,88.9%,99
Total Passing Distance,1106.39,93
Progressive Passing Distance,316.83,70
,,
Passes Completed (Short),26.42,87
Passes Attempted (Short),28.18,85
Pass Completion % (Short),93.8%,99
,,
Passes Completed (Medium),26.87,95
Passes Attempted (Medium),29.50,93
Pass Completion % (Medium),91.1%,98
,,
Passes Completed (Long),6.63,87
Passes Attempted (Long),9.28,66
Pass Completion % (Long),71.4%,95
Assists,0.06,38
xA,0.05,19
Key Passes,0.53,12
Passes into Final Third,4.64,94
Passes into Penalty Area,0.31,2
Crosses into Penalty Area,0.20,12
Progressive Passes,2.68,18
Passes Attempted,68.25,90
,,
Live-ball passes,60.59,92
Dead-ball passes,7.66,11
Passes from Free Kicks,1.48,85
Through Balls,0.00,18
Passes Under Pressure,8.50,96
Switches,1.59,76
Crosses,0.87,4
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,51.42,94
Low Passes,8.70,15
High Passes,8.14,18
,,
Passes Attempted (Left),54.35,96
Passes Attempted (Right),5.12,24
Passes Attempted (Head),1.57,32
Throw-Ins taken,6.12,8
Passes Attempted (Other),0.06,19
,,
Passes Completed,60.64,92
Passes Offside,0.08,79
Passes Out of Bounds,0.81,59
Passes Intercepted,0.89,99
Passes Blocked,0.59,99
Shot-Creating Actions,1.12,10
,,
SCA (PassLive),0.87,11
SCA (PassDead),0.06,31
SCA (Drib),0.00,15
SCA (Sh),0.03,31
SCA (Fld),0.03,22
SCA (Def),0.14,96
,,
Goal-Creating Actions,0.11,29
,,
GCA (PassLive),0.06,17
GCA (PassDead),0.03,75
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.03,94
Tackles,2.49,71
Tackles Won,1.01,35
Tackles (Def 3rd),1.40,67
Tackles (Mid 3rd),0.75,64
Tackles (Att 3rd),0.34,74
,,
Dribblers Tackled,0.84,44
Dribbles Contested,1.59,35
% of dribblers tackled,52.6%,66
Dribbled Past,0.75,70
,,
Pressures,9.73,14
Successful Pressures,3.22,24
Successful Pressure %,33.0%,72
Pressures (Def 3rd),4.39,21
Pressures (Mid 3rd),3.97,23
Pressures (Att 3rd),1.37,12
,,
Blocks,2.01,61
Shots Blocked,0.39,73
Shots Saved,0.00,41
Passes Blocked,1.62,57
,,
Interceptions,1.99,64
Tkl+Int,4.47,69
Clearances,2.24,64
Errors,0.03,37
Touches,78.12,89
Touches (Def Pen),4.00,71
Touches (Def 3rd),25.64,96
Touches (Mid 3rd),45.74,97
Touches (Att 3rd),12.33,6
Touches (Att Pen),0.50,6
Touches (Live-Ball),70.71,91
,,
Dribbles Completed,0.50,24
Dribbles Attempted,0.70,9
Successful Dribble %,72.0%,94
Players Dribbled Past,0.53,23
Nutmegs,0.03,18
,,
Carries,51.56,89
Total Carrying Distance,258.34,88
Progressive Carrying Distance,147.51,85
Progressive Carries,5.59,73
Carries into Final Third,1.90,73
Carries into Penalty Area,0.11,18
Miscontrols,0.62,82
Dispossessed,0.42,90
,,
Pass Targets,54.63,88
Passes Received,53.23,91
Passes Received %,97.4%,99
Progressive Passes Rec,0.64,3
Yellow Cards,0.20,44
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.78,82
Fouls Drawn,0.81,34
Offsides,0.00,89
Crosses,0.87,4
,,
Interceptions,1.99,64
Tackles Won,1.01,35
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,31
Own Goals,0.03,13
Ball Recoveries,7.63,40
,,
Aerials won,1.45,69
Aerials lost,0.53,96
% of Aerials Won,73.2%,99
