--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.43,8
Red Cards,0.00,61
,,
xG,0.03,12
npxG,0.03,13
xA,0.03,15
npxG+xA,0.06,10
Goals,0.00,11
Shots Total,1.15,62
Shots on target,0.29,57
Shots on target %,25.0%,43
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,25.00,9
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,12
npxG,0.03,13
npxG/Sh,0.03,4
Goals - xG,-0.03,29
Non-Penalty Goals - npxG,-0.03,29
Passes Completed,37.81,40
Passes Attempted,46.29,38
Pass Completion %,81.7%,41
Total Passing Distance,662.20,30
Progressive Passing Distance,179.71,37
,,
Passes Completed (Short),18.83,62
Passes Attempted (Short),22.14,69
Pass Completion % (Short),85.1%,19
,,
Passes Completed (Medium),13.08,23
Passes Attempted (Medium),14.81,19
Pass Completion % (Medium),88.3%,54
,,
Passes Completed (Long),5.18,40
Passes Attempted (Long),6.61,35
Pass Completion % (Long),78.3%,82
Assists,0.00,11
xA,0.03,15
Key Passes,0.72,37
Passes into Final Third,2.59,21
Passes into Penalty Area,0.58,38
Crosses into Penalty Area,0.00,8
Progressive Passes,3.02,24
Passes Attempted,46.29,38
,,
Live-ball passes,46.01,45
Dead-ball passes,0.29,1
Passes from Free Kicks,0.29,4
Through Balls,0.14,74
Passes Under Pressure,7.62,40
Switches,0.86,23
Crosses,0.43,45
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,36.37,49
Low Passes,4.89,39
High Passes,5.03,12
,,
Passes Attempted (Left),5.46,36
Passes Attempted (Right),38.39,55
Passes Attempted (Head),1.73,43
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.00,1
,,
Passes Completed,37.81,40
Passes Offside,0.00,98
Passes Out of Bounds,0.72,47
Passes Intercepted,2.01,13
Passes Blocked,1.73,5
Shot-Creating Actions,1.15,12
,,
SCA (PassLive),1.01,18
SCA (PassDead),0.14,70
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,4.17,99
Tackles Won,2.16,90
Tackles (Def 3rd),2.01,99
Tackles (Mid 3rd),1.87,98
Tackles (Att 3rd),0.29,59
,,
Dribblers Tackled,1.15,91
Dribbles Contested,3.88,99
% of dribblers tackled,29.6%,18
Dribbled Past,2.73,1
,,
Pressures,32.92,99
Successful Pressures,7.04,86
Successful Pressure %,21.4%,1
Pressures (Def 3rd),9.63,96
Pressures (Mid 3rd),17.40,99
Pressures (Att 3rd),5.89,97
,,
Blocks,2.16,90
Shots Blocked,0.72,97
Shots Saved,0.00,45
Passes Blocked,1.44,70
,,
Interceptions,0.86,4
Tkl+Int,5.03,83
Clearances,1.15,43
Errors,0.00,67
Touches,61.68,52
Touches (Def Pen),3.16,73
Touches (Def 3rd),18.26,80
Touches (Mid 3rd),35.22,45
Touches (Att 3rd),11.36,34
Touches (Att Pen),1.01,42
Touches (Live-Ball),61.39,59
,,
Dribbles Completed,1.44,93
Dribbles Attempted,2.73,96
Successful Dribble %,52.6%,21
Players Dribbled Past,1.87,96
Nutmegs,0.00,17
,,
Carries,38.96,49
Total Carrying Distance,138.88,18
Progressive Carrying Distance,75.34,31
Progressive Carries,3.31,40
Carries into Final Third,1.15,53
Carries into Penalty Area,0.29,78
Miscontrols,1.44,15
Dispossessed,1.87,6
,,
Pass Targets,45.58,55
Passes Received,41.41,55
Passes Received %,90.9%,43
Progressive Passes Rec,1.87,56
Yellow Cards,0.43,8
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,3.88,1
Fouls Drawn,0.58,6
Offsides,0.00,77
Crosses,0.43,45
,,
Interceptions,0.86,4
Tackles Won,2.16,90
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.63,46
,,
Aerials won,1.29,55
Aerials lost,1.01,63
% of Aerials Won,56.3%,74
