--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.10,13
Assists,0.10,20
Non-Penalty Goals,0.10,15
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.29,13
Red Cards,0.10,1
,,
xG,0.06,1
npxG,0.06,1
xA,0.07,4
npxG+xA,0.12,1
Goals,0.10,13
Shots Total,1.06,4
Shots on target,0.19,1
Shots on target %,18.2%,1
Goals/Shot,0.09,39
Goals/Shot on target,0.50,91
Average Shot Distance,16.10,69
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.06,1
npxG,0.06,1
npxG/Sh,0.05,1
Goals - xG,+0.04,63
Non-Penalty Goals - npxG,+0.04,65
Passes Completed,22.45,25
Passes Attempted,32.03,29
Pass Completion %,70.1%,21
Total Passing Distance,341.90,21
Progressive Passing Distance,135.10,59
,,
Passes Completed (Short),12.58,31
Passes Attempted (Short),15.68,34
Pass Completion % (Short),80.2%,14
,,
Passes Completed (Medium),8.13,31
Passes Attempted (Medium),11.23,40
Pass Completion % (Medium),72.4%,19
,,
Passes Completed (Long),1.35,13
Passes Attempted (Long),3.58,29
Pass Completion % (Long),37.8%,6
Assists,0.10,20
xA,0.07,4
Key Passes,0.58,1
Passes into Final Third,1.45,35
Passes into Penalty Area,0.87,16
Crosses into Penalty Area,0.48,78
Progressive Passes,2.42,30
Passes Attempted,32.03,29
,,
Live-ball passes,29.52,27
Dead-ball passes,2.52,54
Passes from Free Kicks,0.58,56
Through Balls,0.10,49
Passes Under Pressure,6.39,32
Switches,0.29,5
Crosses,1.94,47
Corner Kicks,0.10,28
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.10,47
Straight Corner Kicks,0.00,25
,,
Ground passes,19.74,20
Low Passes,6.58,89
High Passes,5.71,48
,,
Passes Attempted (Left),3.68,22
Passes Attempted (Right),22.74,45
Passes Attempted (Head),1.35,77
Throw-Ins taken,1.74,98
Passes Attempted (Other),0.10,14
,,
Passes Completed,22.45,25
Passes Offside,0.10,79
Passes Out of Bounds,1.16,7
Passes Intercepted,2.03,23
Passes Blocked,1.06,87
Shot-Creating Actions,1.45,1
,,
SCA (PassLive),0.97,1
SCA (PassDead),0.00,13
SCA (Drib),0.00,1
SCA (Sh),0.19,59
SCA (Fld),0.19,58
SCA (Def),0.10,71
,,
Goal-Creating Actions,0.19,13
,,
GCA (PassLive),0.19,34
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,3.10,99
Tackles Won,1.94,99
Tackles (Def 3rd),1.65,99
Tackles (Mid 3rd),0.97,92
Tackles (Att 3rd),0.48,86
,,
Dribblers Tackled,0.68,86
Dribbles Contested,1.84,74
% of dribblers tackled,36.8%,77
Dribbled Past,1.16,29
,,
Pressures,25.84,99
Successful Pressures,6.77,98
Successful Pressure %,26.2%,31
Pressures (Def 3rd),9.77,99
Pressures (Mid 3rd),10.65,90
Pressures (Att 3rd),5.42,47
,,
Blocks,1.55,78
Shots Blocked,0.10,58
Shots Saved,0.00,49
Passes Blocked,1.45,80
,,
Interceptions,2.32,99
Tkl+Int,5.42,99
Clearances,0.87,89
Errors,0.00,57
Touches,48.77,40
Touches (Def Pen),2.23,99
Touches (Def 3rd),12.39,99
Touches (Mid 3rd),21.87,44
Touches (Att 3rd),18.00,9
Touches (Att Pen),2.32,6
Touches (Live-Ball),46.55,40
,,
Dribbles Completed,1.06,25
Dribbles Attempted,2.42,34
Successful Dribble %,44.0%,13
Players Dribbled Past,1.26,28
Nutmegs,0.19,61
,,
Carries,29.61,19
Total Carrying Distance,161.52,14
Progressive Carrying Distance,99.48,29
Progressive Carries,4.74,17
Carries into Final Third,1.16,10
Carries into Penalty Area,0.77,38
Miscontrols,2.90,10
Dispossessed,1.94,48
,,
Pass Targets,41.42,22
Passes Received,29.81,22
Passes Received %,72.0%,20
Progressive Passes Rec,4.35,16
Yellow Cards,0.29,13
Red Cards,0.10,1
Second Yellow Card,0.10,1
Fouls Committed,2.03,10
Fouls Drawn,2.90,91
Offsides,0.39,32
Crosses,1.94,47
,,
Interceptions,2.32,99
Tackles Won,1.94,99
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.45,87
,,
Aerials won,3.10,99
Aerials lost,3.19,1
% of Aerials Won,49.2%,93
