--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.24,94
Assists,0.05,38
Non-Penalty Goals,0.24,96
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.33,20
Red Cards,0.00,61
,,
xG,0.20,94
npxG,0.20,96
xA,0.04,24
npxG+xA,0.24,83
Goals,0.24,94
Shots Total,1.53,86
Shots on target,0.62,95
Shots on target %,40.6%,91
Goals/Shot,0.16,91
Goals/Shot on target,0.38,74
Average Shot Distance,16.20,85
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.20,94
npxG,0.20,96
npxG/Sh,0.14,96
Goals - xG,+0.04,81
Non-Penalty Goals - npxG,+0.04,81
Passes Completed,25.97,7
Passes Attempted,31.94,4
Pass Completion %,81.3%,40
Total Passing Distance,522.00,14
Progressive Passing Distance,121.18,11
,,
Passes Completed (Short),9.93,4
Passes Attempted (Short),11.60,2
Pass Completion % (Short),85.6%,23
,,
Passes Completed (Medium),11.03,11
Passes Attempted (Medium),12.84,9
Pass Completion % (Medium),85.9%,37
,,
Passes Completed (Long),4.44,31
Passes Attempted (Long),6.49,33
Pass Completion % (Long),68.4%,47
Assists,0.05,38
xA,0.04,24
Key Passes,0.33,8
Passes into Final Third,1.62,3
Passes into Penalty Area,0.05,1
Crosses into Penalty Area,0.00,8
Progressive Passes,1.19,1
Passes Attempted,31.94,4
,,
Live-ball passes,31.37,4
Dead-ball passes,0.57,7
Passes from Free Kicks,0.53,17
Through Balls,0.10,59
Passes Under Pressure,4.34,1
Switches,0.72,16
Crosses,0.10,8
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,22.01,7
Low Passes,4.25,19
High Passes,5.68,20
,,
Passes Attempted (Left),4.58,27
Passes Attempted (Right),24.06,21
Passes Attempted (Head),2.01,53
Throw-Ins taken,0.05,16
Passes Attempted (Other),0.00,1
,,
Passes Completed,25.97,7
Passes Offside,0.19,40
Passes Out of Bounds,1.00,18
Passes Intercepted,0.86,94
Passes Blocked,0.53,95
Shot-Creating Actions,1.15,12
,,
SCA (PassLive),0.72,6
SCA (PassDead),0.00,23
SCA (Drib),0.10,73
SCA (Sh),0.14,77
SCA (Fld),0.10,64
SCA (Def),0.10,75
,,
Goal-Creating Actions,0.14,36
,,
GCA (PassLive),0.05,16
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.05,92
GCA (Def),0.05,97
Tackles,2.39,59
Tackles Won,1.10,23
Tackles (Def 3rd),1.43,88
Tackles (Mid 3rd),0.86,30
Tackles (Att 3rd),0.10,7
,,
Dribblers Tackled,0.72,47
Dribbles Contested,1.77,38
% of dribblers tackled,40.5%,67
Dribbled Past,1.05,65
,,
Pressures,19.05,58
Successful Pressures,5.82,57
Successful Pressure %,30.6%,52
Pressures (Def 3rd),7.50,80
Pressures (Mid 3rd),9.36,48
Pressures (Att 3rd),2.20,26
,,
Blocks,2.34,95
Shots Blocked,0.57,91
Shots Saved,0.00,45
Passes Blocked,1.77,90
,,
Interceptions,2.29,85
Tkl+Int,4.68,74
Clearances,4.06,99
Errors,0.05,14
Touches,47.27,10
Touches (Def Pen),5.92,99
Touches (Def 3rd),20.44,90
Touches (Mid 3rd),22.63,4
Touches (Att 3rd),6.02,4
Touches (Att Pen),1.81,76
Touches (Live-Ball),46.70,14
,,
Dribbles Completed,0.24,5
Dribbles Attempted,0.48,7
Successful Dribble %,50.0%,15
Players Dribbled Past,0.29,6
Nutmegs,0.00,17
,,
Carries,25.07,6
Total Carrying Distance,125.14,11
Progressive Carrying Distance,65.55,19
Progressive Carries,1.62,5
Carries into Final Third,0.48,7
Carries into Penalty Area,0.10,41
Miscontrols,1.10,35
Dispossessed,1.10,43
,,
Pass Targets,29.51,7
Passes Received,26.12,9
Passes Received %,88.5%,27
Progressive Passes Rec,1.15,25
Yellow Cards,0.33,20
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.15,20
Fouls Drawn,1.19,39
Offsides,0.10,16
Crosses,0.10,8
,,
Interceptions,2.29,85
Tackles Won,1.10,23
Penalty Kicks Won,0.05,96
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,7.93,16
,,
Aerials won,2.58,89
Aerials lost,1.67,21
% of Aerials Won,60.7%,83
