--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.35,99
Assists,0.17,82
Non-Penalty Goals,0.35,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.00,99
Red Cards,0.00,60
,,
xG,0.23,99
npxG,0.23,99
xA,0.13,76
npxG+xA,0.36,98
Goals,0.35,99
Shots Total,1.73,98
Shots on target,0.52,98
Shots on target %,30.0%,60
Goals/Shot,0.20,94
Goals/Shot on target,0.67,95
Average Shot Distance,18.10,64
Shots from free kicks,0.17,93
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.23,99
npxG,0.23,99
npxG/Sh,0.14,97
Goals - xG,+0.11,98
Non-Penalty Goals - npxG,+0.11,98
Passes Completed,33.06,19
Passes Attempted,45.61,23
Pass Completion %,72.5%,22
Total Passing Distance,531.35,8
Progressive Passing Distance,200.94,8
,,
Passes Completed (Short),15.84,31
Passes Attempted (Short),19.64,41
Pass Completion % (Short),80.6%,3
,,
Passes Completed (Medium),14.54,30
Passes Attempted (Medium),19.04,35
Pass Completion % (Medium),76.4%,19
,,
Passes Completed (Long),1.64,1
Passes Attempted (Long),4.67,5
Pass Completion % (Long),35.2%,4
Assists,0.17,82
xA,0.13,76
Key Passes,0.78,42
Passes into Final Third,1.99,26
Passes into Penalty Area,0.43,4
Crosses into Penalty Area,0.00,1
Progressive Passes,3.20,35
Passes Attempted,45.61,23
,,
Live-ball passes,36.43,27
Dead-ball passes,9.17,40
Passes from Free Kicks,0.52,21
Through Balls,0.09,80
Passes Under Pressure,3.55,1
Switches,0.69,22
Crosses,1.64,25
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,25.44,33
Low Passes,11.25,58
High Passes,8.91,26
,,
Passes Attempted (Left),5.19,33
Passes Attempted (Right),28.73,54
Passes Attempted (Head),1.99,58
Throw-Ins taken,8.57,52
Passes Attempted (Other),0.35,96
,,
Passes Completed,33.06,19
Passes Offside,0.17,44
Passes Out of Bounds,0.69,70
Passes Intercepted,2.08,29
Passes Blocked,1.73,53
Shot-Creating Actions,1.90,60
,,
SCA (PassLive),1.30,47
SCA (PassDead),0.09,46
SCA (Drib),0.17,91
SCA (Sh),0.09,78
SCA (Fld),0.17,93
SCA (Def),0.09,85
,,
Goal-Creating Actions,0.43,95
,,
GCA (PassLive),0.17,64
GCA (PassDead),0.09,95
GCA (Drib),0.09,98
GCA (Sh),0.00,40
GCA (Fld),0.09,99
GCA (Def),0.00,46
Tackles,1.99,41
Tackles Won,1.04,38
Tackles (Def 3rd),0.87,25
Tackles (Mid 3rd),0.87,77
Tackles (Att 3rd),0.26,55
,,
Dribblers Tackled,0.69,30
Dribbles Contested,3.12,94
% of dribblers tackled,22.2%,1
Dribbled Past,2.42,1
,,
Pressures,22.41,99
Successful Pressures,6.14,97
Successful Pressure %,27.4%,20
Pressures (Def 3rd),9.61,95
Pressures (Mid 3rd),9.43,99
Pressures (Att 3rd),3.38,85
,,
Blocks,2.60,93
Shots Blocked,0.69,99
Shots Saved,0.00,41
Passes Blocked,1.90,79
,,
Interceptions,2.51,90
Tkl+Int,4.50,70
Clearances,2.42,71
Errors,0.00,70
Touches,60.32,38
Touches (Def Pen),2.94,34
Touches (Def 3rd),14.63,11
Touches (Mid 3rd),30.12,57
Touches (Att 3rd),18.87,55
Touches (Att Pen),1.99,74
Touches (Live-Ball),51.23,40
,,
Dribbles Completed,0.95,68
Dribbles Attempted,1.90,70
Successful Dribble %,50.0%,44
Players Dribbled Past,1.21,78
Nutmegs,0.26,95
,,
Carries,33.14,32
Total Carrying Distance,152.39,20
Progressive Carrying Distance,90.35,30
Progressive Carries,4.41,47
Carries into Final Third,1.64,59
Carries into Penalty Area,0.26,48
Miscontrols,1.21,23
Dispossessed,1.21,20
,,
Pass Targets,37.47,40
Passes Received,32.54,35
Passes Received %,86.8%,13
Progressive Passes Rec,3.89,94
Yellow Cards,0.00,99
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,2.16,1
Fouls Drawn,1.38,73
Offsides,0.09,42
Crosses,1.64,25
,,
Interceptions,2.51,90
Tackles Won,1.04,38
Penalty Kicks Won,0.09,99
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.96,47
,,
Aerials won,1.21,57
Aerials lost,2.60,1
% of Aerials Won,31.8%,5
