--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.07,75
Assists,0.00,31
Non-Penalty Goals,0.07,75
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.15,70
Red Cards,0.00,64
,,
xG,0.03,28
npxG,0.03,28
xA,0.00,5
npxG+xA,0.03,16
Goals,0.07,75
Shots Total,0.37,33
Shots on target,0.07,28
Shots on target %,20.0%,29
Goals/Shot,0.20,88
Goals/Shot on target,1.00,91
Average Shot Distance,15.70,18
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,28
npxG,0.03,28
npxG/Sh,0.07,31
Goals - xG,+0.04,89
Non-Penalty Goals - npxG,+0.04,89
Passes Completed,42.47,48
Passes Attempted,50.10,47
Pass Completion %,84.8%,47
Total Passing Distance,1017.07,60
Progressive Passing Distance,298.39,44
,,
Passes Completed (Short),9.83,31
Passes Attempted (Short),10.42,27
Pass Completion % (Short),94.4%,90
,,
Passes Completed (Medium),21.78,46
Passes Attempted (Medium),23.77,45
Pass Completion % (Medium),91.7%,47
,,
Passes Completed (Long),10.42,80
Passes Attempted (Long),14.89,85
Pass Completion % (Long),70.0%,54
Assists,0.00,31
xA,0.00,5
Key Passes,0.00,2
Passes into Final Third,1.91,23
Passes into Penalty Area,0.07,27
Crosses into Penalty Area,0.00,29
Progressive Passes,1.39,8
Passes Attempted,50.10,47
,,
Live-ball passes,48.04,48
Dead-ball passes,2.05,44
Passes from Free Kicks,1.69,58
Through Balls,0.07,86
Passes Under Pressure,4.47,21
Switches,2.42,86
Crosses,0.15,61
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,38.36,53
Low Passes,2.86,7
High Passes,8.88,45
,,
Passes Attempted (Left),7.11,43
Passes Attempted (Right),40.42,68
Passes Attempted (Head),1.10,1
Throw-Ins taken,0.37,62
Passes Attempted (Other),0.22,71
,,
Passes Completed,42.47,48
Passes Offside,0.15,35
Passes Out of Bounds,0.73,60
Passes Intercepted,0.95,47
Passes Blocked,0.59,41
Shot-Creating Actions,0.37,22
,,
SCA (PassLive),0.29,24
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.07,75
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.25,28
Tackles Won,0.95,51
Tackles (Def 3rd),0.95,44
Tackles (Mid 3rd),0.29,16
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.59,49
Dribbles Contested,1.39,70
% of dribblers tackled,42.1%,11
Dribbled Past,0.81,17
,,
Pressures,5.13,5
Successful Pressures,1.98,10
Successful Pressure %,38.6%,76
Pressures (Def 3rd),3.74,21
Pressures (Mid 3rd),1.10,1
Pressures (Att 3rd),0.29,24
,,
Blocks,1.39,22
Shots Blocked,0.66,34
Shots Saved,0.00,32
Passes Blocked,0.73,26
,,
Interceptions,2.13,54
Tkl+Int,3.37,38
Clearances,5.43,83
Errors,0.00,83
Touches,60.07,46
Touches (Def Pen),10.12,71
Touches (Def 3rd),37.19,73
Touches (Mid 3rd),25.01,34
Touches (Att 3rd),1.39,11
Touches (Att Pen),0.44,13
Touches (Live-Ball),58.24,47
,,
Dribbles Completed,0.15,38
Dribbles Attempted,0.29,53
Successful Dribble %,50.0%,19
Players Dribbled Past,0.15,36
Nutmegs,0.00,37
,,
Carries,39.46,57
Total Carrying Distance,197.97,48
Progressive Carrying Distance,84.06,31
Progressive Carries,1.39,22
Carries into Final Third,0.07,11
Carries into Penalty Area,0.07,89
Miscontrols,0.15,78
Dispossessed,0.29,30
,,
Pass Targets,38.88,49
Passes Received,38.58,50
Passes Received %,99.2%,97
Progressive Passes Rec,0.00,3
Yellow Cards,0.15,70
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.44,95
Fouls Drawn,0.51,42
Offsides,0.00,79
Crosses,0.15,61
,,
Interceptions,2.13,54
Tackles Won,0.95,51
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.07,7
Own Goals,0.00,60
Ball Recoveries,8.36,28
,,
Aerials won,1.91,19
Aerials lost,1.91,22
% of Aerials Won,50.0%,8
