--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.22,93
Assists,0.00,11
Non-Penalty Goals,0.22,95
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.11,88
Red Cards,0.00,61
,,
xG,0.12,77
npxG,0.12,82
xA,0.06,35
npxG+xA,0.18,63
Goals,0.22,93
Shots Total,1.24,70
Shots on target,0.79,98
Shots on target %,63.6%,99
Goals/Shot,0.18,95
Goals/Shot on target,0.29,60
Average Shot Distance,26.20,6
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.12,77
npxG,0.12,82
npxG/Sh,0.10,84
Goals - xG,+0.10,97
Non-Penalty Goals - npxG,+0.10,97
Passes Completed,40.00,47
Passes Attempted,48.76,48
Pass Completion %,82.0%,43
Total Passing Distance,820.67,58
Progressive Passing Distance,196.85,47
,,
Passes Completed (Short),15.28,36
Passes Attempted (Short),17.42,36
Pass Completion % (Short),87.7%,43
,,
Passes Completed (Medium),16.85,48
Passes Attempted (Medium),18.54,42
Pass Completion % (Medium),90.9%,80
,,
Passes Completed (Long),7.30,76
Passes Attempted (Long),10.90,76
Pass Completion % (Long),67.0%,43
Assists,0.00,11
xA,0.06,35
Key Passes,1.01,64
Passes into Final Third,4.27,59
Passes into Penalty Area,0.79,61
Crosses into Penalty Area,0.00,8
Progressive Passes,4.38,66
Passes Attempted,48.76,48
,,
Live-ball passes,45.39,43
Dead-ball passes,3.37,79
Passes from Free Kicks,2.36,86
Through Balls,0.22,86
Passes Under Pressure,5.73,7
Switches,2.58,78
Crosses,0.79,65
Corner Kicks,1.01,79
,,
Inswinging Corner Kicks,0.56,82
Outswinging Corner Kicks,0.45,82
Straight Corner Kicks,0.00,38
,,
Ground passes,34.83,45
Low Passes,5.73,66
High Passes,8.20,59
,,
Passes Attempted (Left),3.60,14
Passes Attempted (Right),44.04,68
Passes Attempted (Head),0.90,7
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.11,13
,,
Passes Completed,40.00,47
Passes Offside,0.22,28
Passes Out of Bounds,0.79,37
Passes Intercepted,2.13,10
Passes Blocked,1.12,34
Shot-Creating Actions,2.47,73
,,
SCA (PassLive),1.12,28
SCA (PassDead),0.79,90
SCA (Drib),0.22,95
SCA (Sh),0.11,68
SCA (Fld),0.22,94
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.34,80
,,
GCA (PassLive),0.11,41
GCA (PassDead),0.00,39
GCA (Drib),0.11,99
GCA (Sh),0.00,35
GCA (Fld),0.11,99
GCA (Def),0.00,43
Tackles,1.69,22
Tackles Won,1.24,36
Tackles (Def 3rd),1.01,59
Tackles (Mid 3rd),0.67,13
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.22,1
Dribbles Contested,1.57,25
% of dribblers tackled,14.3%,1
Dribbled Past,1.35,40
,,
Pressures,14.72,12
Successful Pressures,5.06,34
Successful Pressure %,34.4%,87
Pressures (Def 3rd),5.28,36
Pressures (Mid 3rd),8.54,32
Pressures (Att 3rd),0.90,1
,,
Blocks,2.58,98
Shots Blocked,0.90,99
Shots Saved,0.00,45
Passes Blocked,1.69,86
,,
Interceptions,1.24,20
Tkl+Int,2.92,16
Clearances,0.79,20
Errors,0.00,67
Touches,61.35,52
Touches (Def Pen),2.70,59
Touches (Def 3rd),16.18,65
Touches (Mid 3rd),37.53,56
Touches (Att 3rd),11.69,37
Touches (Att Pen),0.79,30
Touches (Live-Ball),58.65,49
,,
Dribbles Completed,1.12,77
Dribbles Attempted,2.13,88
Successful Dribble %,52.6%,21
Players Dribbled Past,1.24,81
Nutmegs,0.34,99
,,
Carries,42.47,62
Total Carrying Distance,194.49,55
Progressive Carrying Distance,92.25,49
Progressive Carries,3.37,42
Carries into Final Third,1.12,51
Carries into Penalty Area,0.11,46
Miscontrols,0.67,69
Dispossessed,1.69,11
,,
Pass Targets,45.62,55
Passes Received,41.69,55
Passes Received %,91.4%,47
Progressive Passes Rec,0.67,10
Yellow Cards,0.11,88
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.80,37
Fouls Drawn,2.47,94
Offsides,0.00,77
Crosses,0.79,65
,,
Interceptions,1.24,20
Tackles Won,1.24,36
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.21,41
,,
Aerials won,0.45,7
Aerials lost,0.90,72
% of Aerials Won,33.3%,8
