--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,47
Assists,0.00,11
Non-Penalty Goals,0.06,49
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.24,44
Red Cards,0.00,61
,,
xG,0.04,17
npxG,0.04,18
xA,0.03,16
npxG+xA,0.07,13
Goals,0.06,47
Shots Total,0.89,41
Shots on target,0.42,78
Shots on target %,46.7%,97
Goals/Shot,0.07,54
Goals/Shot on target,0.14,33
Average Shot Distance,22.50,29
Shots from free kicks,0.06,78
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,17
npxG,0.04,18
npxG/Sh,0.04,12
Goals - xG,+0.02,71
Non-Penalty Goals - npxG,+0.02,72
Passes Completed,45.56,64
Passes Attempted,54.65,64
Pass Completion %,83.4%,54
Total Passing Distance,846.30,62
Progressive Passing Distance,223.72,62
,,
Passes Completed (Short),19.66,69
Passes Attempted (Short),22.22,69
Pass Completion % (Short),88.5%,52
,,
Passes Completed (Medium),19.13,65
Passes Attempted (Medium),21.98,65
Pass Completion % (Medium),87.0%,44
,,
Passes Completed (Long),5.94,56
Passes Attempted (Long),8.44,57
Pass Completion % (Long),70.4%,53
Assists,0.00,11
xA,0.03,16
Key Passes,0.24,4
Passes into Final Third,3.45,41
Passes into Penalty Area,0.36,15
Crosses into Penalty Area,0.00,8
Progressive Passes,3.68,44
Passes Attempted,54.65,64
,,
Live-ball passes,52.99,68
Dead-ball passes,1.66,47
Passes from Free Kicks,1.60,66
Through Balls,0.00,11
Passes Under Pressure,8.32,58
Switches,1.37,48
Crosses,0.42,42
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,42.89,72
Low Passes,5.82,70
High Passes,5.94,25
,,
Passes Attempted (Left),43.84,95
Passes Attempted (Right),7.72,11
Passes Attempted (Head),1.66,39
Throw-Ins taken,0.06,19
Passes Attempted (Other),0.30,71
,,
Passes Completed,45.56,64
Passes Offside,0.06,86
Passes Out of Bounds,1.37,2
Passes Intercepted,1.49,46
Passes Blocked,1.25,21
Shot-Creating Actions,1.07,10
,,
SCA (PassLive),0.83,11
SCA (PassDead),0.06,60
SCA (Drib),0.06,57
SCA (Sh),0.00,9
SCA (Fld),0.06,45
SCA (Def),0.06,44
,,
Goal-Creating Actions,0.06,13
,,
GCA (PassLive),0.06,21
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.85,79
Tackles Won,2.08,87
Tackles (Def 3rd),1.13,69
Tackles (Mid 3rd),1.19,68
Tackles (Att 3rd),0.53,95
,,
Dribblers Tackled,0.83,66
Dribbles Contested,1.43,16
% of dribblers tackled,58.3%,99
Dribbled Past,0.59,98
,,
Pressures,16.81,31
Successful Pressures,5.11,35
Successful Pressure %,30.4%,49
Pressures (Def 3rd),5.05,29
Pressures (Mid 3rd),9.74,57
Pressures (Att 3rd),2.02,22
,,
Blocks,1.72,64
Shots Blocked,0.59,93
Shots Saved,0.00,45
Passes Blocked,1.13,38
,,
Interceptions,1.72,53
Tkl+Int,4.57,70
Clearances,0.77,20
Errors,0.00,67
Touches,65.17,62
Touches (Def Pen),2.26,43
Touches (Def 3rd),19.01,85
Touches (Mid 3rd),39.56,67
Touches (Att 3rd),9.21,16
Touches (Att Pen),0.95,39
Touches (Live-Ball),63.62,65
,,
Dribbles Completed,1.07,72
Dribbles Attempted,1.60,69
Successful Dribble %,66.7%,71
Players Dribbled Past,1.13,72
Nutmegs,0.06,59
,,
Carries,43.43,64
Total Carrying Distance,163.19,32
Progressive Carrying Distance,75.68,32
Progressive Carries,2.91,31
Carries into Final Third,0.53,10
Carries into Penalty Area,0.00,7
Miscontrols,1.54,12
Dispossessed,1.13,41
,,
Pass Targets,47.05,60
Passes Received,45.45,68
Passes Received %,96.6%,97
Progressive Passes Rec,1.96,59
Yellow Cards,0.24,44
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.84,35
Fouls Drawn,0.95,21
Offsides,0.00,77
Crosses,0.42,42
,,
Interceptions,1.72,53
Tackles Won,2.08,87
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.80,52
,,
Aerials won,1.25,54
Aerials lost,0.71,88
% of Aerials Won,63.6%,90
