--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,46
Assists,0.00,31
Non-Penalty Goals,0.04,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.29,23
Red Cards,0.04,15
,,
xG,0.02,15
npxG,0.02,15
xA,0.00,16
npxG+xA,0.02,10
Goals,0.04,46
Shots Total,0.29,23
Shots on target,0.07,28
Shots on target %,25.0%,47
Goals/Shot,0.13,71
Goals/Shot on target,0.50,70
Average Shot Distance,12.20,40
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.02,15
npxG,0.02,15
npxG/Sh,0.06,20
Goals - xG,+0.02,75
Non-Penalty Goals - npxG,+0.02,75
Passes Completed,33.73,20
Passes Attempted,40.83,19
Pass Completion %,82.6%,30
Total Passing Distance,727.50,19
Progressive Passing Distance,228.37,16
,,
Passes Completed (Short),9.89,31
Passes Attempted (Short),11.25,31
Pass Completion % (Short),87.9%,26
,,
Passes Completed (Medium),16.96,17
Passes Attempted (Medium),19.20,20
Pass Completion % (Medium),88.3%,21
,,
Passes Completed (Long),6.69,29
Passes Attempted (Long),9.64,24
Pass Completion % (Long),69.5%,51
Assists,0.00,31
xA,0.00,16
Key Passes,0.11,31
Passes into Final Third,2.10,29
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.95,27
Passes Attempted,40.83,19
,,
Live-ball passes,39.50,22
Dead-ball passes,1.32,15
Passes from Free Kicks,1.03,13
Through Balls,0.00,27
Passes Under Pressure,4.67,27
Switches,0.92,23
Crosses,0.18,68
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,30.38,27
Low Passes,3.42,18
High Passes,7.02,20
,,
Passes Attempted (Left),32.66,79
Passes Attempted (Right),4.41,3
Passes Attempted (Head),2.17,29
Throw-Ins taken,0.29,56
Passes Attempted (Other),0.15,47
,,
Passes Completed,33.73,20
Passes Offside,0.11,50
Passes Out of Bounds,1.03,28
Passes Intercepted,0.85,56
Passes Blocked,0.59,41
Shot-Creating Actions,0.37,22
,,
SCA (PassLive),0.29,24
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.04,50
SCA (Fld),0.00,36
SCA (Def),0.04,73
,,
Goal-Creating Actions,0.04,40
,,
GCA (PassLive),0.04,51
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.35,86
Tackles Won,1.43,89
Tackles (Def 3rd),1.69,94
Tackles (Mid 3rd),0.59,65
Tackles (Att 3rd),0.07,55
,,
Dribblers Tackled,1.03,87
Dribbles Contested,2.21,98
% of dribblers tackled,46.7%,21
Dribbled Past,1.18,3
,,
Pressures,9.19,52
Successful Pressures,3.27,51
Successful Pressure %,35.6%,44
Pressures (Def 3rd),5.70,66
Pressures (Mid 3rd),2.94,32
Pressures (Att 3rd),0.55,62
,,
Blocks,1.88,67
Shots Blocked,0.74,45
Shots Saved,0.00,32
Passes Blocked,1.14,76
,,
Interceptions,2.68,86
Tkl+Int,5.04,90
Clearances,4.63,63
Errors,0.04,43
Touches,51.71,21
Touches (Def Pen),6.55,13
Touches (Def 3rd),25.60,11
Touches (Mid 3rd),26.67,41
Touches (Att 3rd),2.28,41
Touches (Att Pen),0.55,24
Touches (Live-Ball),50.39,22
,,
Dribbles Completed,0.29,72
Dribbles Attempted,0.40,67
Successful Dribble %,72.7%,59
Players Dribbled Past,0.33,75
Nutmegs,0.04,85
,,
Carries,28.84,23
Total Carrying Distance,141.86,18
Progressive Carrying Distance,71.10,20
Progressive Carries,1.51,27
Carries into Final Third,0.29,41
Carries into Penalty Area,0.04,75
Miscontrols,0.22,54
Dispossessed,0.11,79
,,
Pass Targets,29.24,20
Passes Received,28.43,20
Passes Received %,97.2%,28
Progressive Passes Rec,0.07,20
Yellow Cards,0.29,23
Red Cards,0.04,15
Second Yellow Card,0.04,7
Fouls Committed,0.74,77
Fouls Drawn,0.33,19
Offsides,0.04,41
Crosses,0.18,68
,,
Interceptions,2.68,86
Tackles Won,1.43,89
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.04,33
Own Goals,0.00,60
Ball Recoveries,9.16,50
,,
Aerials won,1.91,19
Aerials lost,1.03,87
% of Aerials Won,65.0%,57
