--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.05,40
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.46,6
Red Cards,0.00,61
,,
xG,0.09,67
npxG,0.09,71
xA,0.03,18
npxG+xA,0.12,39
Goals,0.00,11
Shots Total,1.72,91
Shots on target,0.25,46
Shots on target %,14.7%,12
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,22.20,32
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.09,67
npxG,0.09,71
npxG/Sh,0.05,25
Goals - xG,-0.09,2
Non-Penalty Goals - npxG,-0.09,2
Passes Completed,51.45,78
Passes Attempted,58.13,71
Pass Completion %,88.5%,87
Total Passing Distance,979.22,77
Progressive Passing Distance,190.57,44
,,
Passes Completed (Short),22.72,83
Passes Attempted (Short),24.44,80
Pass Completion % (Short),93.0%,90
,,
Passes Completed (Medium),21.30,75
Passes Attempted (Medium),23.22,72
Pass Completion % (Medium),91.7%,87
,,
Passes Completed (Long),7.03,74
Passes Attempted (Long),9.11,63
Pass Completion % (Long),77.2%,80
Assists,0.05,40
xA,0.03,18
Key Passes,0.51,22
Passes into Final Third,5.51,84
Passes into Penalty Area,0.61,43
Crosses into Penalty Area,0.00,8
Progressive Passes,3.84,49
Passes Attempted,58.13,71
,,
Live-ball passes,57.12,76
Dead-ball passes,1.01,24
Passes from Free Kicks,0.76,27
Through Balls,0.05,39
Passes Under Pressure,10.67,90
Switches,2.07,71
Crosses,0.35,35
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,47.10,80
Low Passes,4.30,20
High Passes,6.73,36
,,
Passes Attempted (Left),48.82,97
Passes Attempted (Right),6.83,9
Passes Attempted (Head),1.16,15
Throw-Ins taken,0.25,69
Passes Attempted (Other),0.15,26
,,
Passes Completed,51.45,78
Passes Offside,0.05,90
Passes Out of Bounds,0.81,34
Passes Intercepted,1.32,62
Passes Blocked,0.96,51
Shot-Creating Actions,1.52,28
,,
SCA (PassLive),1.21,34
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.20,91
SCA (Fld),0.00,11
SCA (Def),0.10,78
,,
Goal-Creating Actions,0.10,24
,,
GCA (PassLive),0.05,17
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.05,90
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.33,56
Tackles Won,1.32,41
Tackles (Def 3rd),0.96,57
Tackles (Mid 3rd),1.26,73
Tackles (Att 3rd),0.10,8
,,
Dribblers Tackled,0.86,70
Dribbles Contested,2.02,56
% of dribblers tackled,42.5%,74
Dribbled Past,1.16,54
,,
Pressures,15.68,19
Successful Pressures,5.31,43
Successful Pressure %,33.9%,85
Pressures (Def 3rd),4.30,15
Pressures (Mid 3rd),9.16,45
Pressures (Att 3rd),2.23,27
,,
Blocks,1.06,10
Shots Blocked,0.15,18
Shots Saved,0.00,45
Passes Blocked,0.91,17
,,
Interceptions,2.28,85
Tkl+Int,4.60,71
Clearances,1.16,44
Errors,0.00,67
Touches,70.22,77
Touches (Def Pen),1.62,20
Touches (Def 3rd),13.76,42
Touches (Mid 3rd),47.86,90
Touches (Att 3rd),13.25,54
Touches (Att Pen),0.96,40
Touches (Live-Ball),69.46,80
,,
Dribbles Completed,0.30,11
Dribbles Attempted,0.86,33
Successful Dribble %,35.3%,2
Players Dribbled Past,0.35,12
Nutmegs,0.00,17
,,
Carries,51.35,84
Total Carrying Distance,246.53,79
Progressive Carrying Distance,119.60,77
Progressive Carries,4.35,65
Carries into Final Third,1.37,64
Carries into Penalty Area,0.05,24
Miscontrols,0.66,72
Dispossessed,1.26,31
,,
Pass Targets,57.32,83
Passes Received,53.22,83
Passes Received %,92.9%,64
Progressive Passes Rec,2.23,64
Yellow Cards,0.46,6
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.72,43
Fouls Drawn,2.63,95
Offsides,0.20,4
Crosses,0.35,35
,,
Interceptions,2.28,85
Tackles Won,1.32,41
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.05,4
Own Goals,0.00,53
Ball Recoveries,8.65,26
,,
Aerials won,1.37,58
Aerials lost,0.86,76
% of Aerials Won,61.4%,85
