--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,33
Assists,0.00,31
Non-Penalty Goals,0.03,33
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.25,34
Red Cards,0.00,64
,,
xG,0.03,22
npxG,0.03,22
xA,0.01,25
npxG+xA,0.03,15
Goals,0.03,33
Shots Total,0.20,9
Shots on target,0.03,10
Shots on target %,14.3%,17
Goals/Shot,0.14,76
Goals/Shot on target,1.00,91
Average Shot Distance,9.10,74
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,22
npxG,0.03,22
npxG/Sh,0.12,74
Goals - xG,0.00,60
Non-Penalty Goals - npxG,0.00,62
Passes Completed,71.11,96
Passes Attempted,74.17,92
Pass Completion %,95.9%,99
Total Passing Distance,1310.33,85
Progressive Passing Distance,417.41,86
,,
Passes Completed (Short),28.30,99
Passes Attempted (Short),29.20,99
Pass Completion % (Short),96.9%,99
,,
Passes Completed (Medium),34.87,92
Passes Attempted (Medium),35.74,89
Pass Completion % (Medium),97.6%,99
,,
Passes Completed (Long),7.10,39
Passes Attempted (Long),7.94,9
Pass Completion % (Long),89.4%,99
Assists,0.00,31
xA,0.01,25
Key Passes,0.11,31
Passes into Final Third,4.97,92
Passes into Penalty Area,0.14,46
Crosses into Penalty Area,0.06,80
Progressive Passes,3.03,69
Passes Attempted,74.17,92
,,
Live-ball passes,71.47,92
Dead-ball passes,2.69,69
Passes from Free Kicks,1.97,76
Through Balls,0.00,27
Passes Under Pressure,5.50,52
Switches,0.84,19
Crosses,0.06,28
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,67.01,98
Low Passes,4.27,55
High Passes,2.89,1
,,
Passes Attempted (Left),61.82,99
Passes Attempted (Right),8.90,19
Passes Attempted (Head),1.80,12
Throw-Ins taken,0.70,75
Passes Attempted (Other),0.08,21
,,
Passes Completed,71.11,96
Passes Offside,0.03,92
Passes Out of Bounds,0.36,95
Passes Intercepted,0.42,96
Passes Blocked,0.45,59
Shot-Creating Actions,0.53,50
,,
SCA (PassLive),0.48,57
SCA (PassDead),0.06,88
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.08,71
,,
GCA (PassLive),0.08,82
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.46,39
Tackles Won,0.81,39
Tackles (Def 3rd),0.90,40
Tackles (Mid 3rd),0.51,53
Tackles (Att 3rd),0.06,44
,,
Dribblers Tackled,0.56,41
Dribbles Contested,0.90,28
% of dribblers tackled,62.5%,83
Dribbled Past,0.34,81
,,
Pressures,7.02,22
Successful Pressures,2.02,10
Successful Pressure %,28.8%,3
Pressures (Def 3rd),3.68,20
Pressures (Mid 3rd),2.81,29
Pressures (Att 3rd),0.53,60
,,
Blocks,1.12,4
Shots Blocked,0.73,44
Shots Saved,0.03,65
Passes Blocked,0.39,1
,,
Interceptions,1.82,34
Tkl+Int,3.28,34
Clearances,2.98,12
Errors,0.03,62
Touches,82.17,92
Touches (Def Pen),10.61,80
Touches (Def 3rd),34.22,52
Touches (Mid 3rd),49.91,96
Touches (Att 3rd),3.09,62
Touches (Att Pen),0.42,12
Touches (Live-Ball),79.95,91
,,
Dribbles Completed,0.22,60
Dribbles Attempted,0.36,63
Successful Dribble %,61.5%,36
Players Dribbled Past,0.25,63
Nutmegs,0.00,37
,,
Carries,59.54,94
Total Carrying Distance,317.22,92
Progressive Carrying Distance,173.40,89
Progressive Carries,4.21,87
Carries into Final Third,0.45,57
Carries into Penalty Area,0.06,82
Miscontrols,0.22,52
Dispossessed,0.31,28
,,
Pass Targets,65.10,95
Passes Received,64.34,95
Passes Received %,98.8%,90
Progressive Passes Rec,0.28,75
Yellow Cards,0.25,34
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.07,50
Fouls Drawn,0.93,82
Offsides,0.00,79
Crosses,0.06,28
,,
Interceptions,1.82,34
Tackles Won,0.81,39
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.08,5
Own Goals,0.00,60
Ball Recoveries,7.13,9
,,
Aerials won,1.60,13
Aerials lost,0.79,96
% of Aerials Won,67.1%,71
