--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,82
Assists,0.14,75
Non-Penalty Goals,0.09,82
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.00,99
Red Cards,0.00,60
,,
xG,0.01,14
npxG,0.01,14
xA,0.13,75
npxG+xA,0.14,59
Goals,0.09,82
Shots Total,0.51,40
Shots on target,0.19,59
Shots on target %,36.4%,78
Goals/Shot,0.18,91
Goals/Shot on target,0.50,86
Average Shot Distance,22.90,19
Shots from free kicks,0.05,85
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.01,14
npxG,0.01,14
npxG/Sh,0.03,9
Goals - xG,+0.08,95
Non-Penalty Goals - npxG,+0.08,95
Passes Completed,48.32,77
Passes Attempted,63.41,82
Pass Completion %,76.2%,45
Total Passing Distance,921.26,84
Progressive Passing Distance,400.93,94
,,
Passes Completed (Short),21.64,71
Passes Attempted (Short),24.49,74
Pass Completion % (Short),88.4%,46
,,
Passes Completed (Medium),19.07,69
Passes Attempted (Medium),23.13,69
Pass Completion % (Medium),82.4%,59
,,
Passes Completed (Long),7.15,91
Passes Attempted (Long),13.55,93
Pass Completion % (Long),52.8%,53
Assists,0.14,75
xA,0.13,75
Key Passes,1.45,86
Passes into Final Third,4.86,95
Passes into Penalty Area,1.26,69
Crosses into Penalty Area,0.61,74
Progressive Passes,5.89,94
Passes Attempted,63.41,82
,,
Live-ball passes,50.09,77
Dead-ball passes,13.32,94
Passes from Free Kicks,1.40,82
Through Balls,0.05,59
Passes Under Pressure,6.36,56
Switches,2.85,95
Crosses,3.22,87
Corner Kicks,2.06,91
,,
Inswinging Corner Kicks,0.56,89
Outswinging Corner Kicks,1.17,93
Straight Corner Kicks,0.05,89
,,
Ground passes,37.01,76
Low Passes,11.59,64
High Passes,14.81,82
,,
Passes Attempted (Left),47.71,92
Passes Attempted (Right),3.97,17
Passes Attempted (Head),1.50,27
Throw-Ins taken,9.86,81
Passes Attempted (Other),0.05,14
,,
Passes Completed,48.32,77
Passes Offside,0.19,39
Passes Out of Bounds,1.31,10
Passes Intercepted,2.94,3
Passes Blocked,1.92,34
Shot-Creating Actions,2.62,86
,,
SCA (PassLive),1.36,49
SCA (PassDead),0.93,94
SCA (Drib),0.14,85
SCA (Sh),0.05,51
SCA (Fld),0.09,75
SCA (Def),0.05,65
,,
Goal-Creating Actions,0.28,77
,,
GCA (PassLive),0.23,81
GCA (PassDead),0.05,86
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.48,70
Tackles Won,1.26,58
Tackles (Def 3rd),1.22,53
Tackles (Mid 3rd),1.03,91
Tackles (Att 3rd),0.23,46
,,
Dribblers Tackled,1.31,89
Dribbles Contested,2.66,89
% of dribblers tackled,49.1%,56
Dribbled Past,1.36,14
,,
Pressures,17.43,88
Successful Pressures,4.44,67
Successful Pressure %,25.5%,6
Pressures (Def 3rd),6.87,77
Pressures (Mid 3rd),7.90,97
Pressures (Att 3rd),2.66,66
,,
Blocks,1.78,43
Shots Blocked,0.14,14
Shots Saved,0.05,93
Passes Blocked,1.64,59
,,
Interceptions,1.92,59
Tkl+Int,4.39,68
Clearances,1.12,9
Errors,0.00,70
Touches,72.24,79
Touches (Def Pen),2.06,7
Touches (Def 3rd),18.27,37
Touches (Mid 3rd),36.45,85
Touches (Att 3rd),22.48,79
Touches (Att Pen),0.70,13
Touches (Live-Ball),59.21,67
,,
Dribbles Completed,0.93,68
Dribbles Attempted,1.59,59
Successful Dribble %,58.8%,72
Players Dribbled Past,1.07,69
Nutmegs,0.19,87
,,
Carries,44.77,77
Total Carrying Distance,232.38,79
Progressive Carrying Distance,139.39,80
Progressive Carries,6.22,81
Carries into Final Third,1.82,69
Carries into Penalty Area,0.19,35
Miscontrols,0.65,79
Dispossessed,0.65,66
,,
Pass Targets,48.41,77
Passes Received,43.69,76
Passes Received %,90.3%,43
Progressive Passes Rec,1.59,29
Yellow Cards,0.00,99
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.51,97
Fouls Drawn,0.28,1
Offsides,0.05,60
Crosses,3.22,87
,,
Interceptions,1.92,59
Tackles Won,1.26,58
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,6.78,18
,,
Aerials won,0.37,4
Aerials lost,1.26,38
% of Aerials Won,22.9%,1
