--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,35
Assists,0.00,11
Non-Penalty Goals,0.04,37
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.16,69
Red Cards,0.00,61
,,
xG,0.06,44
npxG,0.06,46
xA,0.10,68
npxG+xA,0.16,58
Goals,0.04,35
Shots Total,1.89,94
Shots on target,0.45,83
Shots on target %,23.9%,39
Goals/Shot,0.02,25
Goals/Shot on target,0.09,26
Average Shot Distance,24.40,11
Shots from free kicks,0.04,71
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.06,44
npxG,0.06,46
npxG/Sh,0.03,4
Goals - xG,-0.02,37
Non-Penalty Goals - npxG,-0.02,37
Passes Completed,49.36,73
Passes Attempted,58.05,71
Pass Completion %,85.0%,67
Total Passing Distance,1039.86,82
Progressive Passing Distance,252.38,77
,,
Passes Completed (Short),17.83,55
Passes Attempted (Short),20.09,55
Pass Completion % (Short),88.7%,55
,,
Passes Completed (Medium),20.34,71
Passes Attempted (Medium),22.31,69
Pass Completion % (Medium),91.1%,82
,,
Passes Completed (Long),10.21,95
Passes Attempted (Long),13.87,92
Pass Completion % (Long),73.6%,68
Assists,0.00,11
xA,0.10,68
Key Passes,0.99,63
Passes into Final Third,5.81,87
Passes into Penalty Area,1.15,82
Crosses into Penalty Area,0.08,46
Progressive Passes,5.48,85
Passes Attempted,58.05,71
,,
Live-ball passes,54.80,71
Dead-ball passes,3.25,78
Passes from Free Kicks,2.18,81
Through Balls,0.00,11
Passes Under Pressure,8.40,59
Switches,3.58,94
Crosses,0.74,62
Corner Kicks,1.03,79
,,
Inswinging Corner Kicks,0.58,82
Outswinging Corner Kicks,0.45,83
Straight Corner Kicks,0.00,38
,,
Ground passes,39.81,62
Low Passes,5.81,69
High Passes,12.43,90
,,
Passes Attempted (Left),8.40,64
Passes Attempted (Right),46.44,73
Passes Attempted (Head),2.18,62
Throw-Ins taken,0.04,15
Passes Attempted (Other),0.37,82
,,
Passes Completed,49.36,73
Passes Offside,0.25,22
Passes Out of Bounds,0.74,44
Passes Intercepted,1.40,56
Passes Blocked,0.82,69
Shot-Creating Actions,2.26,64
,,
SCA (PassLive),1.65,61
SCA (PassDead),0.33,78
SCA (Drib),0.04,46
SCA (Sh),0.21,92
SCA (Fld),0.04,33
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.16,44
,,
GCA (PassLive),0.16,60
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.22,50
Tackles Won,1.44,52
Tackles (Def 3rd),0.86,44
Tackles (Mid 3rd),1.15,63
Tackles (Att 3rd),0.21,37
,,
Dribblers Tackled,0.70,43
Dribbles Contested,1.52,21
% of dribblers tackled,45.9%,86
Dribbled Past,0.82,88
,,
Pressures,12.56,4
Successful Pressures,4.03,10
Successful Pressure %,32.1%,69
Pressures (Def 3rd),3.99,10
Pressures (Mid 3rd),6.71,8
Pressures (Att 3rd),1.85,16
,,
Blocks,0.86,4
Shots Blocked,0.16,20
Shots Saved,0.00,45
Passes Blocked,0.70,6
,,
Interceptions,2.22,82
Tkl+Int,4.45,66
Clearances,0.99,30
Errors,0.04,19
Touches,67.40,69
Touches (Def Pen),2.59,57
Touches (Def 3rd),16.43,66
Touches (Mid 3rd),39.69,68
Touches (Att 3rd),14.62,63
Touches (Att Pen),0.45,10
Touches (Live-Ball),64.19,69
,,
Dribbles Completed,0.29,10
Dribbles Attempted,0.62,15
Successful Dribble %,46.7%,8
Players Dribbled Past,0.37,14
Nutmegs,0.00,17
,,
Carries,42.32,61
Total Carrying Distance,194.33,55
Progressive Carrying Distance,87.86,45
Progressive Carries,3.75,50
Carries into Final Third,0.78,24
Carries into Penalty Area,0.04,20
Miscontrols,0.54,85
Dispossessed,0.37,96
,,
Pass Targets,47.31,62
Passes Received,45.29,67
Passes Received %,95.7%,91
Progressive Passes Rec,1.03,23
Yellow Cards,0.16,69
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.24,80
Fouls Drawn,0.41,2
Offsides,0.00,77
Crosses,0.74,62
,,
Interceptions,2.22,82
Tackles Won,1.44,52
Penalty Kicks Won,0.04,94
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.12,79
,,
Aerials won,0.66,21
Aerials lost,0.74,85
% of Aerials Won,47.1%,41
