--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.00,2
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.34,4
Red Cards,0.00,56
,,
xG,0.22,49
npxG,0.22,56
xA,0.26,85
npxG+xA,0.48,72
Goals,0.00,1
Shots Total,2.06,49
Shots on target,0.69,46
Shots on target %,33.3%,37
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,17.40,52
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.22,49
npxG,0.22,56
npxG/Sh,0.11,58
Goals - xG,-0.22,1
Non-Penalty Goals - npxG,-0.22,1
Passes Completed,24.34,33
Passes Attempted,33.94,36
Pass Completion %,71.7%,26
Total Passing Distance,428.57,43
Progressive Passing Distance,89.83,22
,,
Passes Completed (Short),12.69,32
Passes Attempted (Short),15.43,33
Pass Completion % (Short),82.2%,26
,,
Passes Completed (Medium),8.40,34
Passes Attempted (Medium),11.14,39
Pass Completion % (Medium),75.4%,30
,,
Passes Completed (Long),2.74,51
Passes Attempted (Long),4.97,49
Pass Completion % (Long),55.2%,55
Assists,0.00,2
xA,0.26,85
Key Passes,1.89,69
Passes into Final Third,1.37,34
Passes into Penalty Area,1.03,26
Crosses into Penalty Area,0.17,24
Progressive Passes,2.91,43
Passes Attempted,33.94,36
,,
Live-ball passes,30.51,31
Dead-ball passes,3.43,68
Passes from Free Kicks,0.00,3
Through Balls,0.17,72
Passes Under Pressure,5.66,19
Switches,0.86,36
Crosses,2.57,76
Corner Kicks,1.54,65
,,
Inswinging Corner Kicks,0.86,68
Outswinging Corner Kicks,0.17,54
Straight Corner Kicks,0.51,99
,,
Ground passes,23.83,39
Low Passes,5.83,78
High Passes,4.29,27
,,
Passes Attempted (Left),26.06,78
Passes Attempted (Right),5.31,16
Passes Attempted (Head),0.69,18
Throw-Ins taken,1.37,96
Passes Attempted (Other),0.17,34
,,
Passes Completed,24.34,33
Passes Offside,0.17,53
Passes Out of Bounds,0.69,45
Passes Intercepted,1.03,90
Passes Blocked,2.40,2
Shot-Creating Actions,5.14,95
,,
SCA (PassLive),2.74,79
SCA (PassDead),0.34,60
SCA (Drib),0.34,71
SCA (Sh),0.86,99
SCA (Fld),0.51,97
SCA (Def),0.34,99
,,
Goal-Creating Actions,0.69,92
,,
GCA (PassLive),0.00,1
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.17,99
GCA (Fld),0.34,99
GCA (Def),0.17,99
Tackles,2.23,94
Tackles Won,1.54,98
Tackles (Def 3rd),1.03,96
Tackles (Mid 3rd),0.86,83
Tackles (Att 3rd),0.34,59
,,
Dribblers Tackled,0.51,62
Dribbles Contested,1.54,61
% of dribblers tackled,33.3%,64
Dribbled Past,1.03,40
,,
Pressures,17.83,60
Successful Pressures,5.49,75
Successful Pressure %,30.8%,84
Pressures (Def 3rd),3.77,54
Pressures (Mid 3rd),9.60,80
Pressures (Att 3rd),4.46,26
,,
Blocks,0.69,12
Shots Blocked,0.00,6
Shots Saved,0.00,49
Passes Blocked,0.69,17
,,
Interceptions,1.71,95
Tkl+Int,3.94,97
Clearances,0.17,13
Errors,0.00,57
Touches,48.51,38
Touches (Def Pen),0.17,2
Touches (Def 3rd),4.97,21
Touches (Mid 3rd),22.97,51
Touches (Att 3rd),25.71,57
Touches (Att Pen),4.97,69
Touches (Live-Ball),45.09,34
,,
Dribbles Completed,2.57,90
Dribbles Attempted,5.31,93
Successful Dribble %,48.4%,33
Players Dribbled Past,2.91,90
Nutmegs,0.51,97
,,
Carries,35.49,40
Total Carrying Distance,232.80,73
Progressive Carrying Distance,152.91,87
Progressive Carries,7.54,78
Carries into Final Third,2.40,73
Carries into Penalty Area,1.37,75
Miscontrols,2.06,54
Dispossessed,2.57,19
,,
Pass Targets,46.11,43
Passes Received,33.43,34
Passes Received %,72.5%,23
Progressive Passes Rec,10.11,97
Yellow Cards,0.34,4
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.03,63
Fouls Drawn,1.37,34
Offsides,0.34,37
Crosses,2.57,76
,,
Interceptions,1.71,95
Tackles Won,1.54,98
Penalty Kicks Won,0.17,99
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.66,41
,,
Aerials won,0.34,18
Aerials lost,1.37,49
% of Aerials Won,20.0%,8
